stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-41dcbd971cb800328d08,Max Holmes,MID,6899,6836,-63,-0.91,5,5,0,32.7414,1.8118,0.0994
afl-player-v1-00c3832708c5db482c28,Tom Powell,GEN_FWD,2411,2352,-59,-2.45,78,81,3,3.8506,0.5057,0.0634
afl-player-v1-dbd3e05880424b29dd77,Sam Durham,MID,1748,1689,-59,-3.38,133,136,3,3.8859,0.215,0.064
afl-player-v1-857aa1779d3df97c9dfc,Sam Taylor,KEY_DEF,2036,1979,-57,-2.8,104,111,7,3.6897,0.511,0.0612
afl-player-v1-77265b1aa054f910d1c1,Jai Newcombe,MID,4170,4114,-56,-1.34,24,23,-1,20.4334,1.1307,0.0988
afl-player-v1-d06df65863958adcd922,Darcy Wilson,GEN_FWD,2427,2373,-54,-2.22,76,79,3,4.1637,0.5469,0.0642
afl-player-v1-d6e8ec84d8c2b89ba890,Dylan Moore,GEN_FWD,1632,1581,-51,-3.12,144,155,11,7.8945,1.0369,0.0995
afl-player-v1-12db94dd106d8c37bd22,Jye Caldwell,MID,1448,1401,-47,-3.25,167,176,9,5.7515,0.3183,0.0932
afl-player-v1-8f3aa1080752eb0e534b,Aaron Naughton,KEY_FWD,1722,1680,-42,-2.44,135,139,4,6.6271,1.0,0.1
afl-player-v1-c6bb2d8cdbc03d55b932,Lloyd Meek,RUC,1269,1229,-40,-3.15,189,198,9,1.5824,0.1439,0.0257
afl-player-v1-db32b01dc9266718b9db,Will Day,MID,3614,3576,-38,-1.05,37,39,2,18.1454,1.0041,0.0958
afl-player-v1-4a55aae7811189362c4a,Jack Ross,MID,2112,2075,-37,-1.75,97,100,3,10.3441,0.5724,0.0987
afl-player-v1-246485594049e2517cdf,Reilly O'Brien,RUC,1230,1193,-37,-3.01,197,202,5,6.2253,0.566,0.0998
