key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
jordan-croft,Jordan Croft,KPF,15,2023,ND,785,789,4,0.005095541401273885,False,825.825,0.004557,17,18
thomas-sims,Thomas Sims,KPF,28,2024,ND,925,1003,78,0.08432432432432432,False,993.855,0.080156,11,18
jack-whitlock,Jack Whitlock,KPF,33,2024,ND,911,949,38,0.04171240395170143,False,959.411,0.041692,24,18
jake-rogers,Jake Rogers,SF,14,2023,ND,454,457,3,0.006607929515418502,False,462.498,0.004512,24,18
sam-marshall,Sam Marshall,MID,25,2024,ND,620,884,264,0.4258064516129032,False,647.943,0.427128,13,18
ty-gallop,Ty Gallop,KPF,42,2024,ND,1056,1066,10,0.00946969696969697,False,1110.545,0.010018,23,18
caiden-cleary,Caiden Cleary,SF,24,2023,ND,368,377,9,0.024456521739130436,False,379.723,0.027582,25,18
riley-hardeman,Riley Hardeman,SD,23,2023,ND,243,246,3,0.012345679012345678,False,426.764,0.025819,24,18
lachie-jaques,Lachie Jaques,SD,29,2024,ND,636,762,126,0.19811320754716982,False,660.228,0.201871,8,18
billy-wilson,Billy Wilson,SD,34,2023,ND,768,772,4,0.005208333333333333,False,807.596,0.00583,16,18
angus-clarke,Angus Clarke,SD,39,2024,ND,574,601,27,0.047038327526132406,False,590.743,0.050143,17,18
archer-reid,Archer Reid,KPF,30,2023,ND,671,677,6,0.00894187779433681,False,697.244,0.009778,20,18
mitchell-edwards,Mitchell Edwards,RUCK,32,2023,ND,1875,1884,9,0.0048,False,1972.813,0.005058,16,18
talor-byrne,Talor Byrne,SF,45,2025,ND,620,626,6,0.00967741935483871,False,652.153,0.010225,14,18
josh-dolan,Josh Dolan,SF,31,2024,ND,359,453,94,0.2618384401114206,False,381.041,0.260705,19,18
max-kondogiannis,Max Kondogiannis,SD,36,2025,ND,355,660,305,0.8591549295774648,False,374.595,0.857992,8,18
christian-moraes,Christian Moraes,MID,38,2024,ND,666,728,62,0.09309309309309309,False,704.366,0.09218,24,18
lance-collard,Lance Collard,SF,28,2023,ND,152,153,1,0.006578947368421052,False,194.938,0.039552,15,18
kane-mcauliffe,Kane McAuliffe,MID,40,2023,ND,1124,1126,2,0.0017793594306049821,False,1169.934,0.001895,23,18
ashton-moir,Ashton Moir,SF,29,2023,ND,201,206,5,0.024875621890547265,False,275.792,0.041255,13,18
hugh-boxshall,Hugh Boxshall,MID,45,2024,ND,654,658,4,0.0061162079510703364,False,685.112,0.005424,18,18
jack-ison,Jack Ison,SF,47,2025,ND,240,242,2,0.008333333333333333,False,255.237,0.005906,7,18
angus-hastie,Angus Hastie,SD,33,2023,ND,174,176,2,0.011494252873563218,False,265.603,0.031252,19,18
liam-fawcett,Liam Fawcett,KPF,43,2023,ND,385,386,1,0.0025974025974025974,False,387.946,0.002443,8,18
clay-hall,Clay Hall,MID,38,2023,ND,260,261,1,0.0038461538461538464,False,787.312,0.008807,16,18
tom-gross,Tom Gross,MID,46,2024,ND,344,347,3,0.00872093023255814,False,353.593,0.00906,9,18
