key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
nick-watson,Nick Watson,SF,5,2023,ND,3649,3652,3,0.000822143052891203,False,3840.194,0.000735,60,18
willem-duursma,Willem Duursma,MID,1,2025,ND,3834,3798,-36,-0.009389671361502348,False,4035.462,-0.009521,18,18
murphy-reid,Murphy Reid,SF,17,2024,ND,3842,3892,50,0.013014055179593961,False,4043.353,0.013081,44,18
sam-lalor,Sam Lalor,MID,1,2024,ND,4116,4107,-9,-0.002186588921282799,False,4325.017,-0.002375,21,18
harley-reid,Harley Reid,MID,1,2023,ND,3401,3400,-1,-0.00029403116730373417,False,3579.139,-0.000297,59,18
jagga-smith,Jagga Smith,MID,3,2024,ND,4542,4533,-9,-0.0019815059445178335,False,4780.166,-0.001839,19,18
darcy-wilson,Darcy Wilson,SF,18,2023,ND,2759,2763,4,0.0014498006524102935,False,2903.736,0.001611,60,18
finn-o-sullivan,Finn O'Sullivan,MID,2,2024,ND,3169,3158,-11,-0.0034711265383401703,False,3335.157,-0.003438,38,18
logan-morris,Logan Morris,KPF,31,2023,ND,2705,2714,9,0.0033271719038817007,False,2846.989,0.003109,64,18
levi-ashcroft,Levi Ashcroft,MID,5,2024,ND,2943,2986,43,0.014610941216445803,False,3096.621,0.014699,47,18
cooper-duff-tytler,Cooper Duff-Tytler,KPF,4,2025,ND,1524,1757,233,0.15288713910761154,False,1604.138,0.152766,12,18
ryley-sanders,Ryley Sanders,MID,6,2023,ND,3465,3469,4,0.0011544011544011544,False,3647.247,0.001029,53,18
colby-mckercher,Colby McKercher,MID,2,2023,ND,3836,3835,-1,-0.00026068821689259646,False,4037.167,-0.000231,59,18
zeke-uwland,Zeke Uwland,SD,2,2025,ND,2207,2174,-33,-0.014952424105120073,False,2322.949,-0.014898,16,18
jed-walter,Jed Walter,KPF,3,2023,ND,1054,1057,3,0.0028462998102466793,False,1108.723,0.002951,45,18
sid-draper,Sid Draper,MID,4,2024,ND,951,988,37,0.03890641430073607,False,969.675,0.039184,10,18
jacob-farrow,Jacob Farrow,SD,10,2025,ND,2290,2395,105,0.04585152838427948,False,2410.451,0.045307,17,18
harvey-langford,Harvey Langford,MID,6,2024,ND,2083,2150,67,0.03216514642342775,False,2191.832,0.032423,42,18
nate-caddy,Nate Caddy,KPF,10,2023,ND,1485,1489,4,0.0026936026936026937,False,1562.754,0.00248,45,18
tobie-travaglia,Tobie Travaglia,SD,8,2024,ND,482,543,61,0.12655601659751037,False,502.199,0.124462,17,18
sam-cumming,Sam Cumming,MID,7,2025,ND,2078,2466,388,0.1867179980750722,False,2186.786,0.186466,14,18
sullivan-robey,Sullivan Robey,MID,9,2025,ND,2364,2701,337,0.14255499153976312,False,2488.159,0.142492,14,18
leo-lombard,Leo Lombard,SF,9,2024,ND,1486,1537,51,0.034320323014804845,False,1564.407,0.03446,24,18
samuel-grlj,Samuel Grlj,MID,8,2025,ND,1370,1828,458,0.3343065693430657,False,1441.697,0.334261,18,18
josh-lindsay,Josh Lindsay,SD,19,2025,ND,2000,2189,189,0.0945,False,2105.472,0.094492,12,18
koltyn-tholstrup,Koltyn Tholstrup,SD,13,2023,ND,1421,1422,1,0.0007037297677691766,False,1495.425,0.001165,39,18
dyson-sharp,Dyson Sharp,MID,13,2025,ND,2428,2552,124,0.051070840197693576,False,2554.559,0.051444,12,18
daniel-curtin,Daniel Curtin,MID,8,2023,ND,2129,2140,11,0.005166744950681071,False,2241.368,0.004791,45,18
jonty-faull,Jonty Faull,KPF,14,2024,ND,859,875,16,0.018626309662398137,False,906.83,0.018715,26,18
isaac-kako,Isaac Kako,SF,13,2024,ND,901,930,29,0.03218645948945616,False,948.358,0.032563,35,18
ethan-read,Ethan Read,KPF,9,2023,ND,735,743,8,0.010884353741496598,False,773.974,0.009742,37,18
taj-hotton,Taj Hotton,MID,12,2024,ND,1692,1767,75,0.044326241134751775,False,1756.329,0.045419,14,18
xavier-lindsay,Xavier Lindsay,MID,11,2024,ND,1497,1571,74,0.049432197728790914,False,1560.476,0.049441,23,18
zane-duursma,Zane Duursma,SF,4,2023,ND,650,651,1,0.0015384615384615385,False,683.584,0.002424,38,18
harry-kyle,Harry Kyle,SD,14,2025,ND,760,860,100,0.13157894736842105,False,802.632,0.131266,6,18
