key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
nick-watson,Nick Watson,SF,5,2023,ND,3649,3650,1,0.0002740476842970677,False,3840.194,0.000245,60,18
willem-duursma,Willem Duursma,MID,1,2025,ND,3834,3823,-11,-0.0028690662493479394,False,4035.462,-0.003174,18,18
murphy-reid,Murphy Reid,SF,17,2024,ND,3842,3859,17,0.004424778761061947,False,4043.353,0.00436,44,18
sam-lalor,Sam Lalor,MID,1,2024,ND,4116,4113,-3,-0.0007288629737609329,False,4325.017,-0.000792,21,18
jagga-smith,Jagga Smith,MID,3,2024,ND,4542,4539,-3,-0.0006605019815059445,False,4780.166,-0.000613,19,18
darcy-wilson,Darcy Wilson,SF,18,2023,ND,2759,2760,1,0.0003624501631025734,False,2903.736,0.000537,60,18
finn-o-sullivan,Finn O'Sullivan,MID,2,2024,ND,3169,3165,-4,-0.0012622278321236984,False,3335.157,-0.001146,38,18
logan-morris,Logan Morris,KPF,31,2023,ND,2705,2708,3,0.0011090573012939,False,2846.989,0.001036,64,18
levi-ashcroft,Levi Ashcroft,MID,5,2024,ND,2943,2957,14,0.004757050628610262,False,3096.621,0.0049,47,18
cooper-duff-tytler,Cooper Duff-Tytler,KPF,4,2025,ND,1524,1602,78,0.051181102362204724,False,1604.138,0.050922,12,18
ryley-sanders,Ryley Sanders,MID,6,2023,ND,3465,3466,1,0.0002886002886002886,False,3647.247,0.000343,53,18
zeke-uwland,Zeke Uwland,SD,2,2025,ND,2207,2196,-11,-0.004984141368373357,False,2322.949,-0.004966,16,18
jed-walter,Jed Walter,KPF,3,2023,ND,1054,1055,1,0.0009487666034155598,False,1108.723,0.000984,45,18
sid-draper,Sid Draper,MID,4,2024,ND,951,963,12,0.012618296529968454,False,969.675,0.013061,10,18
jacob-farrow,Jacob Farrow,SD,10,2025,ND,2290,2325,35,0.015283842794759825,False,2410.451,0.015102,17,18
harvey-langford,Harvey Langford,MID,6,2024,ND,2083,2106,23,0.011041766682669226,False,2191.832,0.010808,42,18
nate-caddy,Nate Caddy,KPF,10,2023,ND,1485,1486,1,0.0006734006734006734,False,1562.754,0.000827,45,18
tobie-travaglia,Tobie Travaglia,SD,8,2024,ND,482,502,20,0.04149377593360996,False,502.199,0.041487,17,18
sam-cumming,Sam Cumming,MID,7,2025,ND,2078,2207,129,0.062078922040423486,False,2186.786,0.062155,14,18
sullivan-robey,Sullivan Robey,MID,9,2025,ND,2364,2476,112,0.047377326565143825,False,2488.159,0.047497,14,18
leo-lombard,Leo Lombard,SF,9,2024,ND,1486,1503,17,0.011440107671601614,False,1564.407,0.011487,24,18
samuel-grlj,Samuel Grlj,MID,8,2025,ND,1370,1522,152,0.11094890510948906,False,1441.697,0.11142,18,18
josh-lindsay,Josh Lindsay,SD,19,2025,ND,2000,2064,64,0.032,False,2105.472,0.031497,12,18
koltyn-tholstrup,Koltyn Tholstrup,SD,13,2023,ND,1421,1422,1,0.0007037297677691766,False,1495.425,0.000388,39,18
dyson-sharp,Dyson Sharp,MID,13,2025,ND,2428,2469,41,0.01688632619439868,False,2554.559,0.017148,12,18
daniel-curtin,Daniel Curtin,MID,8,2023,ND,2129,2133,4,0.0018788163457022077,False,2241.368,0.001597,45,18
jonty-faull,Jonty Faull,KPF,14,2024,ND,859,864,5,0.005820721769499418,False,906.83,0.006238,26,18
isaac-kako,Isaac Kako,SF,13,2024,ND,901,911,10,0.011098779134295227,False,948.358,0.010854,35,18
ethan-read,Ethan Read,KPF,9,2023,ND,735,737,2,0.0027210884353741495,False,773.974,0.003247,37,18
taj-hotton,Taj Hotton,MID,12,2024,ND,1692,1718,26,0.015366430260047281,False,1756.329,0.01514,14,18
xavier-lindsay,Xavier Lindsay,MID,11,2024,ND,1497,1521,24,0.01603206412825651,False,1560.476,0.01648,23,18
harry-kyle,Harry Kyle,SD,14,2025,ND,760,793,33,0.04342105263157895,False,802.632,0.043755,6,18
beau-addinsall,Beau Addinsall,MID,18,2025,ND,1081,1211,130,0.12025901942645699,False,1142.297,0.118704,7,18
caleb-windsor,Caleb Windsor,MID,7,2023,ND,1390,1394,4,0.0028776978417266188,False,1463.072,0.002346,53,18
phoenix-gothard,Phoenix Gothard,SF,12,2023,ND,1574,1575,1,0.0006353240152477764,False,1657.234,0.000714,15,18
jai-murray,Jai Murray,MID,17,2025,ND,868,970,102,0.1175115207373272,False,915.72,0.117968,8,18
harry-armstrong,Harry Armstrong,KPF,23,2024,ND,729,764,35,0.04801097393689986,False,765.556,0.048265,11,18
joe-berry,Joe Berry,SF,15,2024,ND,841,846,5,0.005945303210463734,False,885.346,0.004783,32,18
jobe-shanahan,Jobe Shanahan,KPF,30,2024,ND,1404,1420,16,0.011396011396011397,False,1477.536,0.011297,29,18
louis-emmett,Louis Emmett,KPF,27,2025,ND,619,737,118,0.19063004846526657,False,655.842,0.189556,6,18
cooper-hynes,Cooper Hynes,MID,20,2024,ND,1119,1155,36,0.032171581769437,False,1177.871,0.031228,26,18
will-graham,Will Graham,MID,26,2023,ND,1482,1485,3,0.0020242914979757085,False,1559.922,0.001663,36,18
bo-allan,Bo Allan,SD,16,2024,ND,767,775,8,0.010430247718383311,False,807.106,0.011284,23,18
