key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
nick-watson,Nick Watson,SF,5,2023,ND,3649,3651,2,0.0005480953685941354,False,3840.194,0.00049,60,18
willem-duursma,Willem Duursma,MID,1,2025,ND,3834,3810,-24,-0.006259780907668232,False,4035.462,-0.006347,18,18
murphy-reid,Murphy Reid,SF,17,2024,ND,3842,3876,34,0.008849557522123894,False,4043.353,0.008721,44,18
sam-lalor,Sam Lalor,MID,1,2024,ND,4116,4110,-6,-0.0014577259475218659,False,4325.017,-0.001583,21,18
harley-reid,Harley Reid,MID,1,2023,ND,3401,3400,-1,-0.00029403116730373417,False,3579.139,-0.000198,59,18
jagga-smith,Jagga Smith,MID,3,2024,ND,4542,4536,-6,-0.001321003963011889,False,4780.166,-0.001226,19,18
darcy-wilson,Darcy Wilson,SF,18,2023,ND,2759,2762,3,0.0010873504893077202,False,2903.736,0.001074,60,18
finn-o-sullivan,Finn O'Sullivan,MID,2,2024,ND,3169,3162,-7,-0.002208898706216472,False,3335.157,-0.002292,38,18
logan-morris,Logan Morris,KPF,31,2023,ND,2705,2711,6,0.0022181146025878,False,2846.989,0.002072,64,18
levi-ashcroft,Levi Ashcroft,MID,5,2024,ND,2943,2971,28,0.009514101257220523,False,3096.621,0.009799,47,18
cooper-duff-tytler,Cooper Duff-Tytler,KPF,4,2025,ND,1524,1680,156,0.10236220472440945,False,1604.138,0.101844,12,18
ryley-sanders,Ryley Sanders,MID,6,2023,ND,3465,3468,3,0.0008658008658008658,False,3647.247,0.000686,53,18
zeke-uwland,Zeke Uwland,SD,2,2025,ND,2207,2185,-22,-0.009968282736746714,False,2322.949,-0.009932,16,18
jed-walter,Jed Walter,KPF,3,2023,ND,1054,1056,2,0.0018975332068311196,False,1108.723,0.001967,45,18
sid-draper,Sid Draper,MID,4,2024,ND,951,976,25,0.026288117770767613,False,969.675,0.026123,10,18
jacob-farrow,Jacob Farrow,SD,10,2025,ND,2290,2359,69,0.030131004366812226,False,2410.451,0.030205,17,18
harvey-langford,Harvey Langford,MID,6,2024,ND,2083,2128,45,0.02160345655304849,False,2191.832,0.021615,42,18
nate-caddy,Nate Caddy,KPF,10,2023,ND,1485,1487,2,0.0013468013468013469,False,1562.754,0.001654,45,18
tobie-travaglia,Tobie Travaglia,SD,8,2024,ND,482,522,40,0.08298755186721991,False,502.199,0.082975,17,18
sam-cumming,Sam Cumming,MID,7,2025,ND,2078,2337,259,0.1246390760346487,False,2186.786,0.124311,14,18
sullivan-robey,Sullivan Robey,MID,9,2025,ND,2364,2589,225,0.09517766497461928,False,2488.159,0.094994,14,18
leo-lombard,Leo Lombard,SF,9,2024,ND,1486,1520,34,0.02288021534320323,False,1564.407,0.022973,24,18
samuel-grlj,Samuel Grlj,MID,8,2025,ND,1370,1675,305,0.22262773722627738,False,1441.697,0.222841,18,18
josh-lindsay,Josh Lindsay,SD,19,2025,ND,2000,2127,127,0.0635,False,2105.472,0.062994,12,18
koltyn-tholstrup,Koltyn Tholstrup,SD,13,2023,ND,1421,1422,1,0.0007037297677691766,False,1495.425,0.000777,39,18
dyson-sharp,Dyson Sharp,MID,13,2025,ND,2428,2510,82,0.03377265238879736,False,2554.559,0.034296,12,18
daniel-curtin,Daniel Curtin,MID,8,2023,ND,2129,2137,8,0.0037576326914044154,False,2241.368,0.003194,45,18
jonty-faull,Jonty Faull,KPF,14,2024,ND,859,869,10,0.011641443538998836,False,906.83,0.012477,26,18
isaac-kako,Isaac Kako,SF,13,2024,ND,901,921,20,0.022197558268590455,False,948.358,0.021709,35,18
ethan-read,Ethan Read,KPF,9,2023,ND,735,740,5,0.006802721088435374,False,773.974,0.006495,37,18
taj-hotton,Taj Hotton,MID,12,2024,ND,1692,1744,52,0.030732860520094562,False,1756.329,0.030279,14,18
xavier-lindsay,Xavier Lindsay,MID,11,2024,ND,1497,1546,49,0.032732130928523714,False,1560.476,0.032961,23,18
zane-duursma,Zane Duursma,SF,4,2023,ND,650,651,1,0.0015384615384615385,False,683.584,0.001616,38,18
harry-kyle,Harry Kyle,SD,14,2025,ND,760,827,67,0.0881578947368421,False,802.632,0.087511,6,18
beau-addinsall,Beau Addinsall,MID,18,2025,ND,1081,1339,258,0.23866790009250693,False,1142.297,0.237407,7,18
caleb-windsor,Caleb Windsor,MID,7,2023,ND,1390,1397,7,0.005035971223021582,False,1463.072,0.004691,53,18
phoenix-gothard,Phoenix Gothard,SF,12,2023,ND,1574,1577,3,0.0019059720457433292,False,1657.234,0.001428,15,18
