pos,player,L,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36
MID,Marcus Bontempelli,110.0,5808.0,5472.0,5113.0,4730.0,4318.0,3873.0,3524.0,3153.0,2776.0,2388.0,2192.0,2104.0,1897.0,1721.0,1584.0,1379.0,1223.0
RUC,Max Gawn,105.0,5111.0,4891.0,4656.0,4403.0,4132.0,3838.0,3592.0,3305.0,2996.0,2660.0,2320.0,1974.0,1807.0,1628.0,1479.0,1281.0,1104.0
KEY_FWD,Charlie Curnow,95.0,6056.0,5740.0,5410.0,5065.0,4704.0,4326.0,4073.0,3779.0,3459.0,3110.0,2751.0,2380.0,2022.0,1747.0,1584.0,1372.0,1178.0
KEY_DEF,Sam Taylor,88.0,4344.0,4108.0,3862.0,3603.0,3330.0,3043.0,2835.0,2593.0,2334.0,2055.0,1776.0,1499.0,1379.0,1241.0,1130.0,978.0,846.0
GEN_DEF,Jordan Dawson,105.0,4557.0,4309.0,4041.0,3751.0,3434.0,3087.0,2787.0,2462.0,2135.0,1851.0,1820.0,1733.0,1555.0,1408.0,1298.0,1126.0,1004.0
GEN_FWD,Isaac Heeney,100.0,3739.0,3546.0,3334.0,3100.0,2840.0,2551.0,2283.0,1994.0,1709.0,1496.0,1465.0,1381.0,1234.0,1118.0,1034.0,899.0,812.0
