key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
finn-maginness,2019,ND,SF,18.0,0,0,50.81,0.6,91.37,86.51,57.86,91.37,91.37,1.0,1,0
harrison-jones,2019,ND,KPF,18.0,0,0,51.57,5.5,86.77,78.67,46.66,86.77,86.77,1.0,1,0
charlie-comben,2019,ND,KPD,18.0,0,0,68.02,223.3,93.51,88.68,67.06,93.51,93.51,1.0,1,0
trent-rivers,2019,ND,SD,18.0,0,0,83.76,469.9,100.51,89.46,64.83,100.51,100.51,1.0,1,0
brock-smith,2019,ND,SD,18.0,0,0,0.0,0.0,100.51,89.46,64.83,100.51,100.51,1.0,1,0
jack-mahony,2019,ND,SF,18.0,0,0,48.37,1.1,88.87,82.23,57.29,88.87,88.87,1.0,1,0
elijah-taylor,2019,ND,SF,18.0,0,0,37.8,0.0,88.87,81.87,55.76,88.87,88.87,1.0,1,0
keidean-coleman,2019,ND,SD,19.0,0,0,80.37,456.2,100.43,86.65,63.21,100.43,100.43,1.0,1,0
nick-bryan,2019,ND,RUCK,18.0,0,0,66.25,62.1,109.76,93.81,51.07,109.76,109.76,1.0,1,0
chad-warner,2019,ND,MID,18.0,0,0,100.04,1727.8,105.87,92.62,57.24,105.87,105.87,1.0,1,0
jay-rantall,2019,ND,MID,18.0,0,0,15.0,0.0,106.04,92.54,57.91,106.04,106.04,1.0,1,0
francis-evans,2019,ND,SF,18.0,0,0,60.22,74.5,90.31,84.64,55.51,90.31,90.31,1.0,1,0
ronin-o-connor,2019,ND,MID,18.0,0,0,20.7,0.0,106.91,92.54,57.99,106.91,106.91,1.0,1,0
noah-cumberland,2019,ND,SF,18.0,0,0,42.7,6.5,89.78,83.53,53.85,89.78,89.78,1.0,1,0
will-martyn,2019,ND,MID,18.0,0,0,24.7,0.0,106.38,91.38,58.57,106.38,106.38,1.0,1,0
trent-bianco,2019,ND,MID,18.0,0,0,45.45,0.0,106.38,91.38,58.38,106.38,106.38,1.0,1,0
hugo-ralphsmith,2019,ND,MID,18.0,0,0,61.83,6.1,106.38,90.9,55.73,106.38,106.38,1.0,1,0
sam-ramsay,2019,ND,MID,18.0,0,0,0.0,0.0,106.38,88.96,55.73,106.38,106.38,1.0,1,0
lachlan-gollant,2019,ND,SF,18.0,0,0,42.0,3.9,90.02,77.64,51.67,90.02,90.02,1.0,1,0
callum-jamieson,2019,ND,RUCK,19.0,0,0,45.7,5.1,109.43,98.17,65.66,109.43,109.43,1.0,1,0
cameron-taheny,2019,ND,SF,18.0,0,0,0.0,0.0,90.25,78.35,51.27,90.25,90.25,1.0,1,0
jake-riccardi,2019,ND,KPF,20.0,0,0,63.0,216.4,89.4,76.79,50.62,89.4,89.4,1.0,1,0
ryan-byrnes,2019,ND,SD,18.0,0,0,62.59,8.1,99.43,83.45,58.04,99.43,99.43,1.0,1,0
louis-butler,2019,ND,SD,18.0,0,0,51.0,0.0,99.29,82.11,52.29,99.29,99.29,1.0,1,0
bigoa-nyuon,2019,ND,KPD,18.0,0,0,60.3,6.5,95.01,83.61,57.65,95.01,95.01,1.0,1,0
trey-ruscoe,2019,ND,SD,18.0,0,0,47.8,77.9,99.11,82.12,48.95,99.11,99.11,1.0,1,0
ned-cahill,2019,ND,SF,18.0,0,0,32.7,0.0,93.3,81.07,50.47,93.3,93.3,1.0,1,0
josh-morris,2019,ND,SF,18.0,0,0,27.0,0.0,91.8,79.27,48.75,91.8,91.8,1.0,1,0
jaxon-prior,2019,ND,SD,18.0,0,0,63.27,8.4,98.96,81.88,45.24,98.96,98.96,1.0,1,0
jy-farrar,2019,ND,KPF,23.0,0,0,60.37,22.7,77.44,63.13,42.75,77.44,65.99,0.67,1,0
