key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
shadeau-brain,Shadeau Brain,Brisbane,Essendon Bombers,Def,the-sheet-recut-20-8,23,DNP,DNP,81,76,-5,-6.17,641,647,-6,136,137,-1
shai-bolton,Shai Bolton,Fremantle,St Kilda Saints,Fwd,the-sheet-recut-20-8,23,PLAYED,109.0,2067,2140,73,3.53,97,95,2,25,24,1
shannon-neale,Shannon Neale,Geelong,Geelong Cats,Key Fwd,the-sheet-recut-20-8,23,PLAYED,77.0,2317,2329,12,0.52,80,83,-3,5,6,-1
shaun-mannagh,Shaun Mannagh,Geelong,Sydney Swans,Fwd,the-sheet-recut-20-8,23,PLAYED,98.0,650,712,62,9.54,277,267,10,69,68,1
sid-draper,Sid Draper,Adelaide,Melbourne Demons,Fwd,the-sheet-recut-20-8,23,DNP,DNP,914,906,-8,-0.88,226,226,0,53,55,-2
steele-sidebottom,Steele Sidebottom,Collingwood,Free agents,Mid,the-sheet-recut-20-8,23,DNP,DNP,8,8,0,0.0,787,787,0,148,148,0
steely-green,Steely Green,Richmond,Sydney Swans,Fwd,the-sheet-recut-20-8,23,PLAYED,24.0,73,67,-6,-8.22,657,669,-12,174,176,-2
stephen-coniglio,Stephen Coniglio,GWS,Port Adelaide Power,Fwd,the-sheet-recut-20-8,23,PLAYED,97.0,204,243,39,19.12,498,456,42,120,105,15
sullivan-robey,Sullivan Robey,Essendon,Fremantle Dockers,Fwd,the-sheet-recut-20-8,23,DNP,DNP,2864,2860,-4,-0.14,63,62,1,14,13,1
tai-hayes,Tai Hayes,Brisbane,Hawthorn Hawks,Fwd,the-sheet-recut-20-8,23,DNP,DNP,151,147,-4,-2.65,549,551,-2,136,137,-1
taj-hotton,Taj Hotton,Richmond,Hawthorn Hawks,Fwd,the-sheet-recut-20-8,23,PLAYED,40.0,1825,1750,-75,-4.11,119,126,-7,33,34,-1
talor-byrne,Talor Byrne,Carlton,Western Bulldogs,Fwd,the-sheet-recut-20-8,23,PLAYED,46.0,773,756,-17,-2.2,246,254,-8,60,63,-3
tanner-bruhn,Tanner Bruhn,Geelong,Brisbane Lions,Def,the-sheet-recut-20-8,23,PLAYED,97.0,2090,2131,41,1.96,96,96,0,21,22,-1
taylor-goad,Taylor Goad,North Melbourne,Richmond Tigers,Ruck,the-sheet-recut-20-8,23,DNP,DNP,437,439,2,0.46,344,346,-2,24,24,0
taylor-walker,Taylor Walker,Adelaide,Free agents,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,128,129,1,0.78,574,573,1,96,93,3
tew-jiath,Tew Jiath,Collingwood,Hawthorn Hawks,Def,the-sheet-recut-20-8,23,DNP,DNP,99,101,2,2.02,608,608,0,130,131,-1
thomas-anastasopoulos,Tom Anastasopoulos,Port Adelaide,Free agents,Fwd,the-sheet-recut-20-8,23,PLAYED,33.0,84,79,-5,-5.95,637,643,-6,166,167,-1
thomas-burton,Thomas Burton,Richmond,Carlton Blues,Mid,the-sheet-recut-20-8,23,DNP,DNP,305,303,-2,-0.66,410,413,-3,96,98,-2
thomas-liberatore,Thomas Liberatore,Western Bulldogs,West Coast Eagles,Mid,the-sheet-recut-20-8,23,PLAYED,135.0,971,1110,139,14.32,214,193,21,53,48,5
thomas-matthews,Thomas Matthews,Melbourne,Melbourne Demons,Fwd,the-sheet-recut-20-8,23,DNP,DNP,238,232,-6,-2.52,462,470,-8,106,113,-7
thomas-sims,Thomas Sims,Richmond,Carlton Blues,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,737,737,0,0.0,261,261,0,32,33,-1
thomas-stewart,Thomas Stewart,Geelong,North Melbourne Kangaroos,Def,the-sheet-recut-20-8,23,PLAYED,76.0,1034,974,-60,-5.8,202,212,-10,51,54,-3
tim-kelly,Tim Kelly,West Coast,West Coast Eagles,Fwd,the-sheet-recut-20-8,23,PLAYED,115.0,1157,1225,68,5.88,185,173,12,49,47,2
