key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,21,22,PLAYED,62.0,1802,1756,-46,-2.55,135,136,-1,12,13,-1
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,21,22,PLAYED,58.0,1309,1223,-86,-6.57,188,194,-6,24,26,-2
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,21,22,PLAYED,109.0,980,1044,64,6.53,225,220,5,56,54,2
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,21,22,DNP,DNP,446,432,-14,-3.14,363,373,-10,88,91,-3
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Mid,21,22,DNP,DNP,408,397,-11,-2.7,385,390,-5,88,88,0
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Fwd,21,22,DNP,DNP,935,925,-10,-1.07,240,246,-6,56,58,-2
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,21,22,DNP,DNP,38,38,0,0.0,743,743,0,70,70,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,21,22,DNP,DNP,72,70,-2,-2.78,670,672,-2,111,111,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,21,22,DNP,DNP,521,509,-12,-2.3,340,342,-2,50,49,1
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,21,22,DNP,DNP,177,174,-3,-1.69,521,523,-2,38,39,-1
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,21,22,DNP,DNP,412,405,-7,-1.7,383,386,-3,87,86,1
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Key Fwd,21,22,DNP,DNP,278,274,-4,-1.44,437,440,-3,66,68,-2
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,21,22,PLAYED,99.0,313,375,62,19.81,417,399,18,99,98,1
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,21,22,DNP,DNP,23,23,0,0.0,767,765,2,76,74,2
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,21,22,PLAYED,69.0,235,265,30,12.77,473,444,29,32,32,0
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,21,22,PLAYED,40.0,874,783,-91,-10.41,252,269,-17,18,20,-2
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Fwd,21,22,DNP,DNP,1628,1650,22,1.35,148,149,-1,16,16,0
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,21,22,PLAYED,78.0,3113,3182,69,2.22,59,59,0,24,23,1
andrew-mcgrath,Andrew McGrath,Essendon,Geelong Cats,Def,21,22,PLAYED,89.0,945,1038,93,9.84,238,222,16,59,54,5
andy-moniz-wakefield,Andy Moniz-Wakefield,Melbourne,West Coast Eagles,Def,21,22,DNP,DNP,28,26,-2,-7.14,757,760,-3,164,165,-1
angus-anderson,Angus Anderson,Collingwood,North Melbourne Kangaroos,Fwd,21,22,PLAYED,62.0,161,182,21,13.04,542,512,30,136,126,10
angus-clarke,Angus Clarke,Essendon,Carlton Blues,Def,21,22,DNP,DNP,746,754,8,1.07,276,275,1,66,66,0
angus-hastie,Angus Hastie,St Kilda,Richmond Tigers,Def,21,22,DNP,DNP,191,185,-6,-3.14,507,509,-2,115,113,2
angus-sheldrick,Angus Sheldrick,Sydney,Western Bulldogs,Mid,21,22,DNP,DNP,756,757,1,0.13,273,273,0,64,66,-2
anthony-caminiti,Anthony Caminiti,St Kilda,Collingwood Magpies,Key Fwd,21,22,PLAYED,40.0,974,970,-4,-0.41,228,233,-5,31,33,-2
archer-day-wicks,Archer Day-Wicks,Essendon,Adelaide Crows,Fwd,21,22,PLAYED,31.0,636,629,-7,-1.1,299,305,-6,74,76,-2
archer-reid,Archer Reid,West Coast,Melbourne Demons,Key Fwd,21,22,DNP,DNP,697,702,5,0.72,286,288,-2,40,40,0
archie-ludowyke,Archie Ludowyke,Adelaide,Fremantle Dockers,Key Fwd,21,22,PLAYED,23.0,215,317,102,47.44,492,419,73,77,64,13
archie-may,Archie May,Essendon,Western Bulldogs,Key Fwd,21,22,DNP,DNP,429,428,-1,-0.23,373,377,-4,58,59,-1
archie-perkins,Archie Perkins,Essendon,Melbourne Demons,Fwd,21,22,PLAYED,75.0,234,235,1,0.43,477,467,10,116,112,4
archie-roberts,Archie Roberts,Essendon,St Kilda Saints,Def,21,22,PLAYED,71.0,4941,4809,-132,-2.67,19,22,-3,3,3,0
arthur-jones,Arthur Jones,Western Bulldogs,Adelaide Crows,Fwd,21,22,PLAYED,34.0,92,92,0,0.0,635,635,0,165,166,-1
asher-eastham,Asher Eastham,Gold Coast,Free agents,Fwd,21,22,DNP,DNP,96,94,-2,-2.08,630,632,-2,163,165,-2
ashton-moir,Ashton Moir,Carlton,St Kilda Saints,Fwd,21,22,DNP,DNP,258,247,-11,-4.26,452,458,-6,110,110,0
avery-thomas,Avery Thomas,Gold Coast,Melbourne Demons,Def,21,22,DNP,DNP,406,394,-12,-2.96,386,391,-5,92,93,-1
bailey-banfield,Bailey Banfield,Fremantle,St Kilda Saints,Def,21,22,DNP,DNP,11,11,0,0.0,789,789,0,172,172,0
bailey-dale,Bailey Dale,Western Bulldogs,Geelong Cats,Def,21,22,DNP,DNP,2287,2289,2,0.09,97,97,0,22,20,2
bailey-humphrey,Bailey Humphrey,Gold Coast,Western Bulldogs,Fwd,21,22,PLAYED,109.0,2422,2572,150,6.19,85,79,6,21,20,1
bailey-laurie,Bailey Laurie,Melbourne,Free agents,Fwd,21,22,PLAYED,73.0,56,56,0,0.0,695,698,-3,189,189,0
bailey-macdonald,Bailey Macdonald,Hawthorn,Western Bulldogs,Def,21,22,DNP,DNP,142,143,1,0.7,571,567,4,125,123,2
bailey-scott,Bailey Scott,North Melbourne,Free agents,Mid,21,22,DNP,DNP,23,23,0,0.0,768,766,2,147,147,0
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,21,22,PLAYED,161.0,6689,6776,87,1.3,11,11,0,6,6,0
bailey-williams-wb,Bailey Williams,Western Bulldogs,Collingwood Magpies,Def,21,22,PLAYED,89.0,598,621,23,3.85,313,312,1,78,77,1
bailey-williams-wc,Bailey J. Williams,West Coast,Sydney Swans,Key Fwd,21,22,PLAYED,97.0,2437,2504,67,2.75,82,82,0,5,6,-1
balyn-o-brien,Balyn O'Brien,Port Adelaide,Free agents,Def,21,22,PLAYED,24.0,282,294,12,4.26,435,428,7,101,100,1
bayley-fritsch,Bayley Fritsch,Melbourne,Geelong Cats,Fwd,21,22,PLAYED,98.0,156,201,45,28.85,549,498,51,139,122,17
beau-addinsall,Beau Addinsall,Gold Coast,Fremantle Dockers,Mid,21,22,DNP,DNP,1517,1517,0,0.0,160,161,-1,42,41,1
beau-mccreery,Beau McCreery,Collingwood,Sydney Swans,Fwd,21,22,PLAYED,65.0,130,136,6,4.62,579,578,1,147,148,-1
ben-ainsworth,Ben Ainsworth,Carlton,Brisbane Lions,Fwd,21,22,PLAYED,59.0,197,207,10,5.08,500,497,3,124,121,3
ben-camporeale,Ben Camporeale,Carlton,Fremantle Dockers,Mid,21,22,DNP,DNP,255,249,-6,-2.35,454,455,-1,106,106,0
ben-jepson,Ben Jepson,Gold Coast,Free agents,Mid,21,22,DNP,DNP,88,88,0,0.0,637,638,-1,133,133,0
ben-keays,Ben Keays,Adelaide,Adelaide Crows,Fwd,21,22,PLAYED,42.0,263,199,-64,-24.33,448,501,-53,108,123,-15
ben-king,Ben King,Gold Coast,Sydney Swans,Key Fwd,21,22,PLAYED,69.0,238,232,-6,-2.52,470,472,-2,71,72,-1
ben-long,Ben Long,Gold Coast,Richmond Tigers,Fwd,21,22,PLAYED,35.0,28,28,0,0.0,758,755,3,209,209,0
ben-mckay,Ben McKay,Essendon,West Coast Eagles,Key Def,21,22,DNP,DNP,35,35,0,0.0,747,746,1,71,71,0
ben-miller,Ben Miller,Richmond,Sydney Swans,Key Def,21,22,PLAYED,105.0,958,1055,97,10.13,231,219,12,15,14,1
ben-murphy,Ben Murphy,Brisbane,North Melbourne Kangaroos,Def,21,22,DNP,DNP,84,80,-4,-4.76,643,651,-8,138,140,-2
benny-barrett,Benny Barrett,Port Adelaide,Free agents,Fwd,21,22,DNP,DNP,51,50,-1,-1.96,707,707,0,193,192,1
billy-cootee,Billy Cootee,Sydney,Essendon Bombers,Mid,21,22,PLAYED,58.0,264,264,0,0.0,446,446,0,104,103,1
billy-dowling,Billy Dowling,Adelaide,Essendon Bombers,Fwd,21,22,PLAYED,61.0,219,186,-33,-15.07,487,508,-21,120,125,-5
billy-frampton,Billy Frampton,Collingwood,Brisbane Lions,Key Def,21,22,PLAYED,65.0,34,35,1,2.94,749,747,2,72,72,0
billy-wilson,Billy Wilson,Carlton,Western Bulldogs,Def,21,22,PLAYED,71.0,923,962,39,4.23,243,236,7,62,56,6
blake-acres,Blake Acres,Carlton,Brisbane Lions,Mid,21,22,PLAYED,86.0,81,87,6,7.41,653,640,13,135,134,1
blake-hardwick,Blake Hardwick,Hawthorn,Port Adelaide Power,Def,21,22,PLAYED,105.0,491,531,40,8.15,352,335,17,86,83,3
blake-howes,Blake Howes,Melbourne,Essendon Bombers,Def,21,22,DNP,DNP,276,277,1,0.36,441,436,5,103,103,0
blake-thredgold,Blake Thredgold,North Melbourne,Fremantle Dockers,Key Def,21,22,DNP,DNP,373,373,0,0.0,398,401,-3,31,32,-1
bo-allan,Bo Allan,West Coast,Melbourne Demons,Def,21,22,PLAYED,43.0,1121,1152,31,2.77,213,207,6,52,51,1
bobby-hill,Bobby Hill,Collingwood,West Coast Eagles,Fwd,21,22,DNP,DNP,29,29,0,0.0,753,751,2,208,207,1
bodhi-uwland,Bodhi Uwland,Gold Coast,Port Adelaide Power,Def,21,22,PLAYED,110.0,4137,4199,62,1.5,34,32,2,7,7,0
bodie-ryan,Bodie Ryan,Hawthorn,Collingwood Magpies,Def,21,22,DNP,DNP,252,240,-12,-4.76,459,463,-4,106,107,-1
bradley-close,Bradley Close,Geelong,Geelong Cats,Fwd,21,22,PLAYED,57.0,16,15,-1,-6.25,778,778,0,219,219,0
bradley-hill,Bradley Hill,St Kilda,Port Adelaide Power,Fwd,21,22,PLAYED,115.0,1169,1241,72,6.16,207,191,16,52,46,6
brady-hough,Brady Hough,West Coast,Essendon Bombers,Def,21,22,PLAYED,80.0,290,298,8,2.76,430,426,4,100,98,2
braeden-campbell,Braeden Campbell,Sydney,Essendon Bombers,Fwd,21,22,PLAYED,85.0,345,408,63,18.26,406,384,22,97,92,5
brandon-starcevich,Brandon Starcevich,Brisbane,Melbourne Demons,Def,21,22,PLAYED,32.0,41,41,0,0.0,734,734,0,158,158,0
brandon-walker,Brandon Walker,Fremantle,Port Adelaide Power,Def,21,22,DNP,DNP,62,60,-2,-3.23,693,694,-1,147,149,-2
brandon-zerk-thatcher,Brandon Zerk-Thatcher,Essendon,Free agents,Key Def,21,22,DNP,DNP,48,47,-1,-2.08,717,725,-8,65,65,0
brayden-cook,Brayden Cook,Adelaide,North Melbourne Kangaroos,Fwd,21,22,PLAYED,73.0,766,793,27,3.52,268,265,3,64,65,-1
brayden-fiorini,Brayden Fiorini,Essendon,Brisbane Lions,Mid,21,22,DNP,DNP,177,169,-8,-4.52,522,530,-8,115,115,0
brayden-george,Brayden George,North Melbourne,Richmond Tigers,Fwd,21,22,DNP,DNP,234,234,0,0.0,478,469,9,117,113,4
brayden-maynard,Brayden Maynard,Collingwood,North Melbourne Kangaroos,Def,21,22,DNP,DNP,498,497,-1,-0.2,347,348,-1,84,86,-2
brennan-cox,Brennan Cox,Fremantle,West Coast Eagles,Key Def,21,22,PLAYED,59.0,264,262,-2,-0.76,447,448,-1,35,35,0
brent-daniels,Brent Daniels,GWS,Essendon Bombers,Fwd,21,22,DNP,DNP,1212,1215,3,0.25,201,197,4,50,49,1
brodie-grundy,Brodie Grundy,Sydney,St Kilda Saints,Ruck,21,22,DNP,DNP,4559,4552,-7,-0.15,24,25,-1,3,3,0
brodie-kemp,Brodie Kemp,Carlton,Geelong Cats,Key Fwd,21,22,PLAYED,57.0,768,678,-90,-11.72,267,290,-23,39,41,-2
brody-mihocek,Brody Mihocek,Melbourne,Brisbane Lions,Key Fwd,21,22,DNP,DNP,10,10,0,0.0,791,790,1,120,119,1
bruce-reville,Bruce Reville,Brisbane,North Melbourne Kangaroos,Mid,21,22,DNP,DNP,54,54,0,0.0,703,699,4,141,141,0
buku-khamis,Buku Khamis,Western Bulldogs,Brisbane Lions,Key Fwd,21,22,PLAYED,43.0,149,148,-1,-0.67,559,560,-1,89,91,-2
caiden-cleary,Caiden Cleary,Sydney,Richmond Tigers,Fwd,21,22,DNP,DNP,450,441,-9,-2.0,361,369,-8,87,89,-2
caleb-daniel,Caleb Daniel,North Melbourne,Port Adelaide Power,Def,21,22,PLAYED,102.0,1346,1358,12,0.89,179,178,1,47,45,2
caleb-graham,Caleb Graham,Gold Coast,Free agents,Key Def,21,22,DNP,DNP,40,40,0,0.0,736,737,-1,69,69,0
caleb-lewis,Caleb Lewis,Gold Coast,Free agents,Key Fwd,21,22,DNP,DNP,146,138,-8,-5.48,564,575,-11,92,94,-2
caleb-may,Caleb May,Western Bulldogs,Melbourne Demons,Ruck,21,22,DNP,DNP,235,231,-4,-1.7,474,475,-1,33,34,-1
caleb-serong,Caleb Serong,Fremantle,Western Bulldogs,Mid,21,22,PLAYED,105.0,5132,5097,-35,-0.68,17,17,0,9,9,0
caleb-windsor,Caleb Windsor,Melbourne,Western Bulldogs,Def,21,22,PLAYED,48.0,1647,1683,36,2.19,146,144,2,36,35,1
callum-ah-chee,Callum Ah Chee,Adelaide,Geelong Cats,Fwd,21,22,PLAYED,58.0,66,66,0,0.0,683,681,2,183,181,2
callum-brown-ire,Callum M. Brown,GWS,St Kilda Saints,Fwd,21,22,PLAYED,77.0,35,29,-6,-17.14,748,752,-4,207,208,-1
callum-coleman-jones,Callum Coleman-Jones,North Melbourne,Free agents,Ruck,21,22,DNP,DNP,39,39,0,0.0,739,740,-1,46,46,0
callum-mills,Callum Mills,Sydney,Collingwood Magpies,Def,21,22,PLAYED,107.0,2032,2024,-8,-0.39,122,121,1,27,27,0
callum-wilkie,Callum Wilkie,St Kilda,North Melbourne Kangaroos,Key Def,21,22,PLAYED,39.0,3826,3679,-147,-3.84,42,44,-2,3,2,1
calsher-dear,Calsher Dear,Hawthorn,Collingwood Magpies,Key Fwd,21,22,DNP,DNP,956,965,9,0.94,234,234,0,33,34,-1
cameron-mackenzie,Cameron Mackenzie,Hawthorn,Western Bulldogs,Mid,21,22,PLAYED,87.0,2094,2247,153,7.31,112,101,11,36,36,0
cameron-nairn,Cameron Nairn,Hawthorn,Hawthorn Hawks,Fwd,21,22,DNP,DNP,634,630,-4,-0.63,302,304,-2,76,75,1
cameron-rayner,Cameron Rayner,Brisbane,Geelong Cats,Fwd,21,22,PLAYED,72.0,687,463,-224,-32.61,288,361,-73,69,87,-18
cameron-zurhaar,Cameron Zurhaar,North Melbourne,Richmond Tigers,Fwd,21,22,PLAYED,100.0,94,126,32,34.04,632,591,41,164,153,11
campbell-chesser,Campbell Chesser,Carlton,Essendon Bombers,Mid,21,22,DNP,DNP,277,265,-12,-4.33,439,445,-6,103,102,1
campbell-gray,Campbell Gray,Richmond,Carlton Blues,Key Def,21,22,DNP,DNP,180,177,-3,-1.67,516,516,0,41,41,0
campbell-lake,Campbell Lake,St Kilda,Richmond Tigers,Fwd,21,22,PLAYED,36.0,153,117,-36,-23.53,553,600,-47,140,155,-15
chad-warner,Chad Warner,Sydney,North Melbourne Kangaroos,Fwd,21,22,PLAYED,123.0,4038,4472,434,10.75,36,26,10,8,5,3
changkuoth-jiath,Changkuoth Jiath,Melbourne,Western Bulldogs,Def,21,22,PLAYED,83.0,10,12,2,20.0,792,785,7,173,169,4
charlie-ballard,Charlie Ballard,Gold Coast,Carlton Blues,Key Def,21,22,PLAYED,63.0,42,46,4,9.52,731,727,4,68,66,2
charlie-banfield,Charlie Banfield,St Kilda,Melbourne Demons,Fwd,21,22,DNP,DNP,639,634,-5,-0.78,297,302,-5,73,74,-1
charlie-cameron,Charlie Cameron,Brisbane,Sydney Swans,Fwd,21,22,PLAYED,64.0,164,153,-11,-6.71,537,553,-16,133,143,-10
charlie-comben,Charlie Comben,North Melbourne,St Kilda Saints,Key Def,21,22,PLAYED,60.0,804,815,11,1.37,263,260,3,20,19,1
charlie-curnow,Charlie Curnow,Carlton,Adelaide Crows,Key Fwd,21,22,PLAYED,85.0,1389,1431,42,3.02,171,170,1,22,21,1
charlie-edwards,Charlie Edwards,Adelaide,Hawthorn Hawks,Def,21,22,DNP,DNP,725,721,-4,-0.55,281,283,-2,68,70,-2
charlie-nicholls,Charlie Nicholls,Fremantle,Hawthorn Hawks,Key Fwd,21,22,DNP,DNP,203,199,-4,-1.97,498,502,-4,78,81,-3
charlie-spargo,Charlie Spargo,Melbourne,Port Adelaide Power,Fwd,21,22,PLAYED,69.0,26,26,0,0.0,763,761,2,212,212,0
charlie-west,Charlie West,Collingwood,Western Bulldogs,Key Fwd,21,22,PLAYED,23.0,446,671,225,50.45,364,294,70,56,42,14
chayce-jones,Chayce Jones,Adelaide,Free agents,Def,21,22,DNP,DNP,48,48,0,0.0,718,719,-1,153,153,0
chris-scerri,Chris Scerri,Fremantle,Richmond Tigers,Fwd,21,22,DNP,DNP,302,301,-1,-0.33,423,424,-1,101,103,-2
christian-moraes,Christian Moraes,Port Adelaide,Richmond Tigers,Fwd,21,22,PLAYED,36.0,921,915,-6,-0.65,246,248,-2,59,60,-1
christian-petracca,Christian Petracca,Gold Coast,West Coast Eagles,Fwd,21,22,PLAYED,46.0,2324,2066,-258,-11.1,93,115,-22,23,32,-9
christian-salem,Christian Salem,Melbourne,Port Adelaide Power,Def,21,22,PLAYED,32.0,232,93,-139,-59.91,479,633,-154,112,133,-21
