key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,18,19,PLAYED,31.0,2635,2175,-460,-17.46,70,102,-32,5,5,0
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,18,19,PLAYED,47.0,1504,1407,-97,-6.45,164,178,-14,18,19,-1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,18,19,DNP,DNP,1189,1194,5,0.42,200,201,-1,81,83,-2
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,18,19,DNP,DNP,626,614,-12,-1.92,315,326,-11,67,69,-2
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Fwd,18,19,DNP,DNP,592,579,-13,-2.2,330,344,-14,41,44,-3
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Mid,18,19,DNP,DNP,644,627,-17,-2.64,311,320,-9,114,116,-2
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,18,19,PLAYED,60.0,49,49,0,0.0,724,722,2,80,80,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,18,19,DNP,DNP,74,73,-1,-1.35,699,696,3,90,90,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,18,19,DNP,DNP,638,623,-15,-2.35,314,321,-7,45,46,-1
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,18,19,DNP,DNP,452,446,-6,-1.33,392,395,-3,39,39,0
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,18,19,DNP,DNP,487,480,-7,-1.44,379,377,2,130,127,3
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Ruck,18,19,DNP,DNP,462,455,-7,-1.52,388,390,-2,38,38,0
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,18,19,PLAYED,59.0,453,442,-11,-2.43,391,399,-8,51,53,-2
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,18,19,PLAYED,59.0,38,38,0,0.0,744,742,2,84,84,0
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,18,19,DNP,DNP,589,581,-8,-1.36,332,339,-7,30,30,0
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,18,19,PLAYED,101.0,981,1005,24,2.45,230,231,-1,18,20,-2
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Def,18,19,DNP,DNP,1517,1527,10,0.66,162,163,-1,13,12,1
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,18,19,PLAYED,100.0,3039,3002,-37,-1.22,55,57,-2,33,34,-1
andrew-mcgrath,Andrew McGrath,Essendon,Geelong Cats,Def,18,19,PLAYED,77.0,1114,1118,4,0.36,210,209,1,44,44,0
andy-moniz-wakefield,Andy Moniz-Wakefield,Melbourne,West Coast Eagles,Def,18,19,DNP,DNP,48,46,-2,-4.17,726,728,-2,157,157,0
