# 270a2c5f (ACT-2 baseline) -> 06d8af60 (all consumers on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 06d8af60
# CUMULATIVE value()/rank/pick-equiv umbrella; real=own proj_value moved, casc=displaced
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 697 of 804 active

REAL  Hugo Hall-Kahan            #378 -> #313 ( -65)  v=107  ty=MSD pk=11  unpl=False
casc  Jarrod Witts               #446 -> #511 ( +65)  v=466  ty=ND  pk=81  unpl=False
casc  Ben King                   #459 -> #524 ( +65)  v=428  ty=ND  pk=6   unpl=False
casc  Jarrod Berry               #460 -> #525 ( +65)  v=559  ty=ND  pk=17  unpl=False
casc  Jack Darling               #467 -> #532 ( +65)  v=367  ty=ND  pk=34  unpl=False
casc  Tom Doedee                 #515 -> #580 ( +65)  v=393  ty=ND  pk=17  unpl=False
casc  Marc Pittonet              #442 -> #506 ( +64)  v=505  ty=ND  pk=50  unpl=False
casc  Ned Long                   #443 -> #507 ( +64)  v=1233 ty=RD  pk=4   unpl=False
casc  Hayden McLean              #463 -> #527 ( +64)  v=586  ty=SSP pk=None unpl=False
casc  Jeremy Howe                #511 -> #575 ( +64)  v=308  ty=ND  pk=42  unpl=False
REAL  Harrison Ramm              #402 -> #339 ( -63)  v=322  ty=MSD pk=3   unpl=False
REAL  Zac Walker                 #432 -> #369 ( -63)  v=240  ty=MSD pk=12  unpl=False
REAL  Caleb Lewis                #433 -> #370 ( -63)  v=219  ty=MSD pk=14  unpl=False
REAL  Noah Howes                 #434 -> #371 ( -63)  v=285  ty=MSD pk=15  unpl=False
casc  Cameron Rayner             #513 -> #576 ( +63)  v=438  ty=ND  pk=1   unpl=False
casc  Tom McDonald               #525 -> #588 ( +63)  v=360  ty=ND  pk=65  unpl=False
casc  James Worpel               #526 -> #589 ( +63)  v=519  ty=ND  pk=45  unpl=False
REAL  Josh Gibcus                #278 -> #340 ( +62)  v=245  ty=ND  pk=9   unpl=False
REAL  Kye Annand                 #380 -> #318 ( -62)  v=188  ty=MSD pk=2   unpl=False
REAL  Xavier Bamert              #381 -> #319 ( -62)  v=280  ty=MSD pk=5   unpl=False
REAL  Campbell Lake              #382 -> #320 ( -62)  v=148  ty=MSD pk=7   unpl=False
REAL  Lukas Cooke                #383 -> #321 ( -62)  v=188  ty=MSD pk=11  unpl=False
REAL  Marcus Herbert             #384 -> #322 ( -62)  v=35   ty=MSD pk=13  unpl=False
REAL  Joel Fitzgerald            #385 -> #323 ( -62)  v=110  ty=MSD pk=16  unpl=False
REAL  Mitch Podhajski            #386 -> #324 ( -62)  v=31   ty=MSD pk=17  unpl=False
REAL  Zac McCarthy               #387 -> #325 ( -62)  v=385  ty=ND  pk=55  unpl=True
REAL  Jaxon Artemis              #389 -> #327 ( -62)  v=380  ty=MSD pk=1   unpl=False
REAL  Oliver Francou             #390 -> #328 ( -62)  v=410  ty=MSD pk=3   unpl=False
REAL  Flynn Riley                #391 -> #329 ( -62)  v=620  ty=MSD pk=4   unpl=False
REAL  Oliver Griffin             #392 -> #330 ( -62)  v=229  ty=MSD pk=6   unpl=False
REAL  Harrison Coe               #393 -> #331 ( -62)  v=254  ty=MSD pk=8   unpl=False
REAL  Caleb May                  #394 -> #332 ( -62)  v=620  ty=MSD pk=9   unpl=False
REAL  Max Beattie                #395 -> #333 ( -62)  v=53   ty=MSD pk=12  unpl=False
REAL  Alex Van Wyk               #396 -> #334 ( -62)  v=620  ty=MSD pk=14  unpl=False
REAL  Liam Puncher               #397 -> #335 ( -62)  v=170  ty=MSD pk=15  unpl=False
REAL  Max Mapley                 #398 -> #336 ( -62)  v=620  ty=MSD pk=18  unpl=False
REAL  Archie May                 #375 -> #314 ( -61)  v=482  ty=MSD pk=6   unpl=False
REAL  Jacob Moss                 #447 -> #386 ( -61)  v=278  ty=UNR pk=None unpl=False
REAL  Jaime Uhr-Henry            #448 -> #387 ( -61)  v=480  ty=UNR pk=None unpl=False
REAL  Iliro Smit                 #449 -> #388 ( -61)  v=308  ty=MSD pk=10  unpl=False
REAL  Vigo Visentini             #451 -> #390 ( -61)  v=326  ty=RD  pk=6   unpl=False
