key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,redesign-adoption-6-8,21,PLAYED,65.0,1905,1802,-103,-5.41,127,135,-8,10,12,-2
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,redesign-adoption-6-8,21,DNP,DNP,1314,1309,-5,-0.38,187,188,-1,23,24,-1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,redesign-adoption-6-8,21,PLAYED,91.0,948,980,32,3.38,236,225,11,56,56,0
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,redesign-adoption-6-8,21,DNP,DNP,462,446,-16,-3.46,362,363,-1,88,88,0
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Mid,redesign-adoption-6-8,21,DNP,DNP,421,408,-13,-3.09,380,385,-5,86,88,-2
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Fwd,redesign-adoption-6-8,21,DNP,DNP,947,935,-12,-1.27,237,240,-3,58,56,2
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,redesign-adoption-6-8,21,PLAYED,52.0,38,38,0,0.0,742,743,-1,70,70,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,redesign-adoption-6-8,21,DNP,DNP,75,72,-3,-4.0,666,670,-4,111,111,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,redesign-adoption-6-8,21,PLAYED,24.0,506,521,15,2.96,344,340,4,51,50,1
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,redesign-adoption-6-8,21,DNP,DNP,181,177,-4,-2.21,517,521,-4,38,38,0
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,redesign-adoption-6-8,21,DNP,DNP,423,412,-11,-2.6,378,383,-5,84,87,-3
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Key Fwd,redesign-adoption-6-8,21,DNP,DNP,284,278,-6,-2.11,435,437,-2,65,66,-1
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,redesign-adoption-6-8,21,PLAYED,77.0,298,313,15,5.03,424,417,7,103,99,4
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,redesign-adoption-6-8,21,PLAYED,31.0,23,23,0,0.0,767,767,0,75,76,-1
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,redesign-adoption-6-8,21,DNP,DNP,239,235,-4,-1.67,469,473,-4,32,32,0
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,redesign-adoption-6-8,21,PLAYED,122.0,792,874,82,10.35,263,252,11,20,18,2
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Fwd,redesign-adoption-6-8,21,DNP,DNP,1624,1628,4,0.25,151,148,3,16,16,0
