key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
lachlan-mcandrew,Lachlan McAndrew,Adelaide,Brisbane Lions,Ruck,17,18,PLAYED,95.0,1429,1490,61,4.27,169,165,4,14,14,0
lachlan-mcneil,Lachlan McNeil,Western Bulldogs,Free agents,Fwd,17,18,DNP,DNP,32,31,-1,-3.12,759,761,-2,169,172,-3
lachlan-schultz,Lachlan Schultz,Fremantle,Adelaide Crows,Fwd,17,18,DNP,DNP,815,822,7,0.86,270,265,5,33,33,0
lachlan-sholl,Lachlan Sholl,Adelaide,Free agents,Mid,17,18,DNP,DNP,255,241,-14,-5.49,529,539,-10,158,156,2
lachlan-smith,Lachlan Smith,Western Bulldogs,Collingwood Magpies,Ruck,17,18,DNP,DNP,696,693,-3,-0.43,298,298,0,25,25,0
lachlan-weller,Lachlan Weller,Gold Coast,Brisbane Lions,Mid,17,18,DNP,DNP,83,83,0,0.0,686,686,0,179,180,-1
lachy-dovaston,Lachy Dovaston,North Melbourne,Fremantle Dockers,Fwd,17,18,DNP,DNP,848,849,1,0.12,258,258,0,30,31,-1
laitham-vandermeer,Laitham Vandermeer,Western Bulldogs,Free agents,Fwd,17,18,DNP,DNP,32,32,0,0.0,760,759,1,170,171,-1
lance-collard,Lance Collard,St Kilda,Hawthorn Hawks,Fwd,17,18,DNP,DNP,243,238,-5,-2.06,541,543,-2,90,92,-2
latrelle-pickett,Latrelle Pickett,Melbourne,Collingwood Magpies,Fwd,17,18,PLAYED,49.0,543,536,-7,-1.29,351,358,-7,43,45,-2
lawson-humphries,Lawson Humphries,Geelong,Geelong Cats,Def,17,18,PLAYED,83.0,1847,1852,5,0.27,130,131,-1,26,26,0
leek-aleer,Leek Aleer,GWS,Port Adelaide Power,Key Def,17,18,DNP,DNP,294,288,-6,-2.04,494,498,-4,47,47,0
lennox-hoffman,Lennox Hoffman,Geelong,St Kilda Saints,Def,17,18,DNP,DNP,260,256,-4,-1.54,522,526,-4,109,110,-1
leo-lombard,Leo Lombard,Gold Coast,Fremantle Dockers,Fwd,17,18,PLAYED,83.0,1416,1581,165,11.65,174,153,21,21,17,4
leon-kickett,Leon Kickett,Fremantle,Free agents,Fwd,17,18,DNP,DNP,334,324,-10,-2.99,460,469,-9,67,71,-4
levi-ashcroft,Levi Ashcroft,Brisbane,Essendon Bombers,Mid,17,18,PLAYED,89.0,3394,3413,19,0.56,47,49,-2,29,30,-1
lewis-hayes,Lewis Hayes,Essendon,Western Bulldogs,Key Def,17,18,DNP,DNP,359,359,0,0.0,440,439,1,40,41,-1
lewis-melican,Lewis Melican,Sydney,Brisbane Lions,Key Def,17,18,DNP,DNP,55,55,0,0.0,715,712,3,79,79,0
lewis-young,Lewis Young,Carlton,Carlton Blues,Key Def,17,18,DNP,DNP,150,149,-1,-0.67,617,618,-1,67,67,0
liam-baker,Liam Baker,West Coast,Carlton Blues,Def,17,18,PLAYED,68.0,661,619,-42,-6.35,303,320,-17,66,68,-2
liam-duggan,Liam Duggan,West Coast,Adelaide Crows,Def,17,18,PLAYED,86.0,364,387,23,6.32,437,428,9,93,91,2
liam-fawcett,Liam Fawcett,Richmond,Carlton Blues,Key Fwd,17,18,DNP,DNP,516,512,-4,-0.78,360,365,-5,48,49,-1
liam-henry,Liam Henry,St Kilda,Essendon Bombers,Fwd,17,18,PLAYED,39.0,83,83,0,0.0,687,687,0,143,143,0
liam-hetherton,Liam Hetherton,Sydney,St Kilda Saints,Key Fwd,17,18,DNP,DNP,221,222,1,0.45,559,554,5,77,75,2
liam-mcmahon,Liam McMahon,Essendon,Free agents,Key Fwd,17,18,DNP,DNP,206,203,-3,-1.46,574,567,7,80,80,0
liam-o-connell,Liam O'Connell,St Kilda,West Coast Eagles,Def,17,18,PLAYED,54.0,86,82,-4,-4.65,682,688,-6,146,148,-2
