key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,15,16,PLAYED,66.0,2740,2779,39,1.42,65,63,2,5,5,0
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,15,16,DNP,DNP,1547,1544,-3,-0.19,163,160,3,17,16,1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,15,16,PLAYED,79.0,1116,1072,-44,-3.94,213,220,-7,85,86,-1
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,15,16,DNP,DNP,655,641,-14,-2.14,308,313,-5,66,68,-2
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Fwd,15,16,DNP,DNP,630,618,-12,-1.9,315,318,-3,37,37,0
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Mid,15,16,DNP,DNP,697,678,-19,-2.73,300,305,-5,113,115,-2
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,15,16,PLAYED,52.0,49,49,0,0.0,734,726,8,80,80,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,15,16,DNP,DNP,84,82,-2,-2.38,684,689,-5,91,90,1
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,15,16,DNP,DNP,677,665,-12,-1.77,304,309,-5,40,41,-1
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,15,16,DNP,DNP,472,466,-6,-1.27,390,388,2,38,39,-1
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,15,16,DNP,DNP,505,496,-9,-1.78,370,372,-2,132,129,3
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Ruck,15,16,DNP,DNP,482,475,-7,-1.45,383,385,-2,37,38,-1
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,15,16,PLAYED,76.0,525,545,20,3.81,362,346,16,43,42,1
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,15,16,PLAYED,35.0,38,38,0,0.0,748,748,0,84,84,0
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,15,16,DNP,DNP,611,604,-7,-1.15,319,321,-2,29,29,0
