player                      EV  EXPECT
  Nick Daicos             7013    7013
  Marcus Bontempelli      3085    3085
  Harry Sheezel           7150    7150
  Max Gawn                2120    2120
  Harley Reid             3537    3537
  Josh Ward               1640    1640
  Darcy Moore              199     199
  Taylor Goad              757     757
  Josh Smillie             995     995
  Will Green               541     541

RESULT: PASS 10/10
