(a) BLEND STRIP — former-dual players, PREVIOUS(held) -> CONTROL(strip-only, no 34). drop = lost second-leg / forward-eligibility value.
Only active (board) former-duals shown. present=future collapsed to the dominant (max-weight) leg.

active former-duals on board: 94
blend-strip DROP distribution: median=1  mean=96.7  max=984  |drop|<=$5: 13/94 (14%)

player                   PREV     CTRL     drop      legs (raw_multipos)
Peter Wright             1632     1667     -35       [['KFWD', 85.0], ['RUC', 15.0]]
Jaspa Fletcher           1868     1909     -41       [['GDEF', 80.0], ['MID', 20.0]]
Xavier Lindsay           1273     1314     -41       [['GDEF', 50.0], ['MID', 50.0]]
Anthony Caminiti         648      690      -42       [['KFWD', 50.0], ['KDEF', 50.0]]
Lance Collard            227      276      -49       [['GFWD', 50.0], ['GDEF', 50.0]]
Oliver Hollands          1396     1452     -56       [['GDEF', 70.0], ['MID', 30.0]]
Hudson O'Keeffe          310      368      -58       [['RUC', 30.0], ['KFWD', 70.0]]
Jack Dalton              400      461      -61       [['GFWD', 50.0], ['MID', 50.0]]
Jordan De Goey           1560     1621     -61       [['GFWD', 50.0], ['MID', 50.0]]
Sam De Koning            963      1024     -61       [['KDEF', 90.0], ['RUC', 10.0]]
Jack Lukosius            1625     1691     -66       [['KFWD', 75.0], ['GFWD', 25.0]]
Xavier Bamert            227      304      -77       [['GFWD', 50.0], ['MID', 50.0]]
Noah Balta               399      478      -79       [['KFWD', 50.0], ['KDEF', 50.0]]
Cooper Duff-Tytler       1442     1550     -108      [['KFWD', 85.0], ['RUC', 15.0]]
Jase Burgoyne            2035     2157     -122      [['GDEF', 50.0], ['MID', 50.0]]
Archie Roberts           4555     4678     -123      [['GDEF', 50.0], ['MID', 50.0]]
Luke Trainor             1221     1347     -126      [['KDEF', 50.0], ['GDEF', 50.0]]
Taj Hotton               1097     1305     -208      [['GFWD', 50.0], ['MID', 50.0]]
Tom Powell               1407     1857     -450      [['GFWD', 70.0], ['MID', 30.0]]
Ryan Lester              337      933      -596      [['KDEF', 60.0], ['GDEF', 40.0]]
