key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
luke-jackson,Luke Jackson,Fremantle,St Kilda Saints,Ruck,14,15,PLAYED,176.0,8613,8751,138,1.6,1,1,0,1,1,0
nick-daicos,Nick Daicos,Collingwood,North Melbourne Kangaroos,Mid,14,15,PLAYED,159.0,8017,8107,90,1.12,2,3,-1,1,2,-1
harry-sheezel,Harry Sheezel,North Melbourne,Carlton Blues,Mid,14,15,PLAYED,153.0,7964,8465,501,6.29,3,2,1,2,1,1
tristan-xerri,Tristan Xerri,North Melbourne,Sydney Swans,Ruck,14,15,PLAYED,106.0,7635,7508,-127,-1.66,4,4,0,2,2,0
josh-treacy,Josh Treacy,Fremantle,West Coast Eagles,Key Fwd,14,15,PLAYED,75.0,6713,6536,-177,-2.64,6,7,-1,1,1,0
nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,St Kilda,Brisbane Lions,Mid,14,15,PLAYED,144.0,6709,7048,339,5.05,7,5,2,4,3,1
max-holmes,Max Holmes,Geelong,Geelong Cats,Mid,14,15,PLAYED,128.0,6932,6949,17,0.25,5,6,-1,3,4,-1
noah-anderson,Noah Anderson,Gold Coast,Richmond Tigers,Mid,14,15,PLAYED,136.0,5160,5675,515,9.98,14,11,3,9,8,1
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,14,15,DNP,DNP,5861,5834,-27,-0.46,9,9,0,6,6,0
finn-callaghan,Finn Callaghan,GWS,Melbourne Demons,Mid,14,15,PLAYED,103.0,5491,5519,28,0.51,11,12,-1,8,9,-1
archie-roberts,Archie Roberts,Essendon,St Kilda Saints,Def,14,15,DNP,DNP,5184,5159,-25,-0.48,13,14,-1,2,2,0
zak-butters,Zak Butters,Port Adelaide,Geelong Cats,Mid,14,15,PLAYED,124.0,6198,6184,-14,-0.23,8,8,0,5,5,0
lachlan-ash,Lachlan Ash,GWS,Melbourne Demons,Def,14,15,PLAYED,113.0,5372,5502,130,2.42,12,13,-1,1,1,0
bodhi-uwland,Bodhi Uwland,Gold Coast,Port Adelaide Power,Def,14,15,PLAYED,118.0,3199,3531,332,10.38,51,42,9,9,7,2
errol-gulden,Errol Gulden,Sydney,Carlton Blues,Mid,14,15,DNP,DNP,5857,5831,-26,-0.44,10,10,0,7,7,0
will-ashcroft,Will Ashcroft,Brisbane,Carlton Blues,Mid,14,15,DNP,DNP,4729,4707,-22,-0.47,18,18,0,11,11,0
riley-thilthorpe,Riley Thilthorpe,Adelaide,Melbourne Demons,Key Fwd,14,15,PLAYED,62.0,4103,3984,-119,-2.9,26,28,-2,3,3,0
jason-horne-francis,Jason Horne-Francis,Port Adelaide,Geelong Cats,Mid,14,15,PLAYED,128.0,4127,4540,413,10.01,23,19,4,15,12,3
brodie-grundy,Brodie Grundy,Sydney,St Kilda Saints,Ruck,14,15,DNP,DNP,4798,4760,-38,-0.79,17,17,0,3,3,0
darcy-wilson,Darcy Wilson,St Kilda,Western Bulldogs,Fwd,14,15,PLAYED,94.0,2366,2410,44,1.86,83,79,4,9,7,2
sam-darcy,Sam Darcy,Western Bulldogs,Adelaide Crows,Key Fwd,14,15,DNP,DNP,4824,4802,-22,-0.46,15,15,0,2,2,0
caleb-serong,Caleb Serong,Fremantle,Western Bulldogs,Mid,14,15,PLAYED,70.0,4546,4377,-169,-3.72,19,21,-2,12,14,-2
nick-watson,Nick Watson,Hawthorn,West Coast Eagles,Fwd,14,15,PLAYED,69.0,3176,3113,-63,-1.98,53,52,1,3,3,0
mac-andrew,Mac Andrew,Gold Coast,Western Bulldogs,Key Def,14,15,PLAYED,117.0,3633,3795,162,4.46,40,32,8,2,1,1
mark-keane,Mark Keane,Adelaide,Adelaide Crows,Key Def,14,15,PLAYED,133.0,2146,2295,149,6.94,95,85,10,6,5,1
harry-dean,Harry Dean,Carlton,Hawthorn Hawks,Key Def,14,15,PLAYED,65.0,2052,2133,81,3.95,109,99,10,7,7,0
willem-duursma,Willem Duursma,West Coast,Fremantle Dockers,Mid,14,15,DNP,DNP,4265,4239,-26,-0.61,20,22,-2,13,15,-2
isaac-heeney,Isaac Heeney,Sydney,West Coast Eagles,Mid,14,15,DNP,DNP,4242,4223,-19,-0.45,21,23,-2,14,16,-2
murphy-reid,Murphy Reid,Fremantle,Fremantle Dockers,Fwd,14,15,PLAYED,110.0,3855,4087,232,6.02,30,26,4,1,1,0
marcus-bontempelli,Marcus Bontempelli,Western Bulldogs,West Coast Eagles,Mid,14,15,PLAYED,142.0,3897,4058,161,4.13,28,27,1,19,18,1
darcy-wilmot,Darcy Wilmot,Brisbane,Hawthorn Hawks,Def,14,15,DNP,DNP,3869,3842,-27,-0.7,29,31,-2,4,4,0
sam-lalor,Sam Lalor,Richmond,Carlton Blues,Mid,14,15,DNP,DNP,4115,4102,-13,-0.32,25,25,0,17,17,0
matt-rowell,Matt Rowell,Gold Coast,Collingwood Magpies,Mid,14,15,PLAYED,90.0,3992,3926,-66,-1.65,27,29,-2,18,19,-1
ryley-sanders,Ryley Sanders,Western Bulldogs,Sydney Swans,Mid,14,15,PLAYED,63.0,3668,3441,-227,-6.19,38,46,-8,23,27,-4
sam-berry,Sam Berry,Adelaide,Sydney Swans,Mid,14,15,PLAYED,101.0,3417,3447,30,0.88,45,45,0,28,26,2
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,14,15,PLAYED,59.0,2837,2748,-89,-3.14,63,65,-2,5,5,0
reuben-ginbey,Reuben Ginbey,West Coast,Melbourne Demons,Key Def,14,15,DNP,DNP,2679,2679,0,0.0,67,66,1,4,4,0
max-gawn,Max Gawn,Melbourne,North Melbourne Kangaroos,Ruck,14,15,PLAYED,140.0,3416,3457,41,1.2,46,44,2,5,5,0
kieren-briggs,Kieren Briggs,GWS,Adelaide Crows,Ruck,14,15,PLAYED,110.0,1914,1982,68,3.55,120,112,8,10,9,1
logan-morris,Logan Morris,Brisbane,Sydney Swans,Key Fwd,14,15,DNP,DNP,3120,3083,-37,-1.19,54,54,0,4,4,0
josh-worrell,Josh Worrell,Adelaide,West Coast Eagles,Def,14,15,DNP,DNP,3632,3606,-26,-0.72,41,40,1,6,6,0
levi-ashcroft,Levi Ashcroft,Brisbane,Essendon Bombers,Mid,14,15,DNP,DNP,3180,3170,-10,-0.31,52,50,2,31,29,2
jai-newcombe,Jai Newcombe,Hawthorn,West Coast Eagles,Mid,14,15,PLAYED,123.0,4125,4407,282,6.84,24,20,4,16,13,3
timothy-english,Timothy English,Western Bulldogs,Adelaide Crows,Ruck,14,15,PLAYED,108.0,3682,3623,-59,-1.6,37,39,-2,4,4,0
jack-sinclair,Jack Sinclair,St Kilda,Port Adelaide Power,Def,14,15,DNP,DNP,3306,3281,-25,-0.76,50,49,1,8,9,-1
jordan-dawson,Jordan Dawson,Adelaide,West Coast Eagles,Mid,14,15,PLAYED,86.0,3713,3491,-222,-5.98,36,43,-7,22,25,-3
tom-green,Tom Green,GWS,Essendon Bombers,Mid,14,15,DNP,DNP,4817,4795,-22,-0.46,16,16,0,10,10,0
joel-freijah,Joel Freijah,Western Bulldogs,Western Bulldogs,Mid,14,15,PLAYED,81.0,2923,2890,-33,-1.13,61,59,2,36,35,1
cooper-duff-tytler,Cooper Duff-Tytler,West Coast,Fremantle Dockers,Key Fwd,14,15,DNP,DNP,1649,1643,-6,-0.36,147,144,3,14,14,0
callum-wilkie,Callum Wilkie,St Kilda,North Melbourne Kangaroos,Key Def,14,15,PLAYED,130.0,3723,3679,-44,-1.18,34,35,-1,1,2,-1
luke-davies-uniacke,Luke Davies-Uniacke,North Melbourne,Richmond Tigers,Mid,14,15,PLAYED,58.0,3721,3145,-576,-15.48,35,51,-16,21,30,-9
kysaiah-pickett,Kysaiah Pickett,Melbourne,Richmond Tigers,Fwd,14,15,PLAYED,54.0,3831,3634,-197,-5.14,31,37,-6,2,2,0
nick-blakey,Nick Blakey,Sydney,Collingwood Magpies,Def,14,15,DNP,DNP,4212,4182,-30,-0.71,22,24,-2,3,3,0
will-day,Will Day,Hawthorn,Richmond Tigers,Mid,14,15,PLAYED,108.0,3585,3684,99,2.76,42,34,8,25,21,4
finn-o-sullivan,Finn O'Sullivan,North Melbourne,Collingwood Magpies,Mid,14,15,PLAYED,85.0,3390,3576,186,5.49,47,41,6,29,24,5
jagga-smith,Jagga Smith,Carlton,Fremantle Dockers,Mid,14,15,PLAYED,86.0,3512,3635,123,3.5,43,36,7,26,22,4
christian-petracca,Christian Petracca,Gold Coast,West Coast Eagles,Mid,14,15,PLAYED,101.0,2955,2881,-74,-2.5,59,61,-2,34,37,-3
zachary-merrett,Zachary Merrett,Essendon,West Coast Eagles,Mid,14,15,DNP,DNP,2900,2888,-12,-0.41,62,60,2,37,36,1
josh-ward,Josh Ward,Hawthorn,Essendon Bombers,Mid,14,15,PLAYED,107.0,2003,2193,190,9.49,112,92,20,55,49,6
george-wardlaw,George Wardlaw,North Melbourne,Richmond Tigers,Mid,14,15,PLAYED,91.0,3104,3068,-36,-1.16,55,55,0,32,32,0
colby-mckercher,Colby McKercher,North Melbourne,Richmond Tigers,Mid,14,15,PLAYED,73.0,3824,3854,30,0.78,32,30,2,20,20,0
tim-taranto,Tim Taranto,Richmond,West Coast Eagles,Mid,14,15,PLAYED,98.0,2619,2556,-63,-2.41,72,72,0,43,43,0
sam-walsh,Sam Walsh,Carlton,Brisbane Lions,Mid,14,15,PLAYED,112.0,2763,2851,88,3.18,65,63,2,39,39,0
connor-macdonald,Connor MacDonald,Hawthorn,Richmond Tigers,Fwd,14,15,PLAYED,83.0,2263,2259,-4,-0.18,89,86,3,11,10,1
bailey-williams-wc,Bailey J. Williams,West Coast,Sydney Swans,Ruck,14,15,DNP,DNP,2184,2178,-6,-0.27,92,93,-1,7,7,0
harley-reid,Harley Reid,West Coast,Melbourne Demons,Mid,14,15,DNP,DNP,3348,3331,-17,-0.51,48,47,1,30,28,2
connor-o-sullivan,Connor O'Sullivan,Geelong,Western Bulldogs,Key Def,14,15,PLAYED,76.0,2962,2956,-6,-0.2,58,57,1,3,3,0
jake-bowey,Jake Bowey,Melbourne,West Coast Eagles,Def,14,15,PLAYED,78.0,3347,3302,-45,-1.34,49,48,1,7,8,-1
zeke-uwland,Zeke Uwland,Gold Coast,Fremantle Dockers,Def,14,15,PLAYED,50.0,2334,2370,36,1.54,85,81,4,12,11,1
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,14,15,PLAYED,111.0,2836,2876,40,1.41,64,62,2,38,38,0
dylan-patterson,Dylan Patterson,Gold Coast,Melbourne Demons,Def,14,15,DNP,DNP,987,987,0,0.0,230,229,1,48,47,1
connor-rozee,Connor Rozee,Port Adelaide,Adelaide Crows,Mid,14,15,DNP,DNP,3068,3054,-14,-0.46,56,56,0,33,33,0
jordon-sweet,Jordon Sweet,Port Adelaide,St Kilda Saints,Ruck,14,15,PLAYED,121.0,2484,2554,70,2.82,77,73,4,6,6,0
jordan-clark,Jordan Clark,Fremantle,West Coast Eagles,Def,14,15,PLAYED,70.0,3740,3704,-36,-0.96,33,33,0,5,5,0
mattaes-phillipou,Mattaes Phillipou,St Kilda,Brisbane Lions,Mid,14,15,DNP,DNP,1530,1525,-5,-0.33,164,166,-2,69,71,-2
harvey-langford,Harvey Langford,Melbourne,Fremantle Dockers,Mid,14,15,PLAYED,65.0,2487,2569,82,3.3,76,70,6,46,42,4
shannon-neale,Shannon Neale,Geelong,Geelong Cats,Key Fwd,14,15,PLAYED,97.0,2317,2482,165,7.12,86,77,9,6,6,0
ed-richards,Ed Richards,Western Bulldogs,St Kilda Saints,Mid,14,15,PLAYED,72.0,3431,3088,-343,-10.0,44,53,-9,27,31,-4
chad-warner,Chad Warner,Sydney,North Melbourne Kangaroos,Mid,14,15,DNP,DNP,2929,2916,-13,-0.44,60,58,2,35,34,1
clayton-oliver,Clayton Oliver,GWS,North Melbourne Kangaroos,Mid,14,15,PLAYED,78.0,2549,2395,-154,-6.04,73,80,-7,44,47,-3
john-noble,John Noble,Gold Coast,Sydney Swans,Def,14,15,PLAYED,87.0,2646,2560,-86,-3.25,69,71,-2,10,10,0
jed-walter,Jed Walter,Gold Coast,Melbourne Demons,Key Fwd,14,15,PLAYED,78.0,1321,1588,267,20.21,189,154,35,22,15,7
sam-flanders,Sam Flanders,St Kilda,Adelaide Crows,Def,14,15,DNP,DNP,2070,2060,-10,-0.48,105,106,-1,20,21,-1
daniel-annable,Daniel Annable,Brisbane,Fremantle Dockers,Mid,14,15,DNP,DNP,2058,2055,-3,-0.15,108,108,0,54,53,1
shai-bolton,Shai Bolton,Fremantle,St Kilda Saints,Fwd,14,15,PLAYED,73.0,2440,2324,-116,-4.75,79,84,-5,7,9,-2
jake-waterman,Jake Waterman,West Coast,West Coast Eagles,Key Fwd,14,15,DNP,DNP,1850,1848,-2,-0.11,129,128,1,11,12,-1
sid-draper,Sid Draper,Adelaide,Melbourne Demons,Mid,14,15,DNP,DNP,1177,1173,-4,-0.34,211,207,4,83,82,1
zac-bailey,Zac Bailey,Brisbane,North Melbourne Kangaroos,Fwd,14,15,DNP,DNP,2649,2634,-15,-0.57,68,68,0,5,5,0
izak-rankine,Izak Rankine,Adelaide,Geelong Cats,Fwd,14,15,PLAYED,68.0,3011,2788,-223,-7.41,57,64,-7,4,4,0
lachie-whitfield,Lachie Whitfield,GWS,North Melbourne Kangaroos,Def,14,15,PLAYED,88.0,2274,2172,-102,-4.49,87,95,-8,13,15,-2
josh-battle,Josh Battle,St Kilda,West Coast Eagles,Key Def,14,15,PLAYED,71.0,2416,2245,-171,-7.08,81,87,-6,5,6,-1
josh-rachele,Josh Rachele,Adelaide,Fremantle Dockers,Fwd,14,15,PLAYED,61.0,1963,1935,-28,-1.43,117,117,0,14,14,0
jacob-farrow,Jacob Farrow,Essendon,Fremantle Dockers,Def,14,15,DNP,DNP,2245,2238,-7,-0.31,91,89,2,14,13,1
lachie-neale,Lachie Neale,Brisbane,Sydney Swans,Mid,14,15,DNP,DNP,2066,2056,-10,-0.48,106,107,-1,53,52,1
bailey-dale,Bailey Dale,Western Bulldogs,Geelong Cats,Def,14,15,PLAYED,109.0,2079,2118,39,1.88,103,102,1,19,19,0
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Def,14,15,DNP,DNP,1496,1492,-4,-0.27,167,171,-4,13,13,0
toby-nankervis,Toby Nankervis,Richmond,West Coast Eagles,Ruck,14,15,PLAYED,85.0,2112,2103,-9,-0.43,100,103,-3,8,8,0
nicholas-martin,Nicholas Martin,Essendon,Melbourne Demons,Mid,14,15,DNP,DNP,3648,3632,-16,-0.44,39,38,1,24,23,1
hugo-garcia,Hugo Garcia,St Kilda,West Coast Eagles,Mid,14,15,PLAYED,122.0,2641,2672,31,1.17,70,67,3,41,40,1
logan-mcdonald,Logan McDonald,Sydney,Essendon Bombers,Key Fwd,14,15,DNP,DNP,956,953,-3,-0.31,234,236,-2,33,32,1
xavier-taylor,Xavier Taylor,Melbourne,Richmond Tigers,Def,14,15,DNP,DNP,938,936,-2,-0.21,240,240,0,52,50,2
james-sicily,James Sicily,Hawthorn,Geelong Cats,Def,14,15,PLAYED,74.0,1995,1838,-157,-7.87,113,129,-16,22,25,-3
jye-amiss,Jye Amiss,Fremantle,Collingwood Magpies,Key Fwd,14,15,PLAYED,78.0,1451,1515,64,4.41,175,168,7,19,18,1
jack-ross,Jack Ross,Richmond,Collingwood Magpies,Mid,14,15,DNP,DNP,2169,2159,-10,-0.46,93,96,-3,49,50,-1
wayne-milera,Wayne Milera,Adelaide,Sydney Swans,Def,14,15,PLAYED,95.0,1839,1829,-10,-0.54,131,130,1,27,26,1
tom-mccartin,Tom McCartin,Sydney,Sydney Swans,Key Def,14,15,DNP,DNP,1666,1639,-27,-1.62,145,146,-1,11,11,0
