key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
max-gawn,Max Gawn,Melbourne,North Melbourne Kangaroos,Ruck,18,19,PLAYED,74.0,3580,3375,-205,-5.73,43,48,-5,4,5,-1
kysaiah-pickett,Kysaiah Pickett,Melbourne,Richmond Tigers,Fwd,18,19,PLAYED,126.0,3791,4001,210,5.54,36,28,8,2,1,1
colby-mckercher,Colby McKercher,North Melbourne,Richmond Tigers,Mid,18,19,PLAYED,89.0,3875,3952,77,1.99,32,30,2,20,19,1
timothy-english,Timothy English,Western Bulldogs,Adelaide Crows,Ruck,18,19,PLAYED,140.0,3363,3684,321,9.55,50,39,11,5,4,1
callum-wilkie,Callum Wilkie,St Kilda,North Melbourne Kangaroos,Key Def,18,19,PLAYED,74.0,3977,3633,-344,-8.65,29,41,-12,1,2,-1
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,18,19,PLAYED,31.0,2635,2175,-460,-17.46,71,105,-34,5,5,0
luke-davies-uniacke,Luke Davies-Uniacke,North Melbourne,Richmond Tigers,Mid,18,19,PLAYED,108.0,3722,3779,57,1.53,38,38,0,22,22,0
jack-sinclair,Jack Sinclair,St Kilda,Port Adelaide Power,Def,18,19,DNP,DNP,3304,3322,18,0.54,51,52,-1,9,9,0
tom-green,Tom Green,GWS,Essendon Bombers,Mid,18,19,DNP,DNP,4835,4857,22,0.46,18,17,1,12,11,1
jordan-dawson,Jordan Dawson,Adelaide,West Coast Eagles,Mid,18,19,PLAYED,74.0,3707,3592,-115,-3.1,39,43,-4,23,24,-1
harley-reid,Harley Reid,West Coast,Melbourne Demons,Mid,18,19,PLAYED,76.0,3542,3540,-2,-0.06,45,44,1,26,25,1
jai-newcombe,Jai Newcombe,Hawthorn,West Coast Eagles,Mid,18,19,PLAYED,68.0,4436,4218,-218,-4.91,19,23,-4,13,16,-3
jagga-smith,Jagga Smith,Carlton,Fremantle Dockers,Mid,18,19,PLAYED,92.0,4108,4208,100,2.43,26,24,2,17,17,0
cooper-duff-tytler,Cooper Duff-Tytler,West Coast,Fremantle Dockers,Key Fwd,18,19,DNP,DNP,1586,1593,7,0.44,155,154,1,16,15,1
josh-ward,Josh Ward,Hawthorn,Essendon Bombers,Mid,18,19,PLAYED,90.0,2449,2681,232,9.47,78,73,5,44,41,3
george-wardlaw,George Wardlaw,North Melbourne,Richmond Tigers,Mid,18,19,DNP,DNP,3113,3122,9,0.29,54,55,-1,32,32,0
sam-walsh,Sam Walsh,Carlton,Brisbane Lions,Mid,18,19,PLAYED,122.0,2948,3101,153,5.19,60,56,4,36,33,3
mattaes-phillipou,Mattaes Phillipou,St Kilda,Brisbane Lions,Mid,18,19,PLAYED,82.0,1982,2109,127,6.41,121,112,9,59,55,4
bailey-williams-wc,Bailey J. Williams,West Coast,Sydney Swans,Ruck,18,19,PLAYED,84.0,2126,2092,-34,-1.6,106,114,-8,9,10,-1
finn-o-sullivan,Finn O'Sullivan,North Melbourne,Collingwood Magpies,Mid,18,19,PLAYED,67.0,3421,3336,-85,-2.48,48,51,-3,29,30,-1
zeke-uwland,Zeke Uwland,Gold Coast,Fremantle Dockers,Def,18,19,PLAYED,92.0,2647,2720,73,2.76,70,70,0,10,10,0
josh-worrell,Josh Worrell,Adelaide,West Coast Eagles,Def,18,19,PLAYED,79.0,3657,3603,-54,-1.48,42,42,0,8,8,0
tim-taranto,Tim Taranto,Richmond,West Coast Eagles,Mid,18,19,PLAYED,97.0,2491,2501,10,0.4,76,80,-4,43,45,-2
dylan-patterson,Dylan Patterson,Gold Coast,Melbourne Demons,Def,18,19,PLAYED,42.0,1164,1236,72,6.19,208,198,10,44,41,3
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,18,19,PLAYED,100.0,3043,3005,-38,-1.25,56,59,-3,34,35,-1
jordan-clark,Jordan Clark,Fremantle,West Coast Eagles,Def,18,19,PLAYED,92.0,3799,3807,8,0.21,34,35,-1,5,6,-1
