key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,15,16,PLAYED,66.0,2748,2783,35,1.27,65,63,2,5,5,0
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,15,16,DNP,DNP,1547,1544,-3,-0.19,163,160,3,17,16,1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,15,16,PLAYED,79.0,1116,1072,-44,-3.94,213,220,-7,85,86,-1
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,15,16,DNP,DNP,669,667,-2,-0.3,306,312,-6,65,68,-3
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Fwd,15,16,DNP,DNP,645,645,0,0.0,311,316,-5,36,37,-1
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Mid,15,16,DNP,DNP,720,720,0,0.0,296,295,1,113,112,1
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,15,16,PLAYED,52.0,49,49,0,0.0,735,730,5,80,80,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,15,16,DNP,DNP,86,86,0,0.0,683,685,-2,91,90,1
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,15,16,DNP,DNP,693,693,0,0.0,303,305,-2,40,40,0
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,15,16,DNP,DNP,480,480,0,0.0,389,389,0,38,39,-1
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,15,16,DNP,DNP,514,513,-1,-0.19,368,373,-5,132,131,1
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Ruck,15,16,DNP,DNP,489,489,0,0.0,381,382,-1,37,38,-1
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,15,16,PLAYED,76.0,525,545,20,3.81,363,360,3,44,43,1
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,15,16,PLAYED,35.0,38,38,0,0.0,748,748,0,84,84,0
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,15,16,DNP,DNP,620,620,0,0.0,319,323,-4,29,29,0
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,15,16,PLAYED,90.0,1024,1063,39,3.81,224,221,3,17,17,0
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Def,15,16,DNP,DNP,1492,1491,-1,-0.07,171,166,5,13,13,0
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,15,16,PLAYED,131.0,2876,2922,46,1.6,62,59,3,38,35,3
andrew-mcgrath,Andrew McGrath,Essendon,Geelong Cats,Def,15,16,PLAYED,103.0,1057,1147,90,8.51,220,210,10,45,44,1
andy-moniz-wakefield,Andy Moniz-Wakefield,Melbourne,West Coast Eagles,Def,15,16,DNP,DNP,55,55,0,0.0,722,715,7,154,153,1
angus-anderson,Angus Anderson,Collingwood,North Melbourne Kangaroos,Mid,15,16,DNP,DNP,253,252,-1,-0.4,549,545,4,160,159,1
angus-clarke,Angus Clarke,Essendon,Carlton Blues,Def,15,16,DNP,DNP,755,755,0,0.0,285,282,3,61,63,-2
angus-hastie,Angus Hastie,St Kilda,Richmond Tigers,Def,15,16,DNP,DNP,271,271,0,0.0,534,532,2,115,115,0
angus-sheldrick,Angus Sheldrick,Sydney,Western Bulldogs,Mid,15,16,PLAYED,78.0,763,778,15,1.97,284,278,6,107,105,2
anthony-caminiti,Anthony Caminiti,St Kilda,Collingwood Magpies,Key Fwd,15,16,DNP,DNP,1059,1059,0,0.0,218,222,-4,29,30,-1
archer-day-wicks,Archer Day-Wicks,Essendon,Adelaide Crows,Fwd,15,16,PLAYED,54.0,342,351,9,2.63,468,461,7,65,65,0
archer-reid,Archer Reid,West Coast,Melbourne Demons,Key Fwd,15,16,DNP,DNP,868,868,0,0.0,260,259,1,35,35,0
archie-ludowyke,Archie Ludowyke,Adelaide,Fremantle Dockers,Key Fwd,15,16,DNP,DNP,398,398,0,0.0,437,431,6,58,57,1
archie-may,Archie May,Essendon,Western Bulldogs,Key Fwd,15,16,DNP,DNP,480,479,-1,-0.21,390,393,-3,49,50,-1
archie-perkins,Archie Perkins,Essendon,Melbourne Demons,Fwd,15,16,PLAYED,41.0,285,304,19,6.67,513,499,14,80,80,0
archie-roberts,Archie Roberts,Essendon,St Kilda Saints,Def,15,16,DNP,DNP,5159,5146,-13,-0.25,14,15,-1,2,2,0
arthur-jones,Arthur Jones,Western Bulldogs,Adelaide Crows,Fwd,15,16,DNP,DNP,106,106,0,0.0,661,661,0,131,131,0
asher-eastham,Asher Eastham,Gold Coast,Free agents,Fwd,15,16,DNP,DNP,203,203,0,0.0,587,586,1,101,100,1
ashton-moir,Ashton Moir,Carlton,St Kilda Saints,Fwd,15,16,DNP,DNP,277,277,0,0.0,522,522,0,83,85,-2
avery-thomas,Avery Thomas,Gold Coast,Melbourne Demons,Def,15,16,DNP,DNP,560,560,0,0.0,350,353,-3,77,78,-1
bailey-banfield,Bailey Banfield,Fremantle,St Kilda Saints,Def,15,16,DNP,DNP,15,15,0,0.0,784,785,-1,170,171,-1
bailey-dale,Bailey Dale,Western Bulldogs,Geelong Cats,Def,15,16,DNP,DNP,2118,2123,5,0.24,102,100,2,19,18,1
bailey-humphrey,Bailey Humphrey,Gold Coast,Western Bulldogs,Fwd,15,16,PLAYED,31.0,2175,1992,-183,-8.41,94,111,-17,12,13,-1
bailey-laurie,Bailey Laurie,Melbourne,Free agents,Fwd,15,16,DNP,DNP,72,72,0,0.0,705,704,1,150,149,1
bailey-macdonald,Bailey Macdonald,Hawthorn,Western Bulldogs,Def,15,16,PLAYED,42.0,147,133,-14,-9.52,628,636,-8,131,133,-2
bailey-scott,Bailey Scott,North Melbourne,Free agents,Mid,15,16,DNP,DNP,53,53,0,0.0,729,720,9,188,186,2
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,15,16,DNP,DNP,5834,5819,-15,-0.26,9,9,0,6,6,0
bailey-williams-wb,Bailey Williams,Western Bulldogs,Collingwood Magpies,Def,15,16,DNP,DNP,645,644,-1,-0.16,312,317,-5,68,69,-1
bailey-williams-wc,Bailey J. Williams,West Coast,Sydney Swans,Ruck,15,16,PLAYED,67.0,2178,2166,-12,-0.55,93,96,-3,7,7,0
balyn-o-brien,Balyn O'Brien,Port Adelaide,Free agents,Def,15,16,DNP,DNP,277,277,0,0.0,523,523,0,109,109,0
bayley-fritsch,Bayley Fritsch,Melbourne,Geelong Cats,Fwd,15,16,DNP,DNP,118,118,0,0.0,649,648,1,129,129,0
beau-addinsall,Beau Addinsall,Gold Coast,Fremantle Dockers,Mid,15,16,PLAYED,62.0,1161,1193,32,2.76,210,205,5,84,82,2
beau-mccreery,Beau McCreery,Collingwood,West Coast Eagles,Fwd,15,16,PLAYED,64.0,195,182,-13,-6.67,592,602,-10,106,108,-2
ben-ainsworth,Ben Ainsworth,Carlton,Brisbane Lions,Fwd,15,16,PLAYED,111.0,275,417,142,51.64,529,420,109,84,58,26
ben-camporeale,Ben Camporeale,Carlton,Fremantle Dockers,Mid,15,16,DNP,DNP,359,359,0,0.0,456,456,0,148,146,2
ben-jepson,Ben Jepson,Gold Coast,Free agents,Mid,15,16,PLAYED,39.0,16,15,-1,-6.25,781,786,-5,191,191,0
ben-keays,Ben Keays,Adelaide,Adelaide Crows,Fwd,15,16,PLAYED,58.0,458,381,-77,-16.81,405,441,-36,55,63,-8
ben-king,Ben King,Gold Coast,Sydney Swans,Key Fwd,15,16,PLAYED,47.0,361,332,-29,-8.03,455,474,-19,64,65,-1
ben-long,Ben Long,Gold Coast,Richmond Tigers,Fwd,15,16,PLAYED,39.0,32,32,0,0.0,759,759,0,168,168,0
ben-mckay,Ben McKay,Essendon,West Coast Eagles,Key Def,15,16,PLAYED,45.0,46,46,0,0.0,739,736,3,82,82,0
ben-miller,Ben Miller,Richmond,Sydney Swans,Key Def,15,16,PLAYED,80.0,1301,1321,20,1.54,191,186,5,15,15,0
