key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
nick-daicos,Nick Daicos,Collingwood,North Melbourne Kangaroos,Mid,16,17,PLAYED,133.0,8432,8583,151,1.79,3,3,0,2,2,0
harry-sheezel,Harry Sheezel,North Melbourne,Carlton Blues,Mid,16,17,PLAYED,180.0,8834,9528,694,7.86,1,1,0,1,1,0
luke-jackson,Luke Jackson,Fremantle,St Kilda Saints,Ruck,16,17,PLAYED,94.0,8793,8748,-45,-0.51,2,2,0,1,1,0
nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,St Kilda,Brisbane Lions,Mid,16,17,PLAYED,160.0,7029,7556,527,7.5,5,4,1,3,3,0
max-holmes,Max Holmes,Geelong,Geelong Cats,Mid,16,17,PLAYED,114.0,6931,7097,166,2.4,6,6,0,4,4,0
josh-treacy,Josh Treacy,Fremantle,West Coast Eagles,Key Fwd,16,17,PLAYED,69.0,6262,6136,-126,-2.01,8,8,0,1,1,0
noah-anderson,Noah Anderson,Gold Coast,Richmond Tigers,Mid,16,17,PLAYED,84.0,5680,5204,-476,-8.38,10,13,-3,7,9,-2
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,16,17,PLAYED,125.0,5819,5872,53,0.91,9,9,0,6,6,0
bodhi-uwland,Bodhi Uwland,Gold Coast,Port Adelaide Power,Def,16,17,PLAYED,122.0,3660,3850,190,5.19,39,30,9,6,4,2
finn-callaghan,Finn Callaghan,GWS,Melbourne Demons,Mid,16,17,PLAYED,104.0,5476,5547,71,1.3,12,10,2,8,7,1
zak-butters,Zak Butters,Port Adelaide,Geelong Cats,Mid,16,17,PLAYED,103.0,6275,6259,-16,-0.25,7,7,0,5,5,0
will-ashcroft,Will Ashcroft,Brisbane,Carlton Blues,Mid,16,17,PLAYED,118.0,5222,5364,142,2.72,14,12,2,10,8,2
tristan-xerri,Tristan Xerri,North Melbourne,Sydney Swans,Ruck,16,17,PLAYED,70.0,7478,7456,-22,-0.29,4,5,-1,2,2,0
archie-roberts,Archie Roberts,Essendon,St Kilda Saints,Def,16,17,DNP,DNP,5146,5171,25,0.49,15,14,1,2,2,0
lachlan-ash,Lachlan Ash,GWS,Melbourne Demons,Def,16,17,PLAYED,105.0,5501,5524,23,0.42,11,11,0,1,1,0
riley-thilthorpe,Riley Thilthorpe,Adelaide,Melbourne Demons,Key Fwd,16,17,DNP,DNP,4113,4160,47,1.14,25,23,2,3,3,0
darcy-wilson,Darcy Wilson,St Kilda,Western Bulldogs,Fwd,16,17,PLAYED,115.0,2429,2670,241,9.92,78,69,9,7,6,1
jason-horne-francis,Jason Horne-Francis,Port Adelaide,Geelong Cats,Mid,16,17,PLAYED,131.0,4704,5000,296,6.29,18,16,2,12,11,1
mac-andrew,Mac Andrew,Gold Coast,Western Bulldogs,Key Def,16,17,PLAYED,90.0,3915,3941,26,0.66,31,29,2,1,1,0
sam-darcy,Sam Darcy,Western Bulldogs,Adelaide Crows,Key Fwd,16,17,DNP,DNP,4791,4819,28,0.58,16,17,-1,2,2,0
caleb-serong,Caleb Serong,Fremantle,Western Bulldogs,Mid,16,17,PLAYED,103.0,4261,4332,71,1.67,21,21,0,14,14,0
nick-watson,Nick Watson,Hawthorn,West Coast Eagles,Fwd,16,17,DNP,DNP,3139,3137,-2,-0.06,53,54,-1,3,3,0
brodie-grundy,Brodie Grundy,Sydney,St Kilda Saints,Ruck,16,17,PLAYED,105.0,4539,4444,-95,-2.09,19,19,0,3,3,0
harry-dean,Harry Dean,Carlton,Hawthorn Hawks,Key Def,16,17,DNP,DNP,2411,2414,3,0.12,81,81,0,5,5,0
willem-duursma,Willem Duursma,West Coast,Fremantle Dockers,Mid,16,17,PLAYED,69.0,4156,4245,89,2.14,24,22,2,16,15,1
levi-ashcroft,Levi Ashcroft,Brisbane,Essendon Bombers,Mid,16,17,PLAYED,74.0,3386,3394,8,0.24,48,47,1,29,29,0
murphy-reid,Murphy Reid,Fremantle,Fremantle Dockers,Fwd,16,17,PLAYED,90.0,4161,4156,-5,-0.12,23,24,-1,1,1,0
isaac-heeney,Isaac Heeney,Sydney,West Coast Eagles,Mid,16,17,PLAYED,108.0,4206,4147,-59,-1.4,22,25,-3,15,16,-1
sam-lalor,Sam Lalor,Richmond,Carlton Blues,Mid,16,17,DNP,DNP,4098,4105,7,0.17,26,26,0,17,17,0
errol-gulden,Errol Gulden,Sydney,Carlton Blues,Mid,16,17,PLAYED,83.0,5363,5124,-239,-4.46,13,15,-2,9,10,-1
matt-rowell,Matt Rowell,Gold Coast,Collingwood Magpies,Mid,16,17,PLAYED,72.0,3877,3759,-118,-3.04,32,34,-2,21,21,0
darcy-wilmot,Darcy Wilmot,Brisbane,Hawthorn Hawks,Def,16,17,PLAYED,104.0,3674,3806,132,3.59,37,32,5,5,5,0
ryley-sanders,Ryley Sanders,Western Bulldogs,Sydney Swans,Mid,16,17,PLAYED,96.0,3431,3537,106,3.09,47,43,4,28,25,3
sam-berry,Sam Berry,Adelaide,Sydney Swans,Mid,16,17,PLAYED,75.0,3445,3443,-2,-0.06,45,46,-1,27,28,-1
marcus-bontempelli,Marcus Bontempelli,Western Bulldogs,West Coast Eagles,Mid,16,17,PLAYED,80.0,4048,3770,-278,-6.87,28,33,-5,18,20,-2
max-gawn,Max Gawn,Melbourne,North Melbourne Kangaroos,Ruck,16,17,PLAYED,165.0,3441,3620,179,5.2,46,41,5,5,4,1
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,16,17,PLAYED,82.0,2783,2739,-44,-1.58,63,68,-5,5,5,0
reuben-ginbey,Reuben Ginbey,West Coast,Melbourne Demons,Key Def,16,17,DNP,DNP,2717,2644,-73,-2.69,67,70,-3,4,4,0
logan-morris,Logan Morris,Brisbane,Sydney Swans,Key Fwd,16,17,PLAYED,77.0,3068,3054,-14,-0.46,55,57,-2,4,4,0
jordan-dawson,Jordan Dawson,Adelaide,West Coast Eagles,Mid,16,17,PLAYED,135.0,3597,3673,76,2.11,43,38,5,25,23,2
kieren-briggs,Kieren Briggs,GWS,Adelaide Crows,Ruck,16,17,PLAYED,93.0,1902,1919,17,0.89,125,123,2,10,10,0
colby-mckercher,Colby McKercher,North Melbourne,Richmond Tigers,Mid,16,17,PLAYED,112.0,3956,3835,-121,-3.06,30,31,-1,20,19,1
jack-sinclair,Jack Sinclair,St Kilda,Port Adelaide Power,Def,16,17,DNP,DNP,3287,3291,4,0.12,51,50,1,9,8,1
luke-davies-uniacke,Luke Davies-Uniacke,North Melbourne,Richmond Tigers,Mid,16,17,PLAYED,121.0,3687,3735,48,1.3,36,37,-1,23,22,1
connor-macdonald,Connor MacDonald,Hawthorn,Richmond Tigers,Fwd,16,17,PLAYED,67.0,2259,2200,-59,-2.61,87,95,-8,10,11,-1
timothy-english,Timothy English,Western Bulldogs,Adelaide Crows,Ruck,16,17,PLAYED,71.0,3604,3342,-262,-7.27,42,48,-6,4,5,-1
tom-green,Tom Green,GWS,Essendon Bombers,Mid,16,17,DNP,DNP,4781,4801,20,0.42,17,18,-1,11,12,-1
josh-worrell,Josh Worrell,Adelaide,West Coast Eagles,Def,16,17,PLAYED,81.0,3647,3615,-32,-0.88,40,42,-2,7,7,0
cooper-duff-tytler,Cooper Duff-Tytler,West Coast,Fremantle Dockers,Key Fwd,16,17,DNP,DNP,1577,1579,2,0.13,153,156,-3,13,16,-3
callum-wilkie,Callum Wilkie,St Kilda,North Melbourne Kangaroos,Key Def,16,17,PLAYED,100.0,3717,3622,-95,-2.56,35,40,-5,2,2,0
jordon-sweet,Jordon Sweet,Port Adelaide,St Kilda Saints,Ruck,16,17,PLAYED,112.0,2764,2953,189,6.84,64,58,6,6,6,0
george-wardlaw,George Wardlaw,North Melbourne,Richmond Tigers,Mid,16,17,PLAYED,74.0,3046,3093,47,1.54,57,55,2,34,33,1
kysaiah-pickett,Kysaiah Pickett,Melbourne,Richmond Tigers,Fwd,16,17,PLAYED,103.0,3664,3737,73,1.99,38,36,2,2,2,0
jagga-smith,Jagga Smith,Carlton,Fremantle Dockers,Mid,16,17,PLAYED,113.0,4021,4048,27,0.67,29,27,2,19,18,1
finn-o-sullivan,Finn O'Sullivan,North Melbourne,Collingwood Magpies,Mid,16,17,PLAYED,52.0,3535,3327,-208,-5.88,44,49,-5,26,30,-4
