key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
aaron-cadman,Aaron Cadman,GWS,Richmond Tigers,Key Fwd,17,18,PLAYED,48.0,2739,2635,-104,-3.8,68,71,-3,5,5,0
aaron-naughton,Aaron Naughton,Western Bulldogs,Sydney Swans,Key Fwd,17,18,PLAYED,86.0,1420,1503,83,5.85,173,164,9,19,18,1
adam-cerra,Adam Cerra,Carlton,Adelaide Crows,Mid,17,18,PLAYED,114.0,1134,1190,56,4.94,209,201,8,82,81,1
adam-saad,Adam Saad,Carlton,Geelong Cats,Def,17,18,DNP,DNP,668,677,9,1.35,308,309,-1,66,64,2
adam-sweid,Adam Sweid,Fremantle,Sydney Swans,Fwd,17,18,DNP,DNP,645,645,0,0.0,315,317,-2,36,37,-1
adam-treloar,Adam Treloar,Western Bulldogs,West Coast Eagles,Mid,17,18,DNP,DNP,721,724,3,0.42,298,296,2,112,112,0
aidan-corr,Aidan Corr,North Melbourne,Geelong Cats,Key Def,17,18,PLAYED,78.0,49,49,0,0.0,732,730,2,80,80,0
aidan-johnson,Aidan Johnson,Melbourne,Free agents,Key Fwd,17,18,PLAYED,34.0,86,81,-5,-5.81,684,692,-8,90,90,0
aidan-schubert,Aidan Schubert,Hawthorn,Fremantle Dockers,Key Fwd,17,18,DNP,DNP,693,693,0,0.0,304,306,-2,42,43,-1
aiden-riddle,Aiden Riddle,Fremantle,Fremantle Dockers,Ruck,17,18,DNP,DNP,480,480,0,0.0,394,397,-3,39,39,0
alex-davies,Alex Davies,Gold Coast,Western Bulldogs,Mid,17,18,DNP,DNP,514,516,2,0.39,375,377,-2,131,131,0
alex-dodson,Alex Dodson,St Kilda,Hawthorn Hawks,Ruck,17,18,DNP,DNP,489,489,0,0.0,388,389,-1,38,38,0
alex-neal-bullen,Alex Neal-Bullen,Adelaide,West Coast Eagles,Fwd,17,18,PLAYED,58.0,511,453,-58,-11.35,377,410,-33,48,57,-9
alex-pearce,Alex Pearce,Fremantle,Geelong Cats,Key Def,17,18,PLAYED,65.0,38,38,0,0.0,745,744,1,84,84,0
alex-van-wyk,Alex Van Wyk,Port Adelaide,Adelaide Crows,Ruck,17,18,DNP,DNP,620,620,0,0.0,327,329,-2,29,30,-1
aliir-aliir,Aliir Aliir,Port Adelaide,North Melbourne Kangaroos,Key Def,17,18,PLAYED,79.0,982,981,-1,-0.1,232,231,1,19,18,1
alix-tauru,Alix Tauru,St Kilda,Western Bulldogs,Key Def,17,18,DNP,DNP,1493,1498,5,0.33,167,165,2,13,13,0
andrew-brayshaw,Andrew Brayshaw,Fremantle,St Kilda Saints,Mid,17,18,PLAYED,121.0,2939,3043,104,3.54,59,56,3,35,34,1
andrew-mcgrath,Andrew McGrath,Essendon,Geelong Cats,Def,17,18,PLAYED,81.0,1113,1114,1,0.09,213,212,1,44,45,-1
andy-moniz-wakefield,Andy Moniz-Wakefield,Melbourne,West Coast Eagles,Def,17,18,DNP,DNP,55,55,0,0.0,718,716,2,153,153,0
angus-anderson,Angus Anderson,Collingwood,North Melbourne Kangaroos,Mid,17,18,PLAYED,65.0,215,203,-12,-5.58,576,590,-14,163,164,-1
angus-clarke,Angus Clarke,Essendon,Carlton Blues,Def,17,18,PLAYED,47.0,756,778,22,2.91,285,281,4,62,61,1
angus-hastie,Angus Hastie,St Kilda,Richmond Tigers,Def,17,18,PLAYED,28.0,374,362,-12,-3.21,447,456,-9,94,96,-2
angus-sheldrick,Angus Sheldrick,Sydney,Western Bulldogs,Mid,17,18,PLAYED,49.0,829,809,-20,-2.41,271,274,-3,102,102,0
anthony-caminiti,Anthony Caminiti,St Kilda,Collingwood Magpies,Key Fwd,17,18,PLAYED,39.0,1173,1193,20,1.71,202,200,2,24,23,1
archer-day-wicks,Archer Day-Wicks,Essendon,Adelaide Crows,Fwd,17,18,PLAYED,28.0,354,339,-15,-4.24,458,469,-11,64,68,-4
archer-reid,Archer Reid,West Coast,Melbourne Demons,Key Fwd,17,18,DNP,DNP,869,872,3,0.35,258,256,2,35,34,1
archie-ludowyke,Archie Ludowyke,Adelaide,Fremantle Dockers,Key Fwd,17,18,DNP,DNP,398,398,0,0.0,432,433,-1,58,59,-1
archie-may,Archie May,Essendon,Western Bulldogs,Key Fwd,17,18,DNP,DNP,480,483,3,0.62,395,395,0,51,51,0
archie-perkins,Archie Perkins,Essendon,Melbourne Demons,Fwd,17,18,PLAYED,56.0,311,297,-14,-4.5,491,505,-14,76,85,-9
archie-roberts,Archie Roberts,Essendon,St Kilda Saints,Def,17,18,PLAYED,90.0,5171,5147,-24,-0.46,14,14,0,2,2,0
arthur-jones,Arthur Jones,Western Bulldogs,Adelaide Crows,Fwd,17,18,PLAYED,38.0,122,110,-12,-9.84,648,659,-11,132,131,1
asher-eastham,Asher Eastham,Gold Coast,Free agents,Fwd,17,18,DNP,DNP,203,204,1,0.49,586,589,-3,104,106,-2
ashton-moir,Ashton Moir,Carlton,St Kilda Saints,Fwd,17,18,DNP,DNP,277,278,1,0.36,524,524,0,88,89,-1
avery-thomas,Avery Thomas,Gold Coast,Melbourne Demons,Def,17,18,DNP,DNP,560,560,0,0.0,356,359,-3,78,77,1
bailey-banfield,Bailey Banfield,Fremantle,St Kilda Saints,Def,17,18,DNP,DNP,15,15,0,0.0,784,784,0,170,170,0
bailey-dale,Bailey Dale,Western Bulldogs,Geelong Cats,Def,17,18,PLAYED,110.0,2329,2364,35,1.5,87,86,1,14,14,0
bailey-humphrey,Bailey Humphrey,Gold Coast,Western Bulldogs,Fwd,17,18,PLAYED,74.0,2125,2199,74,3.48,105,100,5,12,12,0
bailey-laurie,Bailey Laurie,Melbourne,Free agents,Fwd,17,18,PLAYED,37.0,72,72,0,0.0,706,704,2,149,149,0
bailey-macdonald,Bailey Macdonald,Hawthorn,Western Bulldogs,Def,17,18,PLAYED,66.0,170,179,9,5.29,607,603,4,129,128,1
bailey-scott,Bailey Scott,North Melbourne,Free agents,Mid,17,18,DNP,DNP,53,53,0,0.0,722,720,2,186,186,0
bailey-smith,Bailey Smith,Geelong,Geelong Cats,Mid,17,18,PLAYED,98.0,5872,5859,-13,-0.22,9,10,-1,6,7,-1
bailey-williams-wb,Bailey Williams,Western Bulldogs,Collingwood Magpies,Def,17,18,PLAYED,55.0,644,537,-107,-16.61,317,370,-53,70,81,-11
bailey-williams-wc,Bailey J. Williams,West Coast,Sydney Swans,Ruck,17,18,PLAYED,100.0,2141,2126,-15,-0.7,101,106,-5,7,9,-2
balyn-o-brien,Balyn O'Brien,Port Adelaide,Free agents,Def,17,18,DNP,DNP,277,277,0,0.0,525,525,0,109,109,0
bayley-fritsch,Bayley Fritsch,Melbourne,Geelong Cats,Fwd,17,18,DNP,DNP,178,179,1,0.56,600,604,-4,111,112,-1
beau-addinsall,Beau Addinsall,Gold Coast,Fremantle Dockers,Mid,17,18,PLAYED,45.0,1265,1269,4,0.32,193,191,2,79,76,3
beau-mccreery,Beau McCreery,Collingwood,West Coast Eagles,Fwd,17,18,PLAYED,24.0,197,152,-45,-22.84,590,620,-30,107,116,-9
ben-ainsworth,Ben Ainsworth,Carlton,Brisbane Lions,Fwd,17,18,PLAYED,49.0,353,300,-53,-15.01,460,500,-40,66,82,-16
ben-camporeale,Ben Camporeale,Carlton,Fremantle Dockers,Mid,17,18,DNP,DNP,359,359,0,0.0,455,457,-2,146,144,2
ben-jepson,Ben Jepson,Gold Coast,Free agents,Mid,17,18,DNP,DNP,17,17,0,0.0,781,783,-2,191,191,0
ben-keays,Ben Keays,Adelaide,Adelaide Crows,Fwd,17,18,PLAYED,101.0,375,494,119,31.73,445,385,60,62,49,13
ben-king,Ben King,Gold Coast,Sydney Swans,Key Fwd,17,18,PLAYED,36.0,361,300,-61,-16.9,454,501,-47,64,67,-3
ben-long,Ben Long,Gold Coast,Richmond Tigers,Fwd,17,18,DNP,DNP,32,32,0,0.0,760,759,1,168,169,-1
ben-mckay,Ben McKay,Essendon,West Coast Eagles,Key Def,17,18,DNP,DNP,46,46,0,0.0,736,735,1,82,82,0
ben-miller,Ben Miller,Richmond,Sydney Swans,Key Def,17,18,PLAYED,71.0,1164,1160,-4,-0.34,204,209,-5,17,17,0
ben-murphy,Ben Murphy,Brisbane,North Melbourne Kangaroos,Def,17,18,DNP,DNP,277,277,0,0.0,526,526,0,110,110,0
benny-barrett,Benny Barrett,Port Adelaide,Free agents,Fwd,17,18,DNP,DNP,136,137,1,0.74,632,631,1,126,123,3
billy-cootee,Billy Cootee,Sydney,Essendon Bombers,Mid,17,18,DNP,DNP,89,89,0,0.0,682,684,-2,178,179,-1
billy-dowling,Billy Dowling,Adelaide,Essendon Bombers,Fwd,17,18,DNP,DNP,125,125,0,0.0,642,638,4,130,127,3
billy-frampton,Billy Frampton,Collingwood,Brisbane Lions,Key Def,17,18,PLAYED,65.0,116,117,1,0.86,659,652,7,74,73,1
billy-wilson,Billy Wilson,Carlton,Western Bulldogs,Def,17,18,PLAYED,85.0,235,211,-24,-10.21,562,583,-21,121,124,-3
blake-acres,Blake Acres,Carlton,Brisbane Lions,Mid,17,18,DNP,DNP,332,333,1,0.3,473,473,0,150,148,2
blake-hardwick,Blake Hardwick,Hawthorn,Port Adelaide Power,Def,17,18,PLAYED,97.0,457,500,43,9.41,408,380,28,87,82,5
blake-howes,Blake Howes,Melbourne,Essendon Bombers,Def,17,18,PLAYED,71.0,345,330,-15,-4.35,465,477,-12,99,102,-3
blake-thredgold,Blake Thredgold,North Melbourne,Fremantle Dockers,Key Def,17,18,DNP,DNP,541,541,0,0.0,365,368,-3,33,33,0
bo-allan,Bo Allan,West Coast,Melbourne Demons,Def,17,18,PLAYED,59.0,1160,1187,27,2.33,206,202,4,43,42,1
bobby-hill,Bobby Hill,Collingwood,West Coast Eagles,Fwd,17,18,DNP,DNP,67,67,0,0.0,709,707,2,150,150,0
bodhi-uwland,Bodhi Uwland,Gold Coast,Port Adelaide Power,Def,17,18,PLAYED,84.0,3850,3864,14,0.36,30,33,-3,4,4,0
bodie-ryan,Bodie Ryan,Hawthorn,Collingwood Magpies,Def,17,18,DNP,DNP,221,222,1,0.45,570,569,1,122,121,1
