age,n_raw,n_players,wsum,s_real,ci_lo,ci_hi,s_raw,raw_lo,raw_hi,sage_engine,residual,zero_in_ci
29,33,74,130.7,0.3793,0.2081,0.534,0.5511,0.1498,0.9695,0.0269,0.3524,False
30,20,51,88.6,0.2364,0.0142,0.4391,-0.4759,-1.0947,0.1012,0.0,0.2364,False
31,12,32,54.4,0.0608,-0.2814,0.3918,-0.3961,-1.4102,0.6214,0.0,0.0608,True
32,4,16,30.1,-0.0611,-0.5588,0.4101,0.8287,-0.1034,1.971,0.0,-0.0611,True
33,2,6,15.2,-0.1474,-0.787,0.4603,-0.047,-2.1671,1.6674,0.0,-0.1474,True
34,1,3,7.4,-0.3586,-0.9781,0.4423,-3.2645,-3.2645,-3.2645,0.0,-0.3586,True
35,1,2,3.6,-0.7434,-1.3336,0.4543,-0.6752,-0.6752,-0.6752,0.0,-0.7434,True
36,0,1,1.7,-1.0461,-1.8097,0.4715,,,,0.0,-1.0461,True
