key,player,pos,sitout_class,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,tau,career_games_cumulative,games_2026,games_at_pace,games_at_pace_clamped,G_at_his_cell,entry_anchor,retention_R,anchor_leg_before,anchor_leg_after,lam_before,lam_after,e_full,q_pedigree,engine_price_before,engine_price_after,career_by_season,on_sitout_path
henry-hustwaite,Henry Hustwaite,MID,nonKPP,ND pick 37,37,2022,ND,False,222,237,15,0.06756756756756757,249,3.825513,11,1,1.1364,1.1364,1.064847,669.29,0.35057,234.63,249.85,0.01245,0.008399,167.99,0.102389,233.802,249.159,2023:2g@66.0; 2024:4g@25.0; 2025:4g@46.2; 2026:1g@59.0,True
jed-adams,Jed Adams,KPD,KPP,ND pick 38,38,2022,ND,False,145,154,9,0.06206896551724138,162,3.825513,1,0,0.0,0.0,1.059462,445.94,0.342326,152.66,161.74,0.0,0.0,244.39,0.093702,152.658,161.735,2025:1g@36.0; 2026:0g@0.0,True
cooper-simpson,Cooper Simpson,SD,nonKPP,ND pick 35,35,2023,ND,False,170,179,9,0.052941176470588235,188,2.825513,5,0,0.0,0.0,1.049731,445.19,0.402734,179.29,188.21,0.0,0.0,269.76,0.123341,179.293,188.21,2024:2g@37.0; 2025:3g@41.3; 2026:0g@0.0,True
taylor-goad,Taylor Goad,RUCK,RUCK,ND pick 20,20,2023,ND,False,671,701,30,0.044709388971684055,738,2.825513,2,2,2.2727,2.2727,1.047527,1037.37,0.604886,627.49,657.31,0.121713,0.131302,1283.0,0.232449,707.272,739.464,2026:2g@43.5,True
bodie-ryan,Bodie Ryan,SD,nonKPP,ND pick 46,46,2023,ND,False,181,189,8,0.04419889502762431,199,2.825513,4,4,4.5455,4.5455,1.12223,312.21,0.364246,113.72,127.62,0.491275,0.503358,264.34,0.084734,187.717,196.441,2026:4g@37.9,True
cody-curtin,Cody Curtin,KPF,KPP,ND pick 43,43,2025,ND,False,362,378,16,0.04419889502762431,398,0.825513,4,4,4.5455,4.5455,1.130922,320.55,0.702029,225.04,254.5,0.494445,0.507431,543.57,0.164142,382.533,401.182,2026:4g@29.8,True
noah-mraz,Noah Mraz,KPD,KPP,ND pick 35,35,2024,ND,False,1585,1651,66,0.0416403785488959,1738,1.825513,4,4,4.5455,4.5455,1.157941,461.25,0.458769,211.61,245.03,0.303456,0.312978,5068.48,0.137813,1685.452,1754.663,2026:4g@84.2,True
hugh-davies,Hugh Davies,KPD,KPP,ND pick 33,33,2022,ND,False,178,184,6,0.033707865168539325,194,3.825513,2,0,0.0,0.0,1.037999,483.29,0.385935,186.52,193.61,0.0,0.0,222.39,0.123325,186.52,193.608,2024:2g@27.0; 2026:0g@0.0,True
blake-thredgold,Blake Thredgold,KPD,KPP,ND pick 26,26,2025,ND,False,358,369,11,0.030726256983240222,388,1.0,0,0,0.0,0.0,1.030295,570.05,0.660974,376.79,388.2,0.0,0.0,654.87,0.275948,376.785,388.2,2026:0g@0.0,True
thomas-burton,Thomas Burton,SF,nonKPP,"SSP (pool, effpk 65)",65,2025,SSP,True,267,275,8,0.0299625468164794,289,0.825513,5,5,5.6818,5.6818,1.525452,265.2,0.627694,166.47,253.94,0.912195,0.914588,296.89,0.072319,285.442,293.225,2026:5g@39.4,True
