key,player,pos,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,career_by_season,career_games,best_season_games,best_season_avg,route_debut_year,first_played_year,sitout_years_n,sitout_years,lead_sitout_years,draft_day_anchor,retention_R,games_2026,games_at_pace,games_at_pace_clamped,lam_raw,lam_stage4,lam_after,ped,sit,q,e_full,anchor_full,evidence_over_prior,s_surprise,u_unresolved,surprise_demand,exponent_stage4,exponent,on_sitout_path
noah-roberts-thomson,Noah Roberts-Thomson,SF,ND pick 54,54,2025,ND,False,182,162,-20,-0.10989010989010989,171,2026:3g@38.7,3,3,38.7,2026,2026,0,-,0,222.51,0.62769,3,3.4091,3.4091,0.547,0.418652,0.250795,0.113522,1.0,0.113522,268.97,139.67,1.9257,0.655306,0.259214,0.849323,1.443239,2.292562,True
tom-cochrane,Tom Cochrane,SF,"RD:SF (pool, effpk 65)",65,2024,RD,True,128,116,-12,-0.09375,122,2025:3g@34.0; 2026:3g@30.7,6,3,34.0,2025,2025,0,-,0,243.1,0.41609,3,3.4091,3.4091,0.547,0.410451,0.269663,0.072319,0.662891,0.04794,173.1,101.15,1.7113,0.53724,0.259214,0.696302,1.47603,2.172332,True
max-ramsden,Max Ramsden,KPF,"MSD (pool, effpk 65)",65,2022,MSD,True,113,103,-10,-0.08849557522123894,108,2023:2g@25.5; 2024:3g@34.0; 2025:4g@63.2; 2026:2g@40.5,11,4,63.2,2022,2023,1,2022,1,300.99,0.334,2,2.2727,2.2727,0.507727,0.36601,0.223705,0.072319,0.474118,0.034288,135.9,100.53,1.3518,0.301443,0.48192,0.726356,1.482856,2.209212,True
liam-reidy,Liam Reidy,RUCK,"RD:RUCK (pool, effpk 65)",65,2022,RD,True,304,280,-24,-0.07894736842105263,295,2024:2g@41.0; 2025:1g@34.0; 2026:4g@64.3,7,4,64.28,2023,2024,1,2023,1,296.78,0.594,4,4.5455,4.5455,0.693727,0.583374,0.488345,0.072319,0.725086,0.052438,409.93,176.29,2.3254,0.843873,0.115239,0.486238,1.473781,1.960019,True
bodie-ryan,Bodie Ryan,SD,ND pick 46,46,2023,ND,False,196,181,-15,-0.07653061224489796,191,2026:4g@37.9,4,4,37.88,2024,2026,2,"2024,2025",2,312.21,0.36425,4,4.5455,4.5455,0.693727,0.586829,0.491275,0.149155,0.568097,0.084734,264.34,113.72,2.3245,0.843515,0.115239,0.486031,1.457633,1.943664,True
cody-curtin,Cody Curtin,KPF,ND pick 43,43,2025,ND,False,391,362,-29,-0.0741687979539642,381,2026:4g@29.8,4,4,29.8,2026,2026,0,-,0,320.55,0.70203,4,4.5455,4.5455,0.693727,0.595411,0.494445,0.164142,1.0,0.164142,543.57,225.04,2.4155,0.881888,0.115239,0.508142,1.417929,1.92607,True
aidan-johnson,Aidan Johnson,KPF,"ND (pool, effpk 65)",65,2024,ND,True,77,82,5,0.06493506493506493,86,2025:5g@37.6; 2026:1g@34.0,6,5,37.6,2025,2025,0,-,0,191.54,0.448,1,1.1364,1.1364,0.205409,0.096546,1.8e-05,0.072319,0.635949,0.045991,21.87,85.81,0.2548,1.36717,0.791607,5.41131,1.477004,6.888314,True
cameron-nairn,Cameron Nairn,SF,ND pick 20,20,2025,ND,False,444,471,27,0.060810810810810814,496,2026:3g@42.8,3,3,42.8,2026,2026,0,-,0,760.16,0.73825,3,3.4091,3.4091,0.547,0.447477,0.311925,0.334254,1.0,0.334254,353.74,561.19,0.6303,0.461501,0.259214,0.598138,1.332873,1.931011,True
oscar-ryan,Oscar Ryan,SD,ND pick 27,27,2023,ND,False,257,242,-15,-0.058365758754863814,255,2026:1g@96.0,1,1,96.0,2024,2026,2,"2024,2025",2,587.05,0.43274,1,1.1364,1.1364,0.205409,0.105776,0.007941,0.267561,0.603097,0.161365,384.06,254.04,1.5118,0.413321,0.791607,1.635942,1.419317,3.055259,True
balyn-o-brien,Balyn O'Brien,SD,"SSP (pool, effpk 65)",65,2025,SSP,True,191,181,-10,-0.05235602094240838,191,2026:3g@27.7,3,3,27.67,2026,2026,0,-,0,265.2,0.62769,3,3.4091,3.4091,0.547,0.413481,0.298784,0.072319,1.0,0.072319,252.22,166.47,1.5151,0.4155,0.259214,0.538518,1.46384,2.002358,True
aidan-schubert,Aidan Schubert,KPF,ND pick 23,23,2025,ND,False,499,473,-26,-0.052104208416833664,498,2026:1g@24.0,1,1,24.0,2026,2026,0,-,0,680.78,0.7286,1,1.1364,1.1364,0.205409,0.118341,0.008831,0.303194,1.0,0.303194,750.62,496.02,1.5133,0.414288,0.791607,1.639767,1.348403,2.98817,True
william-mccabe,William McCabe,KPF,ND pick 19,19,2023,ND,False,544,516,-28,-0.051470588235294115,543,2026:4g@31.8,4,4,31.75,2024,2026,2,"2024,2025",2,778.44,0.46039,4,4.5455,4.5455,0.693727,0.600922,0.519768,0.345653,0.620648,0.214528,713.5,358.39,1.9909,0.688565,0.115239,0.396749,1.392736,1.789485,True
charlie-edwards,Charlie Edwards,MID,ND pick 21,21,2023,ND,False,580,553,-27,-0.04655172413793104,582,2026:2g@47.5,2,2,47.5,2024,2026,2,"2024,2025",2,1186.98,0.45252,2,2.2727,2.2727,0.507727,0.387041,0.244915,0.323411,0.615767,0.199146,710.82,537.13,1.3234,0.280189,0.48192,0.675143,1.400427,2.07557,True
flynn-riley,Flynn Riley,RUCK,"MSD (pool, effpk 65)",65,2026,MSD,True,247,236,-11,-0.044534412955465584,248,2026:1g@80.0,1,1,80.0,2026,2026,0,-,0,300.99,0.81921,1,1.1364,1.1364,0.205409,0.098579,0.010066,0.072319,1.0,0.072319,354.91,246.57,1.4394,0.364213,0.791607,1.441569,1.46384,2.90541,True
zane-peucker,Zane Peucker,SF,ND pick 31,31,2025,ND,False,287,299,12,0.041811846689895474,315,2026:2g@40.5,2,2,40.5,2026,2026,0,-,0,475.58,0.70495,2,2.2727,2.2727,0.507727,0.39202,0.247813,0.236859,1.0,0.236859,253.18,335.26,0.7552,0.280813,0.48192,0.676646,1.38157,2.058217,True
ollie-greeves,Ollie Greeves,MID,"RD:MID (pool, effpk 65)",65,2025,RD,True,269,259,-10,-0.03717472118959108,273,2026:4g@44.0,4,4,44.0,2026,2026,0,-,0,309.41,0.62769,4,4.5455,4.5455,0.693727,0.585498,0.517478,0.072319,1.0,0.072319,349.0,194.21,1.797,0.586115,0.115239,0.337718,1.46384,1.801558,True
liam-puncher,Liam Puncher,KPD,"MSD (pool, effpk 65)",65,2026,MSD,True,57,59,2,0.03508771929824561,62,2026:5g@37.8,5,5,37.8,2026,2026,0,-,0,300.99,0.70447,5,5.6818,5.6818,0.941455,0.915475,0.905076,0.072319,1.0,0.072319,33.63,212.03,0.1586,1.841271,0.020568,0.189355,1.46384,1.653195,True
oliver-francou,Oliver Francou,MID,"MSD (pool, effpk 65)",65,2026,MSD,True,258,251,-7,-0.027131782945736434,264,2026:4g@71.5,4,4,71.5,2026,2026,0,-,0,300.99,0.62769,4,4.5455,4.5455,0.693727,0.585498,0.521167,0.072319,1.0,0.072319,328.25,188.93,1.7374,0.552409,0.115239,0.318297,1.46384,1.782137,True
matt-hill,Matt Hill,SF,"UNR (pool, effpk 65)",65,2024,UNR,True,42,41,-1,-0.023809523809523808,43,2026:2g@24.0,2,2,24.0,2025,2026,1,2025,1,108.4,0.41609,2,2.2727,2.2727,0.507727,0.367707,0.112516,0.072319,0.662891,0.04794,21.84,45.1,0.4843,0.725051,0.48192,1.747082,1.47603,3.223112,True
charlie-banfield,Charlie Banfield,MID,ND pick 41,41,2025,ND,False,429,419,-10,-0.023310023310023312,441,2026:3g@54.3,3,3,54.3,2026,2026,0,-,0,605.9,0.65976,3,3.4091,3.4091,0.547,0.426453,0.344224,0.174727,1.0,0.174727,525.73,399.75,1.3151,0.27395,0.259214,0.355059,1.412637,1.767696,True
jaxon-artemis,Jaxon Artemis,SD,"MSD (pool, effpk 65)",65,2026,MSD,True,193,191,-2,-0.010362694300518135,201,2026:3g@53.0,3,3,53.0,2026,2026,0,-,0,300.99,0.62769,3,3.4091,3.4091,0.547,0.413481,0.370265,0.072319,1.0,0.072319,217.57,188.93,1.1516,0.141179,0.259214,0.182979,1.46384,1.646819,True
charlie-west,Charlie West,KPF,ND pick 50,50,2024,ND,False,536,531,-5,-0.009328358208955223,559,2025:1g@27.0; 2026:5g@34.2,6,5,34.2,2025,2025,0,-,0,225.67,0.448,5,5.6818,5.6818,0.941455,0.915772,0.905537,0.130625,0.635949,0.083071,618.66,101.1,6.1193,1.811445,0.020568,0.186288,1.458465,1.644752,True
henry-hustwaite,Henry Hustwaite,MID,ND pick 37,37,2022,ND,False,220,222,2,0.00909090909090909,234,2023:2g@66.0; 2024:4g@25.0; 2025:4g@46.2; 2026:1g@59.0,11,4,66.0,2023,2023,0,-,0,669.29,0.35057,1,1.1364,1.1364,0.205409,0.100953,0.01245,0.19754,0.518323,0.102389,167.99,234.63,0.716,0.334096,0.791607,1.322363,1.448805,2.771168,True
jayden-nguyen,Jayden Nguyen,SD,"PDN (pool, effpk 65)",65,2024,PDN,True,261,259,-2,-0.007662835249042145,273,2025:5g@39.2; 2026:5g@42.6,10,5,42.6,2025,2025,0,-,0,129.45,0.41609,5,5.6818,5.6818,0.941455,0.914802,0.90523,0.072319,0.662891,0.04794,293.49,53.86,5.4491,1.695443,0.020568,0.174358,1.47603,1.650388,True
daniel-annable,Daniel Annable,MID,ND pick 6,6,2025,ND,False,1237,1230,-7,-0.005658852061438965,1294,2026:1g@40.0,1,1,40.0,2026,2026,0,-,0,1981.31,0.64796,1,1.1364,1.1364,0.205409,0.149888,0.082774,0.601814,1.0,0.601814,1411.45,1283.81,1.0994,0.094782,0.791607,0.37515,1.199093,1.574243,True
thomas-burton,Thomas Burton,SF,"SSP (pool, effpk 65)",65,2025,SSP,True,268,267,-1,-0.0037313432835820895,281,2026:5g@39.4,5,5,39.4,2026,2026,0,-,0,265.2,0.62769,5,5.6818,5.6818,0.941455,0.915475,0.912195,0.072319,1.0,0.072319,296.89,166.47,1.7835,0.578577,0.020568,0.0595,1.46384,1.523341,True
dylan-patterson,Dylan Patterson,SD,ND pick 5,5,2025,ND,False,1422,1419,-3,-0.002109704641350211,1493,2026:5g@35.6,5,5,35.6,2026,2026,0,-,0,1189.99,0.62604,5,5.6818,5.6818,0.941455,0.931352,0.927098,0.642332,1.0,0.642332,1558.1,744.99,2.0915,0.737859,0.020568,0.075881,1.178834,1.254715,True
jack-ough,Jack Ough,MID,ND pick 36,36,2024,ND,False,498,497,-1,-0.002008032128514056,523,2026:5g@46.0,5,5,46.0,2025,2026,1,2025,1,686.79,0.4528,5,5.6818,5.6818,0.941455,0.91722,0.913903,0.203629,0.665112,0.135436,557.54,310.97,1.7929,0.583827,0.020568,0.06004,1.432282,1.492322,True
samuel-swadling,Samuel Swadling,MID,ND pick 37,37,2025,ND,False,638,637,-1,-0.001567398119122257,670,2026:5g@59.0,5,5,59.0,2026,2026,0,-,0,669.29,0.67635,5,5.6818,5.6818,0.941455,0.918939,0.916494,0.19754,1.0,0.19754,695.56,452.67,1.5366,0.429541,0.020568,0.044174,1.40123,1.445404,True
