scar_rank,vor_rank,rank_delta,key,name,pos,pick,scar_v,vor_v,vor_over_scar,vor_mixed_v
472,461,11,bodie-ryan,Bodie Ryan,SD,46,342,296,0.8655,301
473,457,16,thomas-anastasopoulos,Tom Anastasopoulos,SF,48,341,301,0.8827,312
474,481,-7,blake-howes,Blake Howes,SD,39,340,269,0.7912,269
475,519,-44,riley-bice,Riley Bice,SD,41,340,238,0.7,238
476,465,11,riley-hamilton,Riley Hamilton,SF,,340,296,0.8706,296
477,468,9,angus-hastie,Angus Hastie,SD,33,339,290,0.8555,290
478,513,-35,jake-lever,Jake Lever,SD,15,339,239,0.705,239
479,505,-26,max-king-stk,Max King,KPF,4,338,253,0.7485,253
480,455,25,brayden-george,Brayden George,SF,26,337,306,0.908,337
481,464,17,joel-cochran,Joel Cochran,SD,47,333,296,0.8889,333
482,440,42,alex-van-wyk,Alex Van Wyk,RUCK,14,332,332,1.0,332
483,441,42,caleb-may,Caleb May,RUCK,9,332,332,1.0,332
484,533,-49,jarrod-berry,Jarrod Berry,MID,17,332,227,0.6837,227
485,443,42,max-mapley,Max Mapley,RUCK,18,332,332,1.0,332
486,444,42,patrick-carr,Patrick Carr,RUCK,,332,332,1.0,332
487,495,-8,ned-reeves,Ned Reeves,RUCK,,330,256,0.7758,256
488,467,21,cooper-bell,Cooper Bell,KPF,49,329,292,0.8875,329
489,538,-49,jesse-hogan,Jesse Hogan,KPF,5,329,220,0.6687,220
490,537,-47,zach-guthrie,Zach Guthrie,SD,22,327,222,0.6789,222
491,463,28,cillian-bourke,Cillian Bourke,SD,,325,296,0.9108,296
492,540,-48,ben-ainsworth,Ben Ainsworth,SF,4,319,215,0.674,215
493,534,-41,tylar-young,Tylar Young,KPD,9,319,227,0.7116,227
494,482,12,isaac-keeler,Isaac Keeler,KPF,44,317,268,0.8454,268
495,472,23,riley-hardeman,Riley Hardeman,SD,23,317,282,0.8896,294
496,545,-49,elliot-yeo,Elliot Yeo,SF,36,316,209,0.6614,209
497,473,24,hugh-davies,Hugh Davies,KPD,33,314,278,0.8854,314
498,488,10,finnbar-maley,Finnbar Maley,KPF,2,312,260,0.8333,260
499,548,-49,jack-henry,Jack Henry,KPF,13,310,204,0.6581,204
500,527,-27,archie-perkins,Archie Perkins,SF,9,309,235,0.7605,235
501,479,22,ashton-moir,Ashton Moir,SF,29,305,273,0.8951,282
502,474,28,jesse-mellor,Jesse Mellor,SF,,303,277,0.9142,277
503,486,17,hudson-o-keeffe,Hudson O'Keeffe,KPF,,301,263,0.8738,263
504,480,24,riak-andrew,Riak Andrew,KPD,55,300,271,0.9033,300
505,554,-49,jayden-laverde,Jayden Laverde,KPD,20,298,195,0.6544,195
506,475,31,ben-camporeale,Ben Camporeale,MID,43,297,276,0.9293,297
507,487,20,max-king-syd,Maxwell King,KPF,49,296,263,0.8885,296
508,557,-49,charlie-cameron,Charlie Cameron,SF,6,295,192,0.6508,192
509,483,26,jacob-moss,Jacob Moss,KPD,,293,268,0.9147,268
510,485,25,oscar-ryan,Oscar Ryan,SD,27,293,266,0.9078,293
511,489,22,ollie-murphy,Ollie Murphy,KPD,41,292,258,0.8836,292
512,531,-19,toby-murray,Toby Murray,KPF,7,291,230,0.7904,230
513,491,22,indy-cotton,Indy Cotton,SF,,287,257,0.8955,257
514,543,-29,leek-aleer,Leek Aleer,KPD,15,287,214,0.7456,214
515,501,14,luke-lloyd,Luke Lloyd,KPF,42,287,255,0.8885,287
516,490,26,ben-murphy,Ben Murphy,SD,,286,257,0.8986,257
517,494,23,kobe-mcdonald,Kobe McDonald,SD,,286,257,0.8986,257
518,562,-44,brayden-fiorini,Brayden Fiorini,MID,20,285,186,0.6526,186
519,502,17,harry-charleson,Harry Charleson,SD,3,284,254,0.8944,254
520,499,21,keighton-matofai-forbes,Keighton Matofai-Forbes,SF,69,284,255,0.8979,255
521,504,17,lennox-hoffman,Lennox Hoffman,SD,66,284,254,0.8944,254
522,493,29,jakob-ryan,Jakob Ryan,SD,28,282,257,0.9113,282
523,503,20,henry-hustwaite,Henry Hustwaite,MID,37,279,254,0.9104,267
524,518,6,oliver-hayes-brown,Oliver Hayes-Brown,RUCK,,279,238,0.853,238
525,547,-22,will-edwards,Will Edwards,KPD,,279,208,0.7455,208
526,569,-43,sam-powell-pepper,Sam Powell-Pepper,SF,18,278,181,0.6511,181
527,515,12,tai-hayes,Tai Hayes,SF,44,274,239,0.8723,274
528,521,7,jai-saxena,Jai Saxena,SF,,272,237,0.8713,237
529,522,7,oliver-griffin,Oliver Griffin,SF,6,272,237,0.8713,237
530,523,7,ryda-luke,Ryda Luke,SF,,272,237,0.8713,237
531,572,-41,toby-bedford,Toby Bedford,SF,75,272,179,0.6581,179
532,524,8,toby-whan,Toby Whan,MID,,272,237,0.8713,237
533,561,-28,campbell-gray,Campbell Gray,KPD,15,271,187,0.69,187
534,514,20,jed-adams,Jed Adams,KPD,38,271,239,0.8819,271
535,544,-9,sam-clohesy,Sam Clohesy,MID,3,270,212,0.7852,212
536,529,7,tom-cochrane,Tom Cochrane,SF,5,270,232,0.8593,232
537,560,-23,sandy-brock,Sandy Brock,KPD,,267,192,0.7191,192
538,512,26,tyler-welsh,Tyler Welsh,KPF,59,266,240,0.9023,266
539,509,30,zac-walker,Zac Walker,KPD,11,264,246,0.9318,246
540,528,12,xavier-walsh,Xavier Walsh,KPF,6,263,235,0.8935,235
541,552,-11,zac-taylor,Zac Taylor,SF,44,261,198,0.7586,198
542,541,1,harvey-johnston,Harvey Johnston,SD,49,257,215,0.8366,215
543,526,17,lucas-camporeale,Lucas Camporeale,MID,54,257,236,0.9183,257
544,496,48,aiden-riddle,Aiden Riddle,RUCK,2,255,255,1.0,255
545,497,48,jaime-uhr-henry,Jaime Uhr-Henry,RUCK,,255,255,1.0,255
546,498,48,joe-pike,Joe Pike,RUCK,9,255,255,1.0,255
547,500,47,logan-smith,Logan Smith,RUCK,71,255,255,1.0,255
548,576,-28,stephen-coniglio,Stephen Coniglio,SF,3,255,174,0.6824,169
549,581,-32,tyson-stengle,Tyson Stengle,SF,4,255,165,0.6471,165
550,584,-34,bayley-fritsch,Bayley Fritsch,SF,31,252,160,0.6349,160
551,585,-34,blake-acres,Blake Acres,MID,19,251,160,0.6375,160
552,532,20,cooper-simpson,Cooper Simpson,SD,35,251,227,0.9044,251
553,535,18,lucca-grego,Lucca Grego,SD,48,251,226,0.9004,251
554,530,24,luke-urquhart,Luke Urquhart,MID,57,251,230,0.9163,251
555,536,19,patrick-snell,Patrick Snell,KPF,53,251,223,0.8884,251
556,566,-10,deven-robertson,Deven Robertson,SF,22,247,181,0.7328,181
557,546,11,max-ramsden,Max Ramsden,KPF,6,247,209,0.8462,209
558,550,8,jai-culley,Jai Culley,MID,1,245,198,0.8082,198
559,539,20,tew-jiath,Tew Jiath,SD,37,241,219,0.9087,241
560,565,-5,angus-anderson,Angus Anderson,SF,57,240,181,0.7542,181
561,598,-37,daniel-mcstay,Daniel McStay,KPF,25,239,150,0.6276,150
562,542,20,lance-collard,Lance Collard,SF,28,239,214,0.8954,230
563,599,-36,lewis-young,Lewis Young,KPF,49,239,150,0.6276,150
564,595,-31,darcy-moore,Darcy Moore,KPD,8,237,152,0.6414,152
565,520,45,iliro-smit,Iliro Smit,RUCK,10,237,237,1.0,237
566,525,41,vigo-visentini,Vigo Visentini,RUCK,5,237,237,1.0,237
567,582,-15,james-jordon,James Jordon,SF,33,236,164,0.6949,164
568,596,-28,hugo-hall-kahan,Hugo Hall-Kahan,SD,10,234,152,0.6496,152
569,551,18,noah-chamberlain,Noah Chamberlain,KPF,,227,198,0.8722,198
570,606,-36,harrison-petty,Harrison Petty,KPF,37,226,144,0.6372,144
571,558,13,jacob-newton,Jacob Newton,SF,8,224,192,0.8571,192
572,607,-35,jarrod-witts,Jarrod Witts,RUCK,74,224,143,0.6384,143
573,611,-38,will-hayward,Will Hayward,SF,21,224,140,0.625,140
574,555,19,asher-eastham,Asher Eastham,SF,7,222,194,0.8739,194
575,556,19,river-stevens,River Stevens,SF,67,222,194,0.8739,194
576,608,-32,rhylee-west,Rhylee West,SF,26,221,143,0.6471,143
577,580,-3,campbell-lake,Campbell Lake,SF,7,220,165,0.75,165
578,579,-1,lachlan-sholl,Lachlan Sholl,MID,64,220,166,0.7545,166
579,564,15,caleb-lewis,Caleb Lewis,KPF,13,219,182,0.8311,182
580,588,-8,cody-weightman,Cody Weightman,SF,15,219,159,0.726,159
581,612,-31,taylor-walker,Taylor Walker,KPF,64,219,138,0.6301,138
582,559,23,jaren-carr,Jaren Carr,SF,63,218,192,0.8807,218
583,601,-18,buku-khamis,Buku Khamis,KPF,,217,149,0.6866,149
584,618,-34,tim-membrey,Tim Membrey,KPF,49,212,130,0.6132,130
585,553,32,jacob-konstanty,Jacob Konstanty,SF,20,211,196,0.9289,211
586,590,-4,harrison-jones,Harrison Jones,KPF,30,209,156,0.7464,156
587,589,-2,liam-mcmahon,Liam McMahon,KPF,33,209,159,0.7608,159
588,592,-4,michael-sellwood,Michael Sellwood,SD,5,208,155,0.7452,155
589,604,-15,xavier-duursma,Xavier Duursma,MID,18,208,146,0.7019,146
590,567,23,noah-long,Noah Long,SF,57,206,181,0.8786,181
591,574,17,billy-dowling,Billy Dowling,SF,43,205,174,0.8488,185
592,568,24,patrick-said,Patrick Said,SF,60,205,181,0.8829,205
593,622,-29,jack-darling,Jack Darling,KPF,28,203,124,0.6108,124
594,570,24,rhys-unwin,Rhys Unwin,SF,61,203,180,0.8867,203
595,563,32,reece-torrent,Reece Torrent,MID,64,202,185,0.9158,202
596,573,23,cody-anderson,Cody Anderson,SF,64,200,176,0.88,200
597,577,20,tom-hanily,Tom Hanily,SF,14,200,171,0.855,171
598,617,-19,beau-mccreery,Beau McCreery,SF,46,199,130,0.6533,130
599,583,16,hugh-bond,Hugh Bond,SD,50,198,162,0.8182,162
600,571,29,henry-smith,Henry Smith,KPF,50,197,179,0.9086,197
601,549,52,jaeger-o-meara,Jaeger O'Meara,MID,1,196,202,1.0306,196
602,603,-1,josh-gibcus,Josh Gibcus,KPD,9,196,147,0.75,163
603,627,-24,jake-lloyd,Jake Lloyd,SF,16,191,115,0.6021,115
604,605,-1,josh-sinn,Josh Sinn,SD,12,186,145,0.7796,145
605,629,-24,tom-mcdonald,Tom McDonald,KPD,54,186,113,0.6075,113
606,602,4,bailey-macdonald,Bailey Macdonald,SD,51,185,148,0.8,148
607,578,29,eamonn-armstrong,Eamonn Armstrong,SD,,185,166,0.8973,166
608,630,-22,zac-fisher,Zac Fisher,SF,27,185,112,0.6054,112
609,623,-14,kye-annand,Kye Annand,KPD,2,181,124,0.6851,124
610,610,0,mitchell-knevitt,Mitchell Knevitt,MID,25,177,141,0.7966,142
611,613,-2,nikolas-cox,Nikolas Cox,MID,8,177,137,0.774,137
612,600,12,will-mclachlan,Will McLachlan,SF,6,177,150,0.8475,150
613,593,20,benny-barrett,Benny Barrett,SF,,176,154,0.875,154
614,591,23,nathan-wardius,Nathan Wardius,SF,,176,156,0.8864,156
615,594,21,ricky-mentha,Ricky Mentha,SF,,176,154,0.875,154
616,587,29,rob-monahan,Rob Monahan,SD,,176,160,0.9091,160
617,597,20,steely-green,Steely Green,SF,55,175,152,0.8686,152
618,635,-17,jack-payne,Jack Payne,KPD,54,173,106,0.6127,106
619,575,44,paddy-dow,Paddy Dow,MID,3,169,174,1.0296,169
620,614,6,harrison-coe,Harrison Coe,RUCK,8,167,133,0.7964,133
621,624,-3,james-trezise,James Trezise,SD,10,167,121,0.7246,121
622,586,36,luke-pedlar,Luke Pedlar,SF,11,163,160,0.9816,163
623,644,-21,cameron-zurhaar,Cameron Zurhaar,SF,9,162,96,0.5926,96
624,633,-9,harry-edwards,Harry Edwards,KPD,12,161,109,0.677,109
625,637,-12,oscar-allen,Oscar Allen,KPF,21,161,104,0.646,104
626,609,17,matt-duffy,Matt Duffy,KPD,,160,141,0.8812,141
627,643,-16,jack-scrimshaw,Jack Scrimshaw,SD,7,158,97,0.6139,97
628,631,-3,lachlan-jones,Lachlan Jones,SD,16,156,111,0.7115,111
629,615,14,toby-mcmullin,Toby McMullin,MID,34,155,133,0.8581,148
630,626,4,ollie-lord,Ollie Lord,KPF,51,154,116,0.7532,116
631,628,3,lukas-cooke,Lukas Cooke,KPD,11,151,113,0.7483,113
632,621,11,tyrell-dewar,Tyrell Dewar,SD,,149,125,0.8389,125
633,620,13,jackson-macrae,Jackson Macrae,MID,8,143,129,0.9021,127
634,619,15,harvey-gallagher,Harvey Gallagher,SD,39,142,129,0.9085,142
635,647,-12,jake-stringer,Jake Stringer,SF,7,142,91,0.6408,93
636,661,-25,jack-higgins,Jack Higgins,SF,17,135,77,0.5704,77
637,663,-26,griffin-logue,Griffin Logue,KPD,8,130,74,0.5692,74
638,616,22,jacob-hopper,Jacob Hopper,MID,7,130,132,1.0154,130
639,646,-7,arthur-jones,Arthur Jones,SF,43,129,91,0.7054,91
640,638,2,robert-hansen,Robert Hansen,SF,2,127,103,0.811,103
641,670,-29,harry-perryman,Harry Perryman,SD,14,123,70,0.5691,70
642,642,0,matt-hill,Matt Hill,SD,,123,100,0.813,100
643,632,11,kaleb-smith,Kaleb Smith,SD,49,122,110,0.9016,122
644,640,4,oliver-henry,Oliver Henry,KPF,18,121,101,0.8347,106
645,673,-28,esava-ratugolea,Esava Ratugolea,KPD,43,120,68,0.5667,68
646,658,-12,isaiah-dudley,Isaiah Dudley,SF,,119,80,0.6723,80
647,625,22,jack-bowes,Jack Bowes,MID,10,116,117,1.0086,116
648,667,-19,matt-cottrell,Matt Cottrell,SF,,116,72,0.6207,72
649,664,-15,riley-garcia,Riley Garcia,SF,61,116,74,0.6379,74
650,680,-30,tom-barrass,Tom Barrass,KPD,43,116,65,0.5603,65
651,678,-27,todd-marshall,Todd Marshall,KPF,16,115,67,0.5826,67
652,682,-30,michael-frederick,Michael Frederick,SF,60,114,63,0.5526,63
653,656,-3,james-tunstill,James Tunstill,MID,41,111,85,0.7658,89
654,684,-30,nick-vlastuin,Nick Vlastuin,SD,12,111,62,0.5586,62
655,634,21,finlay-macrae,Finlay Macrae,SF,20,110,107,0.9727,110
656,648,8,jesse-motlop,Jesse Motlop,SF,27,110,91,0.8273,101
657,641,16,sam-butler-1,Sam Butler,SF,23,110,101,0.9182,110
658,645,13,shadeau-brain,Shadeau Brain,SD,,110,96,0.8727,96
659,691,-32,ryan-lester,Ryan Lester,SD,30,106,58,0.5472,58
660,636,24,steele-sidebottom,Steele Sidebottom,MID,11,106,106,1.0,106
661,652,9,billy-cootee,Billy Cootee,MID,42,105,87,0.8286,105
662,639,23,jack-martin,Jack Martin,SF,3,104,102,0.9808,104
663,693,-30,nick-haynes,Nick Haynes,SD,10,103,56,0.5437,56
664,666,-2,liam-puncher,Liam Puncher,KPD,15,102,73,0.7157,73
665,697,-32,tom-cole,Tom Cole,SF,36,102,55,0.5392,55
666,655,11,oliver-wiltshire,Oliver Wiltshire,SF,61,101,86,0.8515,101
667,674,-7,jack-carroll,Jack Carroll,SD,43,100,68,0.68,68
668,653,15,judson-clarke,Judson Clarke,SF,30,98,87,0.8878,98
669,701,-32,lachlan-bramble,Lachlan Bramble,SF,,97,52,0.5361,52
670,669,1,mitch-zadow,Mitch Zadow,SF,,97,71,0.732,71
671,654,17,josh-goater,Josh Goater,SD,22,96,86,0.8958,96
672,657,15,oscar-adams,Oscar Adams,KPD,51,96,81,0.8438,90
673,686,-13,ryan-byrnes,Ryan Byrnes,SD,51,96,62,0.6458,62
674,696,-22,tom-blamires,Tom Blamires,SD,,95,55,0.5789,55
675,676,-1,brandon-walker,Brandon Walker,SD,52,93,67,0.7204,67
676,681,-5,jack-buller,Jack Buller,KPF,11,93,63,0.6774,63
677,649,28,callum-ah-chee,Callum Ah Chee,SF,8,92,89,0.9674,92
678,650,28,liam-henry,Liam Henry,SF,9,92,89,0.9674,92
679,685,-6,oscar-berry,Oscar Berry,KPD,,92,62,0.6739,62
680,679,1,aidan-johnson,Aidan Johnson,KPF,68,91,66,0.7253,66
681,662,19,cillian-burke,Cillian Burke,SD,,91,76,0.8352,76
682,703,-21,elliot-himmelberg,Elliott Himmelberg,KPF,51,91,51,0.5604,51
683,651,32,patrick-dangerfield,Patrick Dangerfield,SF,10,91,89,0.978,91
684,683,1,tom-edwards,Tom Edwards,KPF,,91,63,0.6923,63
685,702,-17,brandon-zerk-thatcher,Brandon Zerk-Thatcher,KPD,65,89,51,0.573,51
686,709,-23,dougal-howard,Dougal Howard,KPD,56,89,48,0.5393,48
687,660,27,conor-stone,Conor Stone,SD,15,87,79,0.908,87
688,715,-27,charlie-ballard,Charlie Ballard,KPD,42,86,46,0.5349,46
689,698,-9,rhyan-mansell,Rhyan Mansell,SF,,86,53,0.6163,53
690,699,-9,wade-derksen,Wade Derksen,KPD,5,86,53,0.6163,53
691,719,-28,mitch-mcgovern,Mitch McGovern,SF,43,85,44,0.5176,44
692,665,27,corey-warner,Corey Warner,SF,40,82,73,0.8902,82
693,675,18,sam-davidson,Sam Davidson,SF,51,82,68,0.8293,82
694,659,35,lachlan-weller,Lachlan Weller,MID,14,81,80,0.9877,81
695,668,27,reef-mcinnes,Reef McInnes,KPD,24,81,72,0.8889,81
696,690,6,joel-fitzgerald,Joel Fitzgerald,MID,16,80,58,0.725,58
697,694,3,tyler-brockman,Tyler Brockman,SF,48,80,56,0.7,56
698,671,27,luke-cleary,Luke Cleary,SD,61,78,70,0.8974,78
699,688,11,jeremy-sharp,Jeremy Sharp,MID,27,77,60,0.7792,60
700,672,28,bailey-laurie,Bailey Laurie,SF,23,76,69,0.9079,76
701,711,-10,harry-sharp,Harry Sharp,SF,45,75,48,0.64,51
702,677,25,jackson-archer,Jackson Archer,SD,59,75,67,0.8933,75
703,707,-4,bruce-reville,Bruce Reville,MID,,74,48,0.6486,48
704,721,-17,lachlan-fogarty,Lachlan Fogarty,SF,22,73,41,0.5616,45
705,717,-12,caleb-graham,Caleb Graham,KPD,71,72,44,0.6111,44
706,724,-18,xavier-o-halloran,Xavier O'Halloran,SF,22,72,41,0.5694,45
707,700,7,corey-durdin,Corey Durdin,SF,39,68,52,0.7647,58
708,725,-17,billy-frampton,Billy Frampton,KPD,74,67,40,0.597,40
709,728,-19,callum-brown-ire,Callum M. Brown,SF,,67,38,0.5672,38
710,689,21,harvey-harrison,Harvey Harrison,SF,52,67,59,0.8806,67
711,687,24,sam-sturt,Sam Sturt,SF,17,65,61,0.9385,65
712,723,-11,max-beattie,Max Beattie,SF,12,62,41,0.6613,41
713,692,21,jade-gresham,Jade Gresham,SF,18,59,56,0.9492,59
714,753,-39,lewis-melican,Lewis Melican,KPD,32,59,29,0.4915,29
715,704,11,hunter-clark,Hunter Clark,MID,7,57,51,0.8947,57
716,741,-25,joel-amartey,Joel Amartey,KPF,17,57,31,0.5439,31
717,695,22,harry-schoenberg,Harry Schoenberg,SF,24,56,55,0.9821,56
718,759,-41,darcy-fort,Darcy Fort,RUCK,65,55,27,0.4909,27
719,752,-33,harry-morrison,Harry Morrison,MID,73,55,29,0.5273,29
720,705,15,luke-mcdonald,Luke McDonald,SD,8,55,49,0.8909,55
721,706,15,nicholas-coffield,Nicholas Coffield,SD,8,55,49,0.8909,55
722,708,14,chayce-jones,Chayce Jones,SD,9,53,48,0.9057,53
723,712,11,jake-melksham,Jake Melksham,KPF,10,53,48,0.9057,53
724,713,11,tom-lynch-1,Tom Lynch,KPF,11,53,48,0.9057,53
725,714,11,aidan-corr,Aidan Corr,KPD,18,52,47,0.9038,52
726,710,16,eric-hipwood,Eric Hipwood,KPF,14,51,48,0.9412,51
727,742,-15,mitch-podhajski,Mitch Podhajski,KPF,17,49,31,0.6327,31
728,716,12,ben-mckay,Ben McKay,KPD,21,48,44,0.9167,48
729,718,11,callum-coleman-jones,Callum Coleman-Jones,RUCK,20,48,44,0.9167,48
730,720,10,darcy-gardiner,Darcy Gardiner,KPD,22,48,42,0.875,48
731,735,-4,zac-banch,Zac Banch,SF,2,48,35,0.7292,35
732,729,3,bobby-hill,Bobby Hill,SF,24,47,37,0.7872,41
733,751,-18,ewan-mackinlay,Ewan Mackinlay,SF,10,47,29,0.617,29
734,722,12,maurice-rioli-1,Maurice Rioli,SF,53,46,41,0.8913,46
735,738,-3,hugo-ralphsmith,Hugo Ralphsmith,MID,45,45,34,0.7556,34
736,740,-4,andy-moniz-wakefield,Andy Moniz-Wakefield,SD,,44,31,0.7045,31
737,731,6,isaac-cumming,Isaac Cumming,MID,20,44,36,0.8182,40
738,748,-10,oscar-mcdonald,Oscar McDonald,KPD,53,44,30,0.6818,34
739,726,13,brandon-starcevich,Brandon Starcevich,SD,18,43,39,0.907,43
740,758,-18,corey-wagner,Corey Wagner,SD,43,43,27,0.6279,29
741,754,-13,liam-o-connell,Liam O'Connell,SD,,42,29,0.6905,29
742,730,12,liam-stocker,Liam Stocker,SD,19,41,37,0.9024,41
743,732,11,jackson-mead,Jackson Mead,MID,25,40,36,0.9,40
744,727,17,rhys-stanley,Rhys Stanley,RUCK,47,40,39,0.975,40
745,734,11,alex-pearce,Alex Pearce,KPD,37,39,35,0.8974,39
746,769,-23,bradley-close,Bradley Close,SF,8,39,18,0.4615,18
747,760,-13,jack-hutchinson,Jack Hutchinson,MID,3,39,27,0.6923,27
748,733,15,jamie-cripps,Jamie Cripps,SF,26,39,36,0.9231,39
749,736,13,charlie-spargo,Charlie Spargo,SF,29,38,34,0.8947,38
750,737,13,finn-maginness,Finn Maginness,SF,29,38,34,0.8947,38
751,739,12,jake-kolodjashnij,Jake Kolodjashnij,KPD,41,38,34,0.8947,38
752,768,-16,mykelti-lefau,Mykelti Lefau,KPF,,38,19,0.5,19
753,763,-10,james-blanck,James Blanck,KPD,14,36,22,0.6111,22
754,762,-8,paddy-cross,Paddy Cross,SF,,36,23,0.6389,23
755,745,10,jed-bews,Jed Bews,SD,77,34,30,0.8824,30
756,743,13,ben-long,Ben Long,SF,25,33,30,0.9091,33
757,744,13,jamie-elliott,Jamie Elliott,SF,39,33,30,0.9091,33
758,746,12,joel-hamling,Joel Hamling,KPD,41,33,30,0.9091,33
759,747,12,laitham-vandermeer,Laitham Vandermeer,SF,37,33,30,0.9091,33
760,749,11,oskar-baker,Oskar Baker,SF,48,33,30,0.9091,33
761,757,4,ryan-gardner,Ryan Gardner,KPD,58,33,29,0.8788,33
762,766,-4,malcolm-rosas,Malcolm Rosas,SF,14,32,21,0.6562,21
763,756,7,noah-answerth,Noah Answerth,SD,55,32,29,0.9062,32
764,750,14,bailey-scott,Bailey Scott,MID,49,31,29,0.9355,31
765,774,-9,changkuoth-jiath,Changkuoth Jiath,SD,,31,14,0.4516,14
766,755,11,liam-ryan,Liam Ryan,SF,26,31,29,0.9355,31
767,767,0,mani-liddy,Mani Liddy,MID,15,30,20,0.6667,20
768,761,7,nicholas-holman,Nicholas Holman,SF,49,27,24,0.8889,27
769,777,-8,sam-wicks,Sam Wicks,SD,,27,12,0.4444,12
770,771,-1,wil-parker,Wil Parker,SD,,27,17,0.6296,17
771,772,-1,lachlan-mcneil,Lachlan McNeil,SF,6,26,16,0.6154,16
772,764,8,jacob-wehr,Jacob Wehr,SD,61,25,21,0.84,25
773,765,8,lincoln-mccarthy,Lincoln McCarthy,SF,73,25,21,0.84,21
774,780,-6,sam-switkowski,Sam Switkowski,SF,72,25,10,0.4,10
775,779,-4,jy-farrar,Jy Farrar,KPF,59,24,10,0.4167,11
776,776,0,roan-steele,Roan Steele,MID,7,22,13,0.5909,13
777,770,7,daniel-butler,Daniel Butler,SF,65,21,18,0.8571,18
778,775,3,luke-beecken,Luke Beecken,MID,16,21,13,0.619,13
779,781,-2,lachlan-blakiston,Lachlan Blakiston,KPD,12,20,9,0.45,9
780,782,-2,mark-o-connor,Mark O'Connor,SD,,20,9,0.45,9
781,773,8,matt-guelfi,Matt Guelfi,SF,75,19,16,0.8421,16
782,778,4,saad-el-hawli,Saad El-Hawli,SD,13,19,11,0.5789,11
783,787,-4,jordon-butts,Jordon Butts,KPD,17,17,7,0.4118,7
784,784,0,toby-pink,Toby Pink,KPD,34,17,8,0.4706,8
785,785,0,will-lewis,Will Lewis,KPF,,16,8,0.5,8
786,786,0,bailey-banfield,Bailey Banfield,SD,3,13,7,0.5385,7
787,789,-2,darragh-joyce,Darragh Joyce,KPD,,13,6,0.4615,6
788,792,-4,brody-mihocek,Brody Mihocek,KPF,14,11,4,0.3636,4
789,783,6,flynn-young,Flynn Young,SF,4,11,8,0.7273,8
790,788,2,ben-jepson,Ben Jepson,MID,,10,6,0.6,6
791,790,1,flynn-perez,Flynn Perez,SD,,10,6,0.6,6
792,798,-6,mark-blicavs,Mark Blicavs,RUCK,,10,3,0.3,3
793,794,-1,nathan-broad,Nathan Broad,SD,65,10,4,0.4,4
794,791,3,oisin-mullin,Oisin Mullin,SD,,10,5,0.5,5
795,795,0,conor-mckenna,Conor McKenna,SF,,9,3,0.3333,3
796,793,3,jack-watkins,Jack Watkins,SF,3,9,4,0.4444,4
797,796,1,jack-henderson,Jack Henderson,SF,,7,3,0.4286,3
798,797,1,jordan-boyd,Jordan Boyd,SD,17,7,3,0.4286,3
799,799,0,zak-evans,Zak Evans,MID,,4,2,0.5,2
800,800,0,dane-rampe,Dane Rampe,SD,23,2,1,0.5,1
801,803,-2,mason-cox,Mason Cox,KPF,,2,0,0.0,0
802,801,1,harry-cunningham,Harry Cunningham,SD,,1,0,0.0,0
803,802,1,lachie-sullivan,Lachie Sullivan,SF,,1,0,0.0,0
804,804,0,matt-owies,Matt Owies,SF,,1,0,0.0,0
