Player,2026 R24
Izak Rankine,187
Bailey Smith,171
Max Gawn,171
Touk Miller,163
Shaun Mannagh,162
Bradley Hill,161
Jase Burgoyne,150
Max Hall,147
Tim Taranto,146
Will Setterfield,145
Toby Nankervis,144
Lloyd Meek,142
Logan Morris,141
Ed Richards,137
Harrison Petty,134
Connor MacDonald,132
Josh Dunkley,128
John Noble,127
Lachie Neale,126
Ollie Dempsey,126
Luke Jackson,126
Matthew Kennedy,125
Jagga Smith,125
Marcus Bontempelli,124
Sam Walsh,122
Taylor Walker,121
Zachary Merrett,120
Errol Gulden,119
Andrew McGrath,119
Milan Murdock,119
Matt Rowell,118
Patrick Dangerfield,118
Lachlan McAndrew,118
Noah Anderson,118
Ben Keays,117
Callum Mills,115
Jordan De Goey,114
Zach Reid,114
Riley Thilthorpe,114
Patrick Cripps,113
Andrew Brayshaw,113
Tristan Xerri,112
Brodie Grundy,112
Jordan Dawson,111
Samuel Swadling,109
Nate Caddy,108
Lachlan Ash,108
Joel Freijah,107
Hugo Garcia,107
Jy Simpkin,106
Tylar Young,106
Billy Cootee,105
Brodie Kemp,105
Jack Ross,104
Cameron Zurhaar,104
Ben Ainsworth,103
Mitchell Lewis,103
Josh Ward,101
Jake Stringer,101
Jordon Sweet,100
Darcy Cameron,100
Eric Hipwood,99
Roan Steele,99
George Hewett,99
Sam Berry,98
Blake Hardwick,98
Oliver Florent,98
Jake Bowey,98
Koltyn Tholstrup,98
Braeden Campbell,97
Jai Serong,97
Marc Pittonet,97
Jordan Clark,97
Mitch Georgiades,96
Hugo Hall-Kahan,96
Leo Lombard,96
Kysaiah Pickett,96
Aaron Naughton,96
Francis Evans,96
Mitchell Edwards,95
Hugh Boxshall,95
Shai Bolton,94
Zac Bailey,94
Cameron Rayner,94
Oliver Wines,94
Billy Wilson,94
Connor Idun,94
Lawson Humphries,94
Lachlan Jones,93
Jack Gunston,92
Liam Stocker,92
Nick Daicos,92
Jesse Dattoli,92
Luke Parker,91
Dylan Moore,91
Nick Watson,91
George Wardlaw,91
Jeremy Cameron,91
Harry Morrison,90
Neil Erasmus,90
Conor McKenna,90
Jack Steele,90
Darcy Fogarty,89
Charlie Comben,89
Rhylee West,88
Bodhi Uwland,88
Tim Kelly,88
Ryan Byrnes,88
Will Day,88
Rowan Marshall,88
Lachie Whitfield,88
Edward Allan,87
Kade Chandler,86
Gryan Miers,86
Archie Roberts,86
Will Ashcroft,86
Jai Newcombe,86
Archie Perkins,85
Tom Papley,85
Tanner Bruhn,85
Dayne Zorko,85
Josh Worrell,84
Caleb Serong,84
Bailey Dale,84
Rory Lobb,83
Christian Moraes,83
Rory Laird,83
Hayden Young,82
Daniel Rioli,82
Luke Davies-Uniacke,82
Zach Guthrie,82
James Rowbottom,82
Oisin Mullin,81
Buku Khamis,81
Max Beattie,81
Angus Anderson,81
Joel Jeffrey,81
Ned Moyle,81
Harry Rowston,81
Sam Draper,80
Brady Hough,80
Karl Worner,80
Ryan Angwin,80
Lachlan Cowan,80
Angus Clarke,80
Isaac Kako,79
Jack Whitlock,79
Marcus Herbert,79
Taj Hotton,79
Bailey J. Williams,79
Jaxon Prior,79
Arthur Jones,78
Oliver Henry,78
Steele Sidebottom,78
Jake Lloyd,78
Dan Houston,78
Ned Long,77
Jaspa Fletcher,77
Mark Keane,77
Hamish Davis,77
Jhye Clark,77
Will Brodie,77
Darcy Wilmot,77
Changkuoth Jiath,76
Mac Andrew,76
Daniel Curtin,76
Nick Bryan,76
Griffin Logue,76
Jacob Weitering,75
Riley Hardeman,75
Darcy Byrne-Jones,75
Lachlan Bramble,75
Mitchito Owens,75
Logan McDonald,75
Dyson Sharp,74
Harley Reid,74
