Player,2026 R22
Izak Rankine,223
Matt Rowell,174
Bailey Smith,161
Touk Miller,157
Luke Davies-Uniacke,156
Lachie Neale,155
Luke Jackson,149
Jase Burgoyne,139
Francis Evans,134
Errol Gulden,134
Oliver Florent,132
Will Ashcroft,132
Nick Daicos,132
Darcy Cameron,129
Kai Lohmann,129
Logan Morris,128
Max Hall,125
Jai Serong,124
Dylan Stephens,123
Chad Warner,123
Daniel McStay,120
George Hewett,119
Matt Johnson,118
Ned Moyle,118
Kysaiah Pickett,118
Josh Daicos,117
Tom McCarthy,115
Bradley Hill,115
Nick Vlastuin,115
Wil Powell,115
Ollie Dempsey,114
Ed Richards,114
Zachary Merrett,114
Josh Ward,114
Josaia Delana,113
Harvey Langford,112
Oliver Henry,110
Marc Pittonet,110
Lachie Whitfield,110
Bodhi Uwland,110
Adam Cerra,109
Jake Lloyd,109
Bailey Humphrey,109
Jordan Dawson,108
Riley Bice,108
Jack Ross,108
Callum Mills,107
Jhye Clark,106
Reilly O'Brien,106
George Wardlaw,105
Ben Miller,105
Caleb Serong,105
Max Gawn,105
Sam Berry,105
Blake Hardwick,105
Josh Treacy,104
Shaun Mannagh,104
Willem Drew,103
Thomas Stewart,103
Tim Membrey,103
Jesse Dattoli,102
Harry Sharp,102
Caleb Daniel,102
Nick Blakey,101
Harvey Thomas,101
Paul Curtis,101
Mark Blicavs,100
Jake Bowey,100
Cameron Zurhaar,100
Nick Haynes,100
Alex Neal-Bullen,99
Jason Horne-Francis,99
Marcus Bontempelli,99
Edward Allan,99
Tristan Xerri,99
Bayley Fritsch,98
Bailey Williams,97
Koltyn Tholstrup,97
Dyson Sharp,96
Shannon Neale,96
Harry Sheezel,96
Josh Worrell,96
Isaac Heeney,93
Elliot Yeo,93
Massimo D'Ambrosio,93
Tom Sparrow,93
Dayne Zorko,92
Luke Parker,92
Tim Kelly,92
Ned Long,92
Toby Nankervis,92
Lachlan Schultz,91
Jarrod Berry,91
Liam Stocker,90
Lachlan Bramble,90
Jack Henry,90
Harris Andrews,90
Harrison Petty,90
Toby Greene,90
Andrew McGrath,89
Bailey Williams,89
Rowan Marshall,88
Marcus Windhager,88
Lloyd Meek,88
Tom Papley,88
Patrick Cripps,88
Tom Gross,88
Cameron Mackenzie,87
Seth Campbell,87
Lawson Humphries,87
Levi Ashcroft,87
Colby McKercher,87
Daniel Rioli,86
Trent Rivers,86
Blake Acres,86
Josh Dunkley,86
Braeden Campbell,85
Shai Bolton,85
Charlie Curnow,85
Hugo Ralphsmith,84
Sam Davidson,84
Mac Andrew,84
Nathan Broad,84
Sam De Koning,84
Vigo Visentini,84
Harley Reid,84
Miles Bergman,84
Sam Walsh,83
Dan Houston,83
Jai Newcombe,83
Changkuoth Jiath,83
John Noble,83
Will Hayward,83
Logan McDonald,83
Jack Darling,83
Clayton Oliver,83
Darcy Wilson,82
Jaxon Prior,82
Joel Freijah,82
Jordan Clark,81
Jack Graham,81
Sam Clohesy,81
James Jordon,81
Isaac Cumming,80
Brady Hough,80
Oscar Ryan,80
Patrick Retschko,79
Zac Bailey,79
Mark Keane,79
Tom Atkins,79
Karl Worner,79
Jye Amiss,78
Andrew Brayshaw,78
Hayden Young,78
Noah Anderson,78
Joel Hamling,78
Jack Steele,78
Lachlan Cowan,78
Cooper Lord,78
Callum Brown,77
James O'Donnell,77
Tanner Bruhn,77
Dylan Moore,77
Tim Taranto,77
Xavier O'Halloran,77
Leo Lombard,76
Marcus Herbert,76
Will Green,76
Harry McKay,76
Rhett Bazzo,76
Darcy Wilmot,75
Archie Perkins,75
Jayden Short,75
Jye Caldwell,75
Patrick Voss,75
Mykelti Lefau,75
Ryley Sanders,74
Joe Berry,74
Rory Laird,74
Jake Waterman,74
James Worpel,74
Lachlan Ash,74
Bailey Laurie,73
Ryan Angwin,73
Joel Jeffrey,73
Rhylee West,73
Mitchito Owens,73
Brayden Cook,73
Wade Derksen,73
Jack Martin,73
Griffin Logue,72
Cameron Rayner,72
Darcy Byrne-Jones,72
Taylor Walker,71
Jacob Farrow,71
Tom Brown,71
Harry Morrison,71
Heath Chapman,71
Stephen Coniglio,71
Billy Wilson,71
Matthew Roberts,71
Archie Roberts,71
Connor Idun,70
Tylar Young,70
Matt Cottrell,70
Luke Ryan,70
Matthew Kennedy,70
