Player,SC FW3
Shai Bolton,122
Jordan Clark,100
Luke Jackson,156
Andrew Brayshaw,81
Hayden Young,97
Caleb Serong,109
Murphy Reid,88
Luke Ryan,75
Karl Worner,97
Neil Erasmus,62
Heath Chapman,55
Matt Johnson,67
Alex Pearce,56
Corey Wagner,61
Josh Treacy,110
Oscar McDonald,44
Patrick Voss,81
Judd McVee,27
Sam Switkowski,45
Isaiah Dudley,51
Michael Frederick,53
Mason Cox,47
Jye Amiss,46
Bailey Smith,123
Lawson Humphries,97
Oliver Henry,139
Zach Guthrie,87
Tanner Bruhn,71
Max Holmes,62
Oisin Mullin,69
Ollie Dempsey,65
Shaun Mannagh,61
Connor O'Sullivan,68
Patrick Dangerfield,100
Jeremy Cameron,60
Thomas Stewart,66
Mark O'Connor,62
Gryan Miers,83
Oliver Wiltshire,44
Jack Henry,61
Bradley Close,50
Tom Atkins,61
Mitchell Edwards,28
Mark Blicavs,42
Shannon Neale,53
Jay Polkinghorne,17
Will Ashcroft,127
Dayne Zorko,103
Zac Bailey,142
Josh Dunkley,102
Cameron Rayner,126
Lachie Neale,65
Levi Ashcroft,77
Jarrod Berry,75
Ryan Lester,89
Kai Lohmann,83
Jaspa Fletcher,70
Hugh McCluggage,91
Darcy Wilmot,87
Charlie Cameron,103
Conor McKenna,58
Harris Andrews,60
Eric Hipwood,83
Darcy Fort,48
Darcy Gardiner,47
Ty Gallop,48
Sam Draper,48
Logan Morris,59
Oscar Allen,44
Sam Berry,99
Jordan Dawson,84
Hugo H-Kahan,100
Izak Rankine,63
Daniel Curtin,72
Rory Laird,90
Wayne Milera,53
Josh Worrell,76
Luke Nankervis,74
Zac Taylor,76
Alex N-Bullen,67
Riley Thilthorpe,71
Callum Ah Chee,49
Brayden Cook,56
Max Michalanney,62
Ben Keays,58
Lachlan McAndrew,79
Taylor Walker,44
Jake Soligo,49
Darcy Fogarty,44
Josh Rachele,41
James Borlase,34
Mark Keane,25
