Player,SC FW2
Josh Worrell,145
Tom Papley,142
Luke Jackson,140
Marcus Bontempelli,137
Wayne Milera,136
Errol Gulden,135
Logan McDonald,130
Shaun Mannagh,125
Jordan Clark,121
Jake Lloyd,120
Karl Worner,117
Dylan Moore,114
Thomas Stewart,113
Billy Wilson,113
Josh Dunkley,112
Andrew Brayshaw,112
Bailey Williams,112
Izak Rankine,111
Oliver Wiltshire,110
Hayden McLean,110
James Sicily,109
Oliver Florent,107
George Hewett,106
Patrick Dangerfield,105
Dayne Zorko,105
Bailey Smith,104
Adam Cerra,104
Luke Nankervis,104
Gryan Miers,103
Luke Ryan,103
Jordan Dawson,101
Charlie Curnow,99
Aaron Naughton,99
Dane Rampe,97
Massimo D'Ambrosio,97
Ed Richards,97
Sam Walsh,95
Brayden Cook,95
Rory Lobb,94
Brodie Grundy,93
Eric Hipwood,93
Caleb Serong,93
Josh Battle,93
Harry Cunningham,92
Will Ashcroft,89
Neil Erasmus,89
Joel Freijah,89
Tanner Bruhn,87
Marc Pittonet,86
Conor McKenna,86
Joshua Weddle,86
Riley Thilthorpe,86
James O'Donnell,86
Ollie Dempsey,84
Bradley Close,84
Nick Watson,84
Mitchell Edwards,83
Mark O'Connor,81
Alex Pearce,81
Jack Ginnivan,81
Rory Laird,81
Isaac Cumming,81
Cooper Hynes,81
Jai Newcombe,80
Harry Morrison,80
Mitchell Lewis,80
Lachie Neale,79
Will Day,79
Timothy English,79
Zach Guthrie,78
Cooper Lord,78
Connor MacDonald,78
Jarrod Berry,77
Zac Bailey,77
Sam Draper,77
Francis Evans,76
Ryan Lester,76
Harris Andrews,76
Oscar McDonald,76
Jake Soligo,76
Lachlan McAndrew,76
Mark Blicavs,75
Heath Chapman,75
Mark Keane,75
Jaspa Fletcher,74
Karl Amon,74
Alex N-Bullen,74
Jay Polkinghorne,73
Darcy Fogarty,73
Ben Keays,73
Tom Atkins,72
Ben Ainsworth,72
Oliver Hollands,72
Harry McKay,72
Matthew Roberts,72
James Rowbottom,72
Blake Hardwick,71
Josh Rachele,71
Patrick Cripps,70
Cameron Mackenzie,70
Jagga Smith,69
Darcy Wilmot,69
Max Holmes,68
Lachlan Cowan,68
Levi Ashcroft,68
Rhylee West,68
Jacob Weitering,67
Josh Ward,66
Billy Cootee,64
Sam Switkowski,64
Logan Morris,63
Oscar Allen,63
Murphy Reid,63
Lloyd Meek,62
Sam Berry,62
Taylor Walker,62
Wade Derksen,60
Braeden Campbell,60
Hayden Young,60
Angus Sheldrick,59
Hugo H-Kahan,59
Daniel Curtin,59
Jai Serong,58
Nathan O'Driscoll,58
Brandon Walker,58
Michael Frederick,58
Shannon Neale,57
Tom McCartin,57
Connor Budarick,57
Matt Johnson,56
Arthur Jones,56
Harry Kyle,55
Lawson Humphries,54
Bailey Dale,54
Ryley Sanders,54
Blake Acres,53
Caiden Cleary,53
Max Michalanney,53
Luke Kennedy,53
Joel Hamling,52
Jack Henry,51
Matt Cottrell,51
Jarman Impey,51
Mabior Chol,51
Tom Hanily,50
Cameron Rayner,50
Jack Gunston,50
Shai Bolton,49
Isaiah Dudley,48
Will Lewis,48
Oliver Henry,46
James Borlase,45
Hugh McCluggage,43
Darcy Fort,43
Tom Barrass,43
Bailey Macdonald,43
Connor O'Sullivan,40
Noah Answerth,40
Sam Wicks,39
Jeremy Cameron,38
Jesse Dattoli,38
Sam Davidson,36
Josh Dolan,36
Patrick Voss,34
Lachlan McNeil,34
Jye Amiss,32
Kai Lohmann,31
Callum Ah Chee,31
Cody Weightman,31
Brodie Kemp,29
Talor Byrne,29
Oisin Mullin,28
Darcy Gardiner,28
Buku Khamis,27
Lachlan Bramble,25
Mason Cox,24
Josh Treacy,24
Harry Dean,23
Max Beattie,22
Mitch McGovern,21
Ryan Gardner,20
Lewis Young,19
Charlie Cameron,16
