Player,2026 R21
Tim Taranto,159
Izak Rankine,158
Jai Newcombe,154
Max Gawn,148
George Hewett,147
Riley Thilthorpe,147
Errol Gulden,144
Oscar McDonald,142
Lachie Whitfield,139
Max Hall,139
John Noble,134
Harley Reid,133
Jack Ross,132
Marcus Herbert,132
Timothy English,131
Ollie Dempsey,127
Jagga Smith,126
Nick Daicos,125
Karl Worner,123
Harry Sheezel,123
Aliir Aliir,122
Toby Nankervis,122
Will Ashcroft,121
Jake Bowey,121
Darcy Cameron,121
Callum Wilkie,121
Oliver Florent,119
Peter Wright,118
Matt Rowell,118
Ed Richards,117
Joel Fitzgerald,117
Nasiah Wanganeen-Milera,117
Chad Warner,116
Josh Treacy,116
Will Hayward,116
Nick Watson,115
Trent Rivers,115
Hugo Ralphsmith,115
Jacob Van Rooyen,114
Elliot Yeo,114
Isaac Heeney,114
Nick Blakey,113
Harrison Petty,112
Lloyd Meek,112
Daniel McStay,110
Jordan Dawson,110
Jack Graham,109
Zachary Merrett,109
Tristan Xerri,109
Sam Lalor,109
Harry McKay,108
Tom Sparrow,107
Luke Davies-Uniacke,107
Miles Bergman,105
Lachie Neale,105
Noah Anderson,105
Stephen Coniglio,105
Jarman Impey,104
Josh Daicos,104
Toby Bedford,103
Oliver Henry,103
Caleb Serong,102
Brodie Grundy,102
Jase Burgoyne,101
Dyson Sharp,101
Billy Dowling,101
Brodie Kemp,101
Bodhi Uwland,101
Tyler Sonsie,100
Kysaiah Pickett,100
Lachlan Bramble,99
Nick Madden,99
Oliver Wines,99
Thomas Stewart,98
Tim Kelly,98
Josh Dunkley,98
Darcy Byrne-Jones,97
Isaac Quaynor,97
Jake Stringer,97
Bailey Humphrey,97
Cameron Mackenzie,97
Oscar Ryan,96
Luke Ryan,96
Bradley Hill,96
James Worpel,95
Thomas Liberatore,95
Andrew Brayshaw,95
Willem Drew,95
Blake Hardwick,95
Liam Stocker,94
Archie Roberts,94
Sam Draper,93
Cooper Hynes,92
Scott Pendlebury,92
Patrick Retschko,92
Ryley Sanders,92
Mabior Chol,92
Jason Horne-Francis,92
Connor MacDonald,91
Adam Cerra,91
Bailey J. Williams,91
Jack Crisp,91
Callum Ah Chee,91
Daniel Curtin,90
Ed Langdon,90
Mac Andrew,90
Joel Freijah,90
Logan McDonald,90
Jaspa Fletcher,90
Jack Silvagni ,90
Josh Battle,90
Riley Bice,89
Tom Atkins,88
Mitch Georgiades,87
Tom McCarthy,87
Sam Durham,87
Will Day,87
Jy Simpkin,87
Sam Switkowski,87
Tom Lynch,87
Milan Murdock,86
Tanner Bruhn,86
Murphy Reid,86
Lachlan Jones,86
Shannon Neale,85
Jordan Clark,85
Connor O'Sullivan,85
Joe Berry,85
Jaxon Artemis,85
Jordon Sweet,85
Cooper Trembath,84
Rowan Marshall,84
Caleb Daniel,84
Tom McDonald,84
Wade Derksen,84
Hugo Garcia,83
Will Lorenz,83
Neil Erasmus,83
Andrew McGrath,83
Lachlan Ash,82
Mason Wood,82
Harvey Thomas,82
Tom McCartin,82
Sam Taylor,81
Jed Walter,81
Paul Curtis,81
Ryan Angwin,81
Cooper Lord,80
Liam Duggan,80
Connor Idun,80
Billy Cootee,79
Bailey Smith,79
Bailey Williams,79
Mitchito Owens,79
Shai Bolton,78
Jack Darling,78
Ryan Byrnes,78
Billy Wilson,78
Daniel Rioli,78
Hugo Hall-Kahan,78
Hussien El Achkar,78
Luke Jackson,77
Jai Serong,77
Sam Walsh,77
Mark O'Connor,77
James Jordon,77
Josh Lai,77
Mitchell Edwards,77
Alex Neal-Bullen,77
Will Setterfield,77
Michael Frederick,77
Jobe Shanahan,76
Touk Miller,76
Jake Lloyd,76
Caleb Windsor,76
Jhye Clark,76
Clayton Oliver,76
Lachlan McAndrew,75
James O'Donnell,75
Patrick Lipinski ,75
Koltyn Tholstrup,75
Luke Parker,74
Nick Larkey,74
Finn O'Sullivan,74
Jordan De Goey ,74
Ben Miller,74
Hunter Clark,74
Kai Lohmann,74
Rory Lobb,73
Marc Pittonet,73
Harry Rowston,73
James Sicily,73
Massimo D'Ambrosio,73
Oisin Mullin,73
Talor Byrne,73
Dan Houston,73
Gryan Miers,72
Kyle Langford,72
Hayden Young,72
Xavier O'Halloran,72
Dylan Stephens,72
Josh Goater,72
Heath Chapman,71
Buku Khamis,71
Jeremy Howe ,71
Dane Rampe,70
Kye Annand,70
Mason Redman,70
Dante Visentini,69
Cameron Zurhaar,69
Matthew Roberts,69
Bayley Fritsch,69
Jayden Laverde,69
Zac Taylor,69
Jake Soligo,69
Leo Lombard,69
Beau Addinsall,69
Callum Mills,68
Shaun Mannagh,68
Matt Cottrell,68
Wil Powell,68
Lewis Young,67
Max Michalanney,67
Braeden Campbell,67
Beau McCreery,67
Ryan Maric,67
Harrison Jones,67
Billy Frampton,66
Lachlan Schultz ,66
Hugh McCluggage,66
Patrick Cripps,66
Aaron Cadman,65
Ben Long,65
Matt Johnson,65
Nathan Broad,65
Darcy Wilson,65
Jarrod Berry,65
Ryan Lester,64
Tom Brown,64
Josaia Delana,64
Griffin Logue,64
Jake Waterman,64
Lachlan Cowan,63
Taj Hotton,63
Bailey Macdonald,63
Archer Day-Wicks,63
Harris Andrews,63
Zach Reid,63
Sam Banks,63
Taylor Walker,62
Josh Worrell,62
Harry Sharp,62
Zac Bailey,62
Jack Gunston,62
Jack Ginnivan,62
Josh Ward,62
Colby McKercher,62
Jedd Busslinger,62
Mitch McGovern,61
Charlie Curnow,61
Marcus Bontempelli,61
Jack Henry,61
Campbell Lake,61
Cameron Rayner,61
Lawson Humphries,61
Zach Guthrie,60
Josh Rachele,60
Harry Dean,60
Ben Keays,60
Harrison Himmelberg,59
Luke Nankervis ,59
Nathan O'Driscoll,59
Nick Vlastuin,59
Jake Lever,59
Ned Long,59
Ben Ainsworth,59
Jay Polkinghorne,59
Nicholas Coffield,59
Josh Dolan,59
Tom De Koning,59
Kieren Briggs,59
Arthur Jones,58
Archie Ludowyke,57
Brady Hough,56
Samuel Grlj,56
Bailey Laurie,56
Charlie Comben,55
Xavier Bamert,55
Isaac Cumming,55
Edward Allan,55
Judd McVee,55
Charlie Cameron,55
Nick Haynes,55
Brandon Starcevich,55
Mark Blicavs,54
Oscar Allen,54
Nick Bryan,54
Jaxon Prior,53
Dion Prestia,53
Harvey Harrison,53
Christian Petracca,53
Cooper Duff-Tytler,53
Jacob Farrow,52
Balyn O'Brien,52
Joshua Weddle,52
Max Gruzewski,52
Harvey Langford,52
Aidan Corr,52
Zak Johnson,52
Liam O'Connell,51
James Borlase ,51
Tobie Travaglia,51
Tom Papley,51
Mitch Zadow,50
Oliver Wiltshire,50
Isaiah Dudley,50
Bruce Reville,49
Eric Hipwood,49
Michael Sellwood,49
Dylan Moore,49
Ben King,48
Darcy Fort,48
Joseph Fonti,47
Jack Steele,47
Jayden Short,47
Ethan Read,47
Luke Trainor ,46
Francis Evans,46
Charlie Spargo,46
Jack Watkins ,45
Zac Banch,45
Jack Williams,45
Tom Cole,45
Sam Davidson,45
Ned Moyle,45
