key,name,pk,games,shipped,b0,landed,stage1_storelag_engine,stage2_curve_surface,total,stage2_channel
riley-bice,"Riley Bice",41,29,340,233,233,-107,0,-107,
ryley-sanders,"Ryley Sanders",6,47,3686,3784,3793,98,9,107,ruled_curve
zak-johnson,"Zak Johnson",70,14,644,536,537,-108,1,-107,year_zero_lens
kane-mcauliffe,"Kane McAuliffe",40,20,1406,1296,1300,-110,4,-106,year_zero_lens
matt-carroll,"Matt Carroll",7,27,1007,899,901,-108,2,-106,year_zero_lens
ben-king,"Ben King",6,132,349,244,244,-105,0,-105,
cameron-mackenzie,"Cameron Mackenzie",7,56,2064,1955,1959,-109,4,-105,ruled_curve
harley-reid,"Harley Reid",1,52,3663,3548,3558,-115,10,-105,ruled_curve
jake-lever,"Jake Lever",15,198,339,234,234,-105,0,-105,
matt-johnson-1,"Matt Johnson",21,67,1076,968,971,-108,3,-105,ruled_curve
max-knobel,"Max Knobel",42,0,516,430,411,-86,-19,-105,year_zero_lens
oliver-hollands,"Oliver Hollands",11,74,1815,1707,1710,-108,3,-105,ruled_curve
tanner-bruhn,"Tanner Bruhn",12,78,2214,2104,2109,-110,5,-105,ruled_curve
thomas-burton,"Thomas Burton",,5,453,348,349,-105,1,-104,year_zero_lens
zeke-uwland,"Zeke Uwland",2,10,2769,2659,2665,-110,6,-104,year_zero_lens
brayden-fiorini,"Brayden Fiorini",20,125,285,181,182,-104,1,-103,ruled_curve
jacob-moss,"Jacob Moss",,0,293,190,190,-103,0,-103,
luke-urquhart,"Luke Urquhart",57,0,251,162,148,-89,-14,-103,year_zero_lens
brayden-george,"Brayden George",26,0,337,239,235,-98,-4,-102,year_zero_lens
heath-chapman,"Heath Chapman",14,77,493,390,391,-103,1,-102,ruled_curve
isaac-keeler,"Isaac Keeler",44,13,317,219,215,-98,-4,-102,year_zero_lens
kieren-briggs,"Kieren Briggs",34,80,2544,2435,2442,-109,7,-102,ruled_curve
brodie-grundy,"Brodie Grundy",22,254,4481,4571,4582,90,11,101,ruled_curve
sam-powell-pepper,"Sam Powell-Pepper",18,158,278,177,177,-101,0,-101,
sullivan-robey,"Sullivan Robey",9,9,3122,3012,3021,-110,9,-101,year_zero_lens
dylan-stephens,"Dylan Stephens",5,93,505,405,406,-100,1,-99,ruled_curve
jordan-croft,"Jordan Croft",15,10,1051,950,952,-101,2,-99,year_zero_lens
ollie-dempsey,"Ollie Dempsey",7,71,2211,2108,2112,-103,4,-99,ruled_curve
oskar-taylor,"Oskar Taylor",15,0,759,667,660,-92,-7,-99,year_zero_lens
william-mccabe,"William McCabe",19,1,775,676,677,-99,1,-98,year_zero_lens
koltyn-tholstrup,"Koltyn Tholstrup",13,32,1671,1570,1574,-101,4,-97,ruled_curve
murphy-reid,"Murphy Reid",17,36,4305,4391,4402,86,11,97,ruled_curve
toby-bedford,"Toby Bedford",75,92,272,174,175,-98,1,-97,pool_levels
tylar-young,"Tylar Young",9,49,319,222,222,-97,0,-97,
luke-nankervis,"Luke Nankervis",1,37,460,364,364,-96,0,-96,
nick-madden,"Nick Madden",,6,1932,1831,1836,-101,5,-96,year_zero_lens
sandy-brock,"Sandy Brock",,18,267,171,171,-96,0,-96,
stephen-coniglio,"Stephen Coniglio",3,238,255,159,159,-96,0,-96,
angus-sheldrick,"Angus Sheldrick",18,41,838,741,743,-97,2,-95,ruled_curve
bayley-fritsch,"Bayley Fritsch",31,183,252,157,157,-95,0,-95,
cooper-lord,"Cooper Lord",9,26,1169,1071,1074,-98,3,-95,year_zero_lens
jaxon-prior,"Jaxon Prior",58,74,390,294,295,-96,1,-95,ruled_curve
max-gawn,"Max Gawn",33,260,3426,3323,3331,-103,8,-95,ruled_curve
ryan-maric,"Ryan Maric",1,59,1500,1403,1405,-97,2,-95,ruled_curve
blake-acres,"Blake Acres",19,188,251,157,157,-94,0,-94,
max-michalanney,"Max Michalanney",17,78,573,477,479,-96,2,-94,ruled_curve
zac-bailey,"Zac Bailey",15,178,3207,3105,3113,-102,8,-94,ruled_curve
callum-wilkie,"Callum Wilkie",1,168,3699,3597,3606,-102,9,-93,ruled_curve
harry-kyle,"Harry Kyle",14,2,1110,1200,1203,90,3,93,year_zero_lens
izak-rankine,"Izak Rankine",3,115,3063,2963,2970,-100,7,-93,ruled_curve
lachie-jaques,"Lachie Jaques",29,8,891,795,798,-96,3,-93,year_zero_lens
tyson-stengle,"Tyson Stengle",4,109,255,162,162,-93,0,-93,
will-lorenz,"Will Lorenz",57,9,439,350,346,-89,-4,-93,year_zero_lens
connor-rozee,"Connor Rozee",5,152,2930,2832,2838,-98,6,-92,ruled_curve
daniel-mcstay,"Daniel McStay",25,210,239,147,147,-92,0,-92,
lewis-young,"Lewis Young",49,86,239,147,147,-92,0,-92,
luke-trainor,"Luke Trainor",21,28,1482,1570,1574,88,4,92,year_zero_lens
hamish-davis,"Hamish Davis",65,20,974,881,883,-93,2,-91,year_zero_lens
lucas-camporeale,"Lucas Camporeale",54,3,257,179,166,-78,-13,-91,year_zero_lens
oliver-hannaford,"Oliver Hannaford",18,5,463,372,372,-91,0,-91,
mattaes-phillipou,"Mattaes Phillipou",10,56,2462,2365,2372,-97,7,-90,ruled_curve
max-heath,"Max Heath",7,10,720,628,630,-92,2,-90,year_zero_lens
talor-byrne,"Talor Byrne",45,7,915,822,825,-93,3,-90,year_zero_lens
jack-ison,"Jack Ison",47,3,623,533,534,-90,1,-89,year_zero_lens
jake-bowey,"Jake Bowey",22,89,4048,4127,4137,79,10,89,ruled_curve
koby-coulson,"Koby Coulson",46,0,433,365,344,-68,-21,-89,year_zero_lens
lachlan-smith,"Lachlan Smith",47,2,716,636,627,-80,-9,-89,year_zero_lens
max-king-stk,"Max King",4,83,338,248,249,-90,1,-89,ruled_curve
darcy-moore,"Darcy Moore",8,199,237,149,149,-88,0,-88,
nathan-o-driscoll,"Nathan O'Driscoll",28,43,709,620,621,-89,1,-88,ruled_curve
patrick-retschko,"Patrick Retschko",8,8,1348,1257,1260,-91,3,-88,year_zero_lens
caiden-cleary,"Caiden Cleary",24,21,534,446,447,-88,1,-87,year_zero_lens
nick-blakey,"Nick Blakey",10,164,4094,4170,4181,76,11,87,ruled_curve
will-hayward,"Will Hayward",21,195,224,137,137,-87,0,-87,
andrew-brayshaw,"Andrew Brayshaw",2,182,3187,3093,3101,-94,8,-86,ruled_curve
campbell-gray,"Campbell Gray",15,12,271,185,185,-86,0,-86,
brady-hough,"Brady Hough",31,88,371,285,286,-86,1,-85,ruled_curve
ned-reeves,"Ned Reeves",,54,330,244,245,-86,1,-85,pool_levels
ryan-angwin,"Ryan Angwin",19,40,503,417,418,-86,1,-85,ruled_curve
tim-membrey,"Tim Membrey",49,210,212,127,127,-85,0,-85,
will-green,"Will Green",16,0,672,589,587,-83,-2,-85,year_zero_lens
angus-anderson,"Angus Anderson",57,7,240,165,156,-75,-9,-84,year_zero_lens
harrison-petty,"Harrison Petty",37,113,226,142,142,-84,0,-84,
jarrod-witts,"Jarrod Witts",74,214,224,140,140,-84,0,-84,
judd-mcvee,"Judd McVee",9,76,386,301,302,-85,1,-84,ruled_curve
taylor-walker,"Taylor Walker",64,309,219,134,135,-85,1,-84,ruled_curve
george-stevens,"George Stevens",58,3,410,332,327,-78,-5,-83,year_zero_lens
hugo-hall-kahan,"Hugo Hall-Kahan",10,2,234,151,151,-83,0,-83,
latrelle-pickett,"Latrelle Pickett",12,11,630,555,547,-75,-8,-83,year_zero_lens
oliver-francou,"Oliver Francou",3,0,565,481,482,-84,1,-83,year_zero_lens
sam-durham,"Sam Durham",9,103,2710,2621,2627,-89,6,-83,ruled_curve
sam-berry,"Sam Berry",29,88,3702,3774,3784,72,10,82,ruled_curve
connor-macdonald,"Connor MacDonald",26,102,2869,2781,2788,-88,7,-81,ruled_curve
jack-darling,"Jack Darling",28,331,203,122,122,-81,0,-81,
jack-williams,"Jack Williams",57,45,540,457,459,-83,2,-81,ruled_curve
rhylee-west,"Rhylee West",26,94,221,140,140,-81,0,-81,
will-edwards,"Will Edwards",,7,279,199,199,-80,0,-80,
blake-howes,"Blake Howes",39,41,340,261,261,-79,0,-79,
jaspa-fletcher,"Jaspa Fletcher",12,81,2683,2597,2604,-86,7,-79,ruled_curve
josh-lai,"Josh Lai",,8,549,469,470,-80,1,-79,year_zero_lens
archie-perkins,"Archie Perkins",9,110,309,230,231,-79,1,-78,ruled_curve
bodhi-uwland,"Bodhi Uwland",,61,3883,3952,3961,69,9,78,pool_levels
bodie-ryan,"Bodie Ryan",46,3,342,264,264,-78,0,-78,
jack-sinclair,"Jack Sinclair",1,223,3408,3321,3330,-87,9,-78,ruled_curve
jake-lloyd,"Jake Lloyd",16,284,191,113,113,-78,0,-78,
beau-addinsall,"Beau Addinsall",18,0,1321,1394,1398,73,4,77,year_zero_lens
campbell-lake,"Campbell Lake",7,1,220,143,143,-77,0,-77,
elijah-tsatas,"Elijah Tsatas",5,21,1362,1281,1285,-81,4,-77,year_zero_lens
zac-fisher,"Zac Fisher",27,132,185,109,109,-76,0,-76,
avery-thomas,"Avery Thomas",28,0,494,428,419,-66,-9,-75,year_zero_lens
darcy-wilmot,"Darcy Wilmot",16,96,3739,3804,3814,65,10,75,ruled_curve
harrison-oliver,"Harrison Oliver",19,2,683,607,608,-76,1,-75,year_zero_lens
tom-mcdonald,"Tom McDonald",54,252,186,110,111,-76,1,-75,ruled_curve
alex-davies,"Alex Davies",17,46,489,414,415,-75,1,-74,ruled_curve
alex-van-wyk,"Alex Van Wyk",14,0,332,259,258,-73,-1,-74,year_zero_lens
caleb-may,"Caleb May",9,0,332,259,258,-73,-1,-74,year_zero_lens
christian-moraes,"Christian Moraes",38,20,984,908,910,-76,2,-74,year_zero_lens
flynn-riley,"Flynn Riley",4,0,364,291,290,-73,-1,-74,year_zero_lens
james-jordon,"James Jordon",33,127,236,161,162,-75,1,-74,ruled_curve
max-mapley,"Max Mapley",18,0,332,259,258,-73,-1,-74,year_zero_lens
patrick-carr,"Patrick Carr",,0,332,259,258,-73,-1,-74,year_zero_lens
bailey-humphrey,"Bailey Humphrey",6,72,2394,2316,2321,-78,5,-73,ruled_curve
nick-bryan,"Nick Bryan",37,28,837,762,764,-75,2,-73,year_zero_lens
sam-marshall,"Sam Marshall",25,13,876,800,803,-76,3,-73,year_zero_lens
toby-conway,"Toby Conway",24,6,577,511,504,-66,-7,-73,year_zero_lens
angus-clarke,"Angus Clarke",39,14,807,734,735,-73,1,-72,year_zero_lens
caleb-lewis,"Caleb Lewis",13,0,219,147,147,-72,0,-72,
michael-sellwood,"Michael Sellwood",5,13,208,136,136,-72,0,-72,
oscar-steene,"Oscar Steene",,8,560,487,488,-73,1,-72,year_zero_lens
tew-jiath,"Tew Jiath",37,1,241,173,169,-68,-4,-72,year_zero_lens
toby-murray,"Toby Murray",7,7,291,219,219,-72,0,-72,
bo-allan,"Bo Allan",16,16,1224,1149,1153,-75,4,-71,year_zero_lens
cooper-simpson,"Cooper Simpson",35,5,251,183,180,-68,-3,-71,year_zero_lens
harley-barker,"Harley Barker",24,0,749,692,678,-57,-14,-71,year_zero_lens
harry-barnett,"Harry Barnett",23,2,629,563,558,-66,-5,-71,year_zero_lens
thomas-anastasopoulos,"Tom Anastasopoulos",48,2,341,273,270,-68,-3,-71,year_zero_lens
beau-mccreery,"Beau McCreery",46,107,199,128,129,-71,1,-70,ruled_curve
buku-khamis,"Buku Khamis",,54,217,147,147,-70,0,-70,
leon-kickett,"Leon Kickett",4,0,406,336,337,-70,1,-69,year_zero_lens
zane-zakostelsky,"Zane Zakostelsky",51,3,475,409,406,-66,-3,-69,year_zero_lens
alix-tauru,"Alix Tauru",10,17,1571,1635,1639,64,4,68,year_zero_lens
cameron-zurhaar,"Cameron Zurhaar",9,155,162,94,94,-68,0,-68,
deven-robertson,"Deven Robertson",22,51,247,179,179,-68,0,-68,
jack-payne,"Jack Payne",54,81,173,105,105,-68,0,-68,
riley-hamilton,"Riley Hamilton",,0,340,272,272,-68,0,-68,
braeden-campbell,"Braeden Campbell",5,94,377,309,310,-68,1,-67,ruled_curve
campbell-chesser,"Campbell Chesser",14,39,357,289,290,-68,1,-67,ruled_curve
jack-ough,"Jack Ough",36,0,724,658,658,-66,0,-66,
nate-caddy,"Nate Caddy",10,39,1812,1743,1746,-69,3,-66,ruled_curve
sam-walsh,"Sam Walsh",1,145,3296,3221,3230,-75,9,-66,ruled_curve
archie-may,"Archie May",6,17,478,413,414,-65,1,-64,year_zero_lens
billy-dowling,"Billy Dowling",43,10,205,143,141,-62,-2,-64,year_zero_lens
cody-weightman,"Cody Weightman",15,77,219,155,155,-64,0,-64,
jai-murray,"Jai Murray",17,1,1343,1276,1279,-67,3,-64,year_zero_lens
luker-kentfield,"Luker Kentfield",11,2,412,347,348,-65,1,-64,year_zero_lens
sam-clohesy,"Sam Clohesy",3,42,270,206,206,-64,0,-64,
tai-hayes,"Tai Hayes",44,0,274,219,210,-55,-9,-64,year_zero_lens
xavier-duursma,"Xavier Duursma",18,123,208,143,144,-65,1,-64,ruled_curve
zac-taylor,"Zac Taylor",44,36,261,197,197,-64,0,-64,
ethan-read,"Ethan Read",9,34,1024,959,961,-65,2,-63,ruled_curve
jack-scrimshaw,"Jack Scrimshaw",7,129,158,95,95,-63,0,-63,
jake-stringer,"Jake Stringer",7,240,142,79,80,-63,1,-62,ruled_curve
leek-aleer,"Leek Aleer",15,30,287,225,225,-62,0,-62,
oliver-hayes-brown,"Oliver Hayes-Brown",,7,279,216,217,-63,1,-62,year_zero_lens
xavier-taylor,"Xavier Taylor",11,2,902,967,964,65,-3,62,year_zero_lens
jamarra-ugle-hagan,"Jamarra Ugle-Hagan",1,70,353,291,292,-62,1,-61,ruled_curve
josh-draper,"Josh Draper",,31,537,475,476,-62,1,-61,pool_levels
matt-rowell,"Matt Rowell",1,117,4046,4096,4107,50,11,61,ruled_curve
aidan-johnson,"Aidan Johnson",68,5,91,31,31,-60,0,-60,
jack-higgins,"Jack Higgins",17,153,135,75,75,-60,0,-60,
oscar-allen,"Oscar Allen",21,112,161,101,101,-60,0,-60,
edward-allan,"Edward Allan",19,22,849,788,790,-61,2,-59,year_zero_lens
jordan-dawson,"Jordan Dawson",55,165,3502,3434,3443,-68,9,-59,ruled_curve
liam-mcmahon,"Liam McMahon",33,7,209,151,150,-58,-1,-59,year_zero_lens
lachlan-sholl,"Lachlan Sholl",64,79,220,162,162,-58,0,-58,
griffin-logue,"Griffin Logue",8,107,130,73,73,-57,0,-57,
harrison-jones,"Harrison Jones",30,61,209,151,152,-58,1,-57,ruled_curve
taj-hotton,"Taj Hotton",12,7,2245,2183,2188,-62,5,-57,year_zero_lens
tom-edwards,"Tom Edwards",,9,91,34,34,-57,0,-57,
will-day,"Will Day",13,77,2966,2900,2909,-66,9,-57,ruled_curve
will-graham,"Will Graham",26,35,1727,1666,1670,-61,4,-57,ruled_curve
aiden-riddle,"Aiden Riddle",2,0,255,200,199,-55,-1,-56,year_zero_lens
jaime-uhr-henry,"Jaime Uhr-Henry",,0,255,200,199,-55,-1,-56,year_zero_lens
joe-pike,"Joe Pike",9,0,255,200,199,-55,-1,-56,year_zero_lens
kaleb-smith,"Kaleb Smith",49,12,122,68,66,-54,-2,-56,year_zero_lens
logan-smith,"Logan Smith",71,0,255,200,199,-55,-1,-56,year_zero_lens
angus-hastie,"Angus Hastie",33,15,339,284,284,-55,0,-55,
harry-edwards,"Harry Edwards",12,57,161,106,106,-55,0,-55,
harry-perryman,"Harry Perryman",14,162,123,68,68,-55,0,-55,
harvey-gallagher,"Harvey Gallagher",39,28,142,89,87,-53,-2,-55,year_zero_lens
james-leake,"James Leake",17,8,546,489,491,-57,2,-55,year_zero_lens
charlie-banfield,"Charlie Banfield",41,3,694,648,640,-46,-8,-54,year_zero_lens
harry-dean,"Harry Dean",3,10,2567,2508,2513,-59,5,-54,year_zero_lens
jai-culley,"Jai Culley",1,23,245,191,191,-54,0,-54,
kysaiah-pickett,"Kysaiah Pickett",12,139,3943,3986,3997,43,11,54,ruled_curve
will-hayes-b,"Will Hayes",56,8,368,421,422,53,1,54,year_zero_lens
archer-day-wicks,"Archer Day-Wicks",1,16,541,593,594,52,1,53,year_zero_lens
esava-ratugolea,"Esava Ratugolea",43,117,120,67,67,-53,0,-53,
iliro-smit,"Iliro Smit",10,0,237,185,184,-52,-1,-53,year_zero_lens
jacob-konstanty,"Jacob Konstanty",20,29,211,158,158,-53,0,-53,
vigo-visentini,"Vigo Visentini",5,2,237,185,184,-52,-1,-53,year_zero_lens
cody-angove,"Cody Angove",24,4,563,522,511,-41,-11,-52,year_zero_lens
josh-gibcus,"Josh Gibcus",9,22,196,143,144,-53,1,-52,year_zero_lens
lance-collard,"Lance Collard",28,15,239,189,187,-50,-2,-52,year_zero_lens
max-gruzewski,"Max Gruzewski",22,19,561,508,509,-53,1,-52,year_zero_lens
michael-frederick,"Michael Frederick",60,109,114,62,62,-52,0,-52,
oliver-wiltshire,"Oliver Wiltshire",61,7,101,55,49,-46,-6,-52,year_zero_lens
tom-barrass,"Tom Barrass",43,184,116,64,64,-52,0,-52,
finnbar-maley,"Finnbar Maley",2,12,312,260,261,-52,1,-51,year_zero_lens
luke-pedlar,"Luke Pedlar",11,49,163,114,112,-49,-2,-51,ruled_curve
marcus-bontempelli,"Marcus Bontempelli",4,271,4278,4318,4329,40,11,51,ruled_curve
nick-vlastuin,"Nick Vlastuin",12,267,111,60,60,-51,0,-51,
james-trezise,"James Trezise",10,33,167,117,117,-50,0,-50,
josh-worrell,"Josh Worrell",28,67,3783,3823,3833,40,10,50,ruled_curve
max-ramsden,"Max Ramsden",6,11,247,196,197,-51,1,-50,year_zero_lens
mitchell-knevitt,"Mitchell Knevitt",25,22,177,131,127,-46,-4,-50,year_zero_lens
toby-whan,"Toby Whan",,0,272,222,222,-50,0,-50,
jai-saxena,"Jai Saxena",,0,272,222,223,-50,1,-49,year_zero_lens
ned-moyle,"Ned Moyle",5,18,2119,2163,2168,44,5,49,year_zero_lens
nick-haynes,"Nick Haynes",10,242,103,54,54,-49,0,-49,
oliver-griffin,"Oliver Griffin",6,0,272,222,223,-50,1,-49,year_zero_lens
ryan-lester,"Ryan Lester",30,243,106,56,57,-50,1,-49,ruled_curve
ryda-luke,"Ryda Luke",,0,272,222,223,-50,1,-49,year_zero_lens
sid-draper,"Sid Draper",4,10,1204,1153,1155,-51,2,-49,year_zero_lens
tom-cole,"Tom Cole",36,138,102,53,53,-49,0,-49,
tom-gross,"Tom Gross",46,9,644,594,595,-50,1,-49,year_zero_lens
harvey-johnston,"Harvey Johnston",49,11,257,209,209,-48,0,-48,
jackson-archer,"Jackson Archer",59,26,75,29,27,-46,-2,-48,year_zero_lens
todd-marshall,"Todd Marshall",16,123,115,66,67,-49,1,-48,ruled_curve
harry-demattia,"Harry DeMattia",25,0,479,442,432,-37,-10,-47,year_zero_lens
jack-whitlock,"Jack Whitlock",33,16,1325,1276,1279,-49,3,-46,year_zero_lens
lachlan-bramble,"Lachlan Bramble",,90,97,51,51,-46,0,-46,
lachlan-jones,"Lachlan Jones",16,84,156,110,110,-46,0,-46,
matt-cottrell,"Matt Cottrell",,76,116,70,70,-46,0,-46,
will-mclachlan,"Will McLachlan",6,7,177,130,131,-47,1,-46,year_zero_lens
elliot-himmelberg,"Elliott Himmelberg",51,50,91,46,46,-45,0,-45,
josh-lindsay,"Josh Lindsay",19,12,2463,2412,2418,-51,6,-45,year_zero_lens
oliver-henry,"Oliver Henry",18,97,121,75,76,-46,1,-45,ruled_curve
george-wardlaw,"George Wardlaw",4,48,3215,3251,3259,36,8,44,ruled_curve
calsher-dear,"Calsher Dear",56,30,1016,971,973,-45,2,-43,year_zero_lens
hudson-o-keeffe,"Hudson O'Keeffe",,8,301,258,258,-43,0,-43,
isaac-heeney,"Isaac Heeney",4,235,3637,3584,3594,-53,10,-43,ruled_curve
jakob-ryan,"Jakob Ryan",28,1,282,244,239,-38,-5,-43,year_zero_lens
lukas-cooke,"Lukas Cooke",11,1,151,108,108,-43,0,-43,
riley-garcia,"Riley Garcia",61,39,116,73,73,-43,0,-43,
arthur-jones,"Arthur Jones",43,26,129,87,87,-42,0,-42,
dougal-howard,"Dougal Howard",56,144,89,47,47,-42,0,-42,
mitch-mcgovern,"Mitch McGovern",43,157,85,43,43,-42,0,-42,
ollie-greeves,"Ollie Greeves",5,0,663,620,621,-43,1,-42,year_zero_lens
charlie-ballard,"Charlie Ballard",42,139,86,45,45,-41,0,-41,
hugh-bond,"Hugh Bond",50,19,198,157,157,-41,0,-41,
josh-sinn,"Josh Sinn",12,30,186,146,145,-40,-1,-41,year_zero_lens
kye-annand,"Kye Annand",2,1,181,139,140,-42,1,-41,year_zero_lens
mitch-podhajski,"Mitch Podhajski",17,1,49,8,8,-41,0,-41,
nikolas-cox,"Nikolas Cox",8,58,177,136,136,-41,0,-41,
noah-chamberlain,"Noah Chamberlain",,0,227,185,186,-42,1,-41,year_zero_lens
asher-eastham,"Asher Eastham",7,0,222,181,182,-41,1,-40,year_zero_lens
bailey-macdonald,"Bailey Macdonald",51,10,185,145,145,-40,0,-40,
oscar-ryan,"Oscar Ryan",27,0,293,258,253,-35,-5,-40,year_zero_lens
river-stevens,"River Stevens",67,0,222,181,182,-41,1,-40,year_zero_lens
jackson-macrae,"Jackson Macrae",8,278,143,106,104,-37,-2,-39,ruled_curve
luke-cleary,"Luke Cleary",61,24,78,40,39,-38,-1,-39,year_zero_lens
brandon-zerk-thatcher,"Brandon Zerk-Thatcher",65,90,89,51,51,-38,0,-38,
cooper-hynes,"Cooper Hynes",20,19,1306,1340,1344,34,4,38,year_zero_lens
max-beattie,"Max Beattie",12,0,62,24,24,-38,0,-38,
tobie-travaglia,"Tobie Travaglia",8,12,728,688,690,-40,2,-38,year_zero_lens
tom-blamires,"Tom Blamires",,10,95,57,57,-38,0,-38,
jasper-alger,"Jasper Alger",58,8,395,431,432,36,1,37,year_zero_lens
matt-hill,"Matt Hill",,0,123,86,86,-37,0,-37,
ben-camporeale,"Ben Camporeale",43,0,297,275,261,-22,-14,-36,year_zero_lens
joel-freijah,"Joel Freijah",45,49,2891,2849,2855,-42,6,-36,ruled_curve
lachlan-fogarty,"Lachlan Fogarty",22,92,73,37,37,-36,0,-36,
mitch-zadow,"Mitch Zadow",,1,97,61,61,-36,0,-36,
sam-allen,"Sam Allen",29,0,693,673,657,-20,-16,-36,year_zero_lens
ashton-moir,"Ashton Moir",29,13,305,272,270,-33,-2,-35,year_zero_lens
jayden-nguyen,"Jayden Nguyen",,10,510,474,475,-36,1,-35,year_zero_lens
ryan-byrnes,"Ryan Byrnes",51,85,96,61,61,-35,0,-35,
jack-buller,"Jack Buller",11,15,93,59,59,-34,0,-34,
jordan-clark,"Jordan Clark",15,138,3777,3802,3811,25,9,34,ruled_curve
judson-clarke,"Judson Clarke",30,17,98,65,64,-33,-1,-34,year_zero_lens
riley-hardeman,"Riley Hardeman",23,21,317,284,283,-33,-1,-34,year_zero_lens
tom-hanily,"Tom Hanily",14,10,200,165,166,-35,1,-34,year_zero_lens
xavier-o-halloran,"Xavier O'Halloran",22,98,72,38,38,-34,0,-34,
connor-o-sullivan,"Connor O'Sullivan",11,39,2974,2933,2941,-41,8,-33,ruled_curve
mac-andrew,"Mac Andrew",5,77,4054,4076,4087,22,11,33,ruled_curve
ollie-lord,"Ollie Lord",51,35,154,120,121,-34,1,-33,ruled_curve
rhyan-mansell,"Rhyan Mansell",,74,86,52,53,-34,1,-33,pool_levels
riley-onley,"Riley Onley",2,0,426,392,393,-34,1,-33,year_zero_lens
benny-barrett,"Benny Barrett",,0,176,144,144,-32,0,-32,
corey-warner,"Corey Warner",40,27,82,51,50,-31,-1,-32,year_zero_lens
hunter-holmes,"Hunter Holmes",33,0,584,564,552,-20,-12,-32,year_zero_lens
joel-fitzgerald,"Joel Fitzgerald",16,1,80,48,48,-32,0,-32,
ricky-mentha,"Ricky Mentha",,0,176,144,144,-32,0,-32,
wade-derksen,"Wade Derksen",5,3,86,53,54,-33,1,-32,year_zero_lens
fred-rodriguez,"Fred Rodriguez",1,0,429,396,398,-33,2,-31,year_zero_lens
henry-hustwaite,"Henry Hustwaite",37,11,279,254,248,-25,-6,-31,year_zero_lens
jaeger-o-meara,"Jaeger O'Meara",1,203,196,166,165,-30,-1,-31,ruled_curve
lewis-melican,"Lewis Melican",32,110,59,28,28,-31,0,-31,
malakai-champion,"Malakai Champion",,9,418,386,387,-32,1,-31,year_zero_lens
nick-driscoll,"Nick Driscoll",6,0,429,396,398,-33,2,-31,year_zero_lens
oscar-berry,"Oscar Berry",,0,92,61,61,-31,0,-31,
harrison-ramm,"Harrison Ramm",3,2,394,363,364,-31,1,-30,year_zero_lens
nathan-wardius,"Nathan Wardius",,0,176,145,146,-31,1,-30,year_zero_lens
caleb-graham,"Caleb Graham",71,37,72,43,43,-29,0,-29,
callum-brown-ire,"Callum M. Brown",,68,67,37,38,-30,1,-29,pool_levels
isaiah-dudley,"Isaiah Dudley",,28,119,147,148,28,1,29,year_zero_lens
james-tunstill,"James Tunstill",41,18,111,86,82,-25,-4,-29,year_zero_lens
jay-polkinghorne,"Jay Polkinghorne",44,0,373,404,402,31,-2,29,year_zero_lens
liam-henry,"Liam Henry",9,66,92,64,63,-28,-1,-29,ruled_curve
sam-butler-1,"Sam Butler",23,32,110,82,81,-28,-1,-29,ruled_curve
brandon-walker,"Brandon Walker",52,67,93,65,65,-28,0,-28,
darcy-fort,"Darcy Fort",65,69,55,27,27,-28,0,-28,
harvey-harrison,"Harvey Harrison",52,17,67,39,39,-28,0,-28,
jacob-hopper,"Jacob Hopper",7,177,130,104,102,-26,-2,-28,ruled_curve
noah-long,"Noah Long",57,36,206,177,178,-29,1,-28,ruled_curve
patrick-dangerfield,"Patrick Dangerfield",10,371,91,63,63,-28,0,-28,
tyan-prindable,"Tyan Prindable",32,0,607,592,579,-15,-13,-28,year_zero_lens
bruce-reville,"Bruce Reville",,38,74,46,47,-28,1,-27,pool_levels
reef-mcinnes,"Reef McInnes",24,23,81,55,54,-26,-1,-27,year_zero_lens
steely-green,"Steely Green",55,38,175,147,148,-28,1,-27,ruled_curve
callum-ah-chee,"Callum Ah Chee",8,172,92,67,66,-25,-1,-26,ruled_curve
harry-morrison,"Harry Morrison",73,126,55,29,29,-26,0,-26,
harry-sharp,"Harry Sharp",45,47,75,48,49,-27,1,-26,ruled_curve
joel-amartey,"Joel Amartey",17,74,57,31,31,-26,0,-26,
robert-hansen,"Robert Hansen",2,20,127,101,101,-26,0,-26,
toby-mcmullin,"Toby McMullin",34,34,155,129,129,-26,0,-26,
tyler-brockman,"Tyler Brockman",48,56,80,54,54,-26,0,-26,
chad-warner,"Chad Warner",38,121,3624,3640,3649,16,9,25,ruled_curve
oscar-adams,"Oscar Adams",51,17,96,71,71,-25,0,-25,
sam-sturt,"Sam Sturt",17,31,65,41,40,-24,-1,-25,ruled_curve
tyrell-dewar,"Tyrell Dewar",,23,149,123,124,-26,1,-25,year_zero_lens
lachlan-gulbin,"Lachlan Gulbin",,8,411,386,387,-25,1,-24,year_zero_lens
oscar-mcdonald,"Oscar McDonald",53,98,44,20,20,-24,0,-24,
charlie-edwards,"Charlie Edwards",21,2,747,725,724,-22,-1,-23,year_zero_lens
corey-wagner,"Corey Wagner",43,68,43,20,20,-23,0,-23,
luke-davies-uniacke,"Luke Davies-Uniacke",4,142,3550,3518,3527,-32,9,-23,ruled_curve
wil-dawson,"Wil Dawson",22,11,605,580,582,-25,2,-23,year_zero_lens
zane-duursma,"Zane Duursma",4,35,779,754,756,-25,2,-23,ruled_curve
jesse-mellor,"Jesse Mellor",,0,303,280,281,-23,1,-22,year_zero_lens
