key,player,pos,base,fix1,absence,both
thomas-sims,Thomas Sims,KEY_FWD,1089,1089,1089,1089
lachie-jaques,Lachie Jaques,GEN_DEF,801,801,801,801
james-barrat,James Barrat,KEY_DEF,424,424,424,424
charlie-nicholls,Charlie Nicholls,KEY_FWD,380,380,380,380
noah-mraz,Noah Mraz,KEY_DEF,413,413,413,413
jack-ough,Jack Ough,MID,419,419,419,419
kayle-gerreyn,Kayle Gerreyn,KEY_FWD,349,349,349,349
angus-clarke,Angus Clarke,GEN_DEF,761,761,761,761
harry-o-farrell,Harry O'Farrell,KEY_DEF,854,854,854,854
ben-camporeale,Ben Camporeale,MID,356,356,356,356
jay-polkinghorne,Jay Polkinghorne,GEN_FWD,263,263,263,263
tom-gross,Tom Gross,MID,615,615,615,615
joel-cochran,Joel Cochran,KEY_DEF,375,375,375,375
lucca-grego,Lucca Grego,GEN_DEF,283,283,283,283
cooper-bell,Cooper Bell,KEY_DEF,371,371,371,371
charlie-west,Charlie West,KEY_FWD,455,455,455,455
sam-davidson,Sam Davidson,GEN_FWD,87,87,87,87
jacob-molier,Jacob Molier,RUC,464,464,464,464
alex-dodson,Alex Dodson,RUC,455,455,455,455
lucas-camporeale,Lucas Camporeale,MID,303,303,303,303
riak-andrew,Riak Andrew,KEY_DEF,342,342,342,342
will-hayes-b,Will Hayes,GEN_FWD,299,299,299,299
luke-urquhart,Luke Urquhart,MID,296,296,296,296
jasper-alger,Jasper Alger,GEN_FWD,339,339,339,339
tyler-welsh,Tyler Welsh,KEY_FWD,248,248,248,248
patrick-said,Patrick Said,GEN_FWD,201,201,201,201
rhys-unwin,Rhys Unwin,GEN_FWD,200,200,200,200
luke-kennedy,Luke Kennedy,MID,417,417,417,417
jaren-carr,Jaren Carr,GEN_FWD,250,250,250,250
cody-anderson,Cody Anderson,GEN_FWD,197,197,197,197
lennox-hoffman,Lennox Hoffman,GEN_DEF,279,279,279,279
river-stevens,River Stevens,GEN_FWD,194,194,194,194
aidan-johnson,Aidan Johnson,KEY_FWD,86,86,86,86
keighton-matofai-forbes,Keighton Matofai-Forbes,GEN_DEF,278,278,278,278
zak-johnson,Zak Johnson,GEN_DEF,582,582,582,582
