cell,position,draft_age,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14,pick_15,pick_16,pick_17,pick_18,pick_19,pick_20,pick_21,pick_22,pick_23,pick_24,pick_25,pick_26,pick_27,pick_28,pick_29,pick_30,pick_31,pick_32,pick_33,pick_34,pick_35,pick_36,pick_37,pick_38,pick_39,pick_40,pick_41,pick_42,pick_43,pick_44,pick_45,pick_46,pick_47,pick_48,pick_49,pick_50,pick_51,pick_52,pick_53,pick_54,pick_55,pick_56,pick_57,pick_58,pick_59,pick_60,pick_61,pick_62,pick_63,pick_64
SD|18,SD,18,2375.892,2375.892,2201.413,1662.371,1198.094,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,1060.063,994.183,892.834,875.622,874.216,869.58,863.919,850.104,805.847,757.066,712.779,677.609,650.284,629.658,612.148,596.834,580.336,561.055,540.82,519.771,499.709,482.392,467.867,456.989,448.098,441.191,434.593,427.448,418.051,406.342,393.09,377.387,360.839,345.077,330.067,316.632,304.761,295.302,289.114,280.208,271.997,264.482,255.948,247.259,237.567,226.889,215.246,202.668,190.034,177.371,165.545,154.567
SF|16,SF,16,2401.853,2401.853,2253.988,1873.566,1527.338,1367.602,1367.602,1367.602,1341.279,1334.151,1334.151,1334.151,1232.29,1056.096,918.85,877.068,856.292,836.703,819.976,798.821,751.986,703.315,660.51,627.279,602.042,583.481,568.112,554.975,540.851,524.184,506.631,488.291,470.839,455.931,443.628,434.762,427.779,422.691,417.904,412.589,405.084,395.301,383.954,370.129,355.372,341.278,327.816,315.811,305.268,297.056,292.071,284.276,277.11,270.582,262.939,255.056,246.053,235.934,224.711,212.402,199.922,187.301,175.457,164.415
SF|17,SF,17,2400.852,2400.852,2256.2,1866.081,1514.956,1354.537,1354.537,1354.537,1329.972,1324.575,1324.575,1324.575,1224.517,1049.926,913.916,872.731,852.342,833.024,816.446,795.358,748.618,699.99,657.163,623.838,598.446,579.679,564.076,550.686,536.321,519.447,501.714,483.227,465.647,450.613,438.179,429.165,422.031,416.788,411.861,406.434,398.87,389.083,377.78,364.061,349.445,335.5,322.194,310.335,299.926,291.817,286.888,279.206,272.15,265.728,258.214,250.471,241.631,231.7,220.686,208.607,196.363,183.979,172.359,161.526
SF|18,SF,18,2400.887,2400.887,2259.594,1860.469,1505.018,1343.761,1343.761,1343.761,1320.066,1315.409,1315.409,1315.409,1216.418,1043.154,908.172,867.363,847.168,827.979,811.453,790.392,743.8,695.312,652.576,619.275,593.85,575.001,559.295,545.79,531.328,514.393,496.627,478.135,460.561,445.525,433.08,424.032,416.857,411.563,406.595,401.145,393.599,383.874,372.665,359.085,344.633,330.853,317.712,306.005,295.735,287.739,282.883,275.317,268.372,262.054,254.663,247.047,238.352,228.58,217.739,205.847,193.79,181.594,170.149,159.479
KPD|19,KPD,19,2494.929,2478.258,2333.425,1962.848,1521.906,1241.942,1215.237,1183.118,1103.868,1093.722,1093.722,1093.722,1042.81,916.817,819.265,802.423,802.034,799.971,797.841,788.794,751.81,710.651,673.687,645.345,624.552,610.336,599.318,590.619,580.858,568.294,554.618,539.847,525.763,514.204,505.269,499.958,496.541,495.061,493.667,491.36,486.115,477.761,467.113,453.028,437.372,422.125,407.29,393.933,382.107,372.945,367.623,358.571,350.132,342.339,332.989,323.208,311.895,299.072,284.769,269.028,253.029,236.823,221.586,207.357
KPD|20,KPD,20,2494.929,2478.672,2335.075,1965.845,1525.179,1244.494,1217.051,1184.892,1107.301,1105.361,1105.361,1105.361,1061.798,936.18,838.732,825.576,825.576,825.576,825.576,820.736,785.498,745.669,709.922,682.936,663.631,651.033,641.573,634.322,625.646,613.654,600.157,585.187,570.693,558.705,549.364,543.788,540.122,538.433,536.726,533.932,527.872,518.382,506.371,490.62,473.174,456.187,439.668,424.774,411.561,401.247,395.086,384.943,375.487,366.754,356.384,345.585,333.181,319.199,303.676,286.658,269.401,251.959,235.582,220.306
KPD|21,KPD,21,2494.929,2478.938,2336.121,1967.724,1527.261,1246.389,1220.542,1195.412,1144.505,1144.505,1144.505,1144.505,1112.756,982.38,881.468,878.3,878.3,878.3,878.3,878.3,856.043,820.099,787.564,763.522,746.902,736.792,729.339,723.624,715.608,703.198,688.537,671.729,655.081,640.982,629.64,622.372,617.076,613.85,610.439,605.661,597.087,584.594,569.265,549.786,528.502,507.849,487.847,469.778,453.695,440.923,432.81,420.43,408.909,398.277,385.971,373.307,359.018,343.141,325.722,306.814,287.763,268.621,250.71,234.057
KPD|22,KPD,22,2494.929,2479.109,2336.785,1968.948,1529.095,1250.972,1238.776,1237.48,1192.644,1192.644,1192.644,1192.644,1146.073,1008.292,902.867,902.867,902.867,902.867,902.867,902.867,892.462,859.405,827.862,802.998,784.059,770.684,759.416,749.761,737.859,721.782,703.861,684.239,665.246,649.245,636.369,627.867,621.548,617.453,613.267,607.769,598.5,585.324,569.322,549.181,527.253,505.974,485.365,466.705,450.042,436.69,427.97,415.056,403.026,391.908,379.185,366.158,351.591,335.527,318.018,299.122,280.154,261.163,243.43,226.976
KPD|23,KPD,23,2494.929,2479.219,2337.214,1970.102,1533.788,1280.289,1280.289,1280.289,1213.928,1212.018,1212.018,1212.018,1154.303,1013.967,906.909,906.117,906.117,906.117,906.117,906.117,889.774,850.562,811.905,780.088,755.119,736.87,721.931,709.613,696.041,679.227,661.231,642.077,623.868,608.751,596.801,589.157,583.736,580.557,577.422,573.152,565.393,553.969,539.858,521.772,501.906,482.558,463.739,446.67,431.405,419.213,411.38,399.432,388.25,377.873,365.879,353.53,339.637,324.249,307.422,289.219,270.918,252.571,235.426,219.505
KPD|24,KPD,24,2494.929,2479.288,2337.551,1972.873,1553.157,1312.607,1312.607,1298.163,1222.69,1217.113,1217.113,1217.113,1158.331,1018.023,911.441,910.14,910.14,910.14,910.14,910.14,878.867,831.443,786.522,750.652,723.39,703.954,688.54,676.13,662.813,646.576,629.318,611.033,593.709,579.389,568.147,561.073,556.194,553.535,551.008,547.489,540.719,530.515,517.789,501.277,483.058,465.318,448.056,432.438,418.516,407.518,400.707,389.828,379.625,370.136,358.986,347.407,334.23,319.501,303.274,285.614,267.786,249.852,233.053,217.42
