cell,position,draft_age,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14,pick_15,pick_16,pick_17,pick_18,pick_19,pick_20,pick_21,pick_22,pick_23,pick_24,pick_25,pick_26,pick_27,pick_28,pick_29,pick_30,pick_31,pick_32,pick_33,pick_34,pick_35,pick_36,pick_37,pick_38,pick_39,pick_40,pick_41,pick_42,pick_43,pick_44,pick_45,pick_46,pick_47,pick_48,pick_49,pick_50,pick_51,pick_52,pick_53,pick_54,pick_55,pick_56,pick_57,pick_58,pick_59,pick_60,pick_61,pick_62,pick_63,pick_64
MID|21,MID,21,3507.255,3451.115,3323.117,2859.092,2323.229,2117.377,2117.377,2117.377,2066.612,2013.894,1978.339,1947.621,1776.071,1517.296,1325.257,1277.038,1263.472,1253.775,1248.761,1236.019,1180.958,1119.382,1063.561,1020.036,986.921,962.616,941.807,923.211,901.722,874.946,845.847,814.777,784.697,758.498,736.368,719.743,706.08,695.424,685.169,673.99,659.217,640.771,619.87,595.088,568.964,544.069,520.352,499.108,480.32,465.323,455.468,441.318,428.25,416.266,402.667,388.815,373.38,356.392,337.891,317.927,297.888,277.818,259.076,241.68
MID|22,MID,22,3510.625,3451.403,3322.601,2858.059,2321.817,2103.039,2103.039,2103.039,2012.566,1935.848,1887.347,1855.407,1695.978,1454.455,1275.511,1233.674,1224.552,1218.602,1216.752,1207.012,1155.575,1097.38,1044.521,1003.52,972.624,950.333,931.439,914.672,894.939,869.792,842.104,812.171,782.914,757.218,735.283,718.568,704.556,693.318,682.282,670.163,654.347,634.809,612.806,586.98,559.881,534.068,509.498,487.447,467.888,452.11,441.401,426.604,412.939,400.403,386.4,372.244,356.665,339.7,321.394,301.799,282.233,262.734,244.58,227.777
MID|23,MID,23,3512.812,3451.588,3322.266,2857.27,2319.479,2057.282,2057.282,2057.282,1919.97,1866.777,1846.647,1837.007,1693.621,1461.554,1287.854,1250.3,1244.827,1242.161,1242.161,1234.52,1183.377,1124.754,1071.081,1029.094,997.026,973.359,952.784,934.039,911.988,884.231,853.783,821.015,788.927,760.437,735.737,716.276,699.54,685.615,671.986,657.434,639.453,618.082,594.591,567.691,539.863,513.563,488.718,466.518,446.902,431.064,420.195,405.556,392.103,379.818,366.223,352.558,337.608,321.402,303.975,285.368,266.821,248.363,231.195,215.317
MID|24,MID,24,3514.222,3451.706,3322.041,2856.313,2312.641,2000.855,2000.855,2000.855,1912.988,1882.793,1874.588,1871.683,1728.931,1493.038,1315.334,1276.018,1269.097,1264.581,1263.723,1254.227,1201.019,1140.44,1085.081,1041.718,1008.504,983.852,962.346,942.669,919.585,890.629,858.786,824.379,790.393,759.758,732.732,710.877,691.84,675.85,660.519,644.694,625.917,604.195,580.716,554.155,526.877,501.223,477.08,455.576,436.631,421.397,411.031,396.978,384.079,372.312,359.246,346.09,331.652,315.953,299.027,280.911,262.825,244.796,228.013,212.478
MID|25,MID,25,3515.127,3451.782,3321.858,2854.114,2289.454,1991.126,1991.126,1991.126,1950.57,1921.66,1911.365,1904.641,1755.373,1512.543,1329.929,1288.064,1279.354,1273.406,1271.411,1260.941,1206.725,1145.286,1089.226,1045.305,1011.627,986.559,964.625,944.453,920.734,890.937,858.017,822.321,786.951,755.022,726.995,704.542,685.339,669.525,654.613,639.346,621.199,600.121,577.257,551.276,524.522,499.327,475.585,454.428,435.781,420.805,410.661,396.809,384.087,372.473,359.54,346.498,332.153,316.529,299.658,281.579,263.514,245.495,228.712,213.171
MID|26,MID,26,3515.709,3451.831,3321.616,2847.677,2248.994,2021.159,2021.159,2021.159,1979.227,1944.42,1929.311,1918.791,1765.761,1519.756,1335.118,1292.247,1282.873,1276.426,1274.052,1263.271,1208.735,1147.019,1090.728,1046.599,1012.7,987.343,964.977,944.139,919.438,888.339,853.919,816.803,780.4,748.005,720.069,698.095,679.588,664.532,650.365,635.792,618.282,597.775,575.415,549.875,523.498,498.618,475.139,454.199,435.733,420.906,410.89,397.142,384.506,372.964,360.086,347.087,332.77,317.163,300.296,282.21,264.132,246.092,229.287,213.723
MID|27,MID,27,3516.084,3451.86,3321.154,2830.005,2264.215,2042.025,2042.025,2042.025,1990.746,1952.965,1935.806,1923.821,1769.428,1522.307,1336.97,1293.764,1284.181,1277.587,1275.114,1264.258,1209.632,1147.826,1091.424,1047.13,1012.939,987.065,963.835,941.698,915.323,882.468,846.631,808.785,772.384,740.514,713.368,692.239,674.543,660.217,646.705,632.716,615.733,595.698,573.749,548.569,522.497,497.869,474.597,453.825,435.496,420.779,410.854,397.181,384.606,373.113,360.274,347.305,333.011,317.417,300.558,282.474,264.394,246.348,229.535,213.961
MID|28,MID,28,3516.284,3451.707,3320.737,2816.293,2280.755,2050.341,2050.341,2050.341,1994.945,1956.088,1938.195,1925.687,1770.806,1523.283,1337.698,1294.387,1284.753,1278.137,1275.665,1264.816,1210.166,1148.287,1091.713,1047.054,1012.177,985.144,960.232,936.068,907.81,873.764,837.644,800.277,764.765,733.889,707.688,687.388,670.414,656.709,643.74,630.228,613.672,594.011,572.385,547.482,521.643,497.204,474.087,453.439,435.209,420.572,410.71,397.09,384.558,373.101,360.291,347.344,333.068,317.488,300.638,282.56,264.482,246.437,229.624,214.049
MID|29,MID,29,3532.718,3431.876,3331.084,2823.658,2287.759,2053.433,2053.433,2053.433,1996.545,1957.29,1939.124,1926.422,1771.361,1523.693,1338.027,1294.7,1285.081,1278.499,1276.069,1265.243,1210.537,1148.451,1091.398,1045.821,1009.431,980.317,953.15,927.2,898.144,864.323,829.069,792.827,758.434,728.55,703.198,683.606,667.231,654.032,641.498,628.362,612.132,592.754,571.367,546.667,520.995,496.692,473.684,453.123,434.962,420.38,410.561,396.979,384.477,373.044,360.254,347.324,333.06,317.491,300.649,282.577,264.504,246.462,229.65,214.076
MID|30,MID,30,3538.331,3475.306,3272.538,2829.989,2290.432,2054.628,2054.628,2054.628,1997.18,1957.771,1939.501,1926.73,1771.608,1523.897,1338.221,1294.922,1285.357,1278.838,1276.454,1265.589,1210.632,1147.922,1089.665,1042.173,1003.345,971.903,943.284,917.048,888.647,855.967,821.954,786.875,753.494,724.457,699.808,680.79,664.893,652.09,639.888,627.033,611.043,591.868,570.65,546.092,520.536,496.327,473.392,452.891,434.777,420.232,410.442,396.885,384.403,372.986,360.21,347.291,333.037,317.475,300.64,282.572,264.503,246.464,229.654,214.082
SD|19,SD,19,2375.97,2375.97,2203.197,1666.393,1201.435,1059.371,1059.371,1059.371,1059.371,1059.371,1059.371,1059.371,1059.371,991.759,890.963,874.151,873.146,868.931,863.698,850.306,806.437,757.989,713.988,679.07,651.97,631.545,614.209,599.04,582.647,563.424,543.211,522.149,502.052,484.693,470.122,459.201,450.267,443.319,436.676,429.479,420.018,408.234,394.9,379.106,362.465,346.617,331.526,318.02,306.088,296.58,290.359,281.411,273.161,265.613,257.042,248.317,238.585,227.864,216.175,203.545,190.861,178.146,166.272,155.251
SD|20,SD,20,2376.019,2376.019,2204.298,1668.845,1203.324,1056.991,1056.991,1056.991,1056.991,1056.991,1056.991,1056.991,1056.991,986.902,886.663,869.997,869.044,864.876,859.683,846.371,802.731,754.544,710.788,676.075,649.136,628.827,611.57,596.443,580.066,560.84,540.599,519.49,499.325,481.869,467.174,456.102,446.999,439.866,433.036,425.661,416.049,404.15,390.733,374.901,358.255,342.415,327.345,313.859,301.945,292.438,286.186,277.256,269.028,261.501,252.978,244.314,234.669,224.061,212.51,200.045,187.535,175.004,163.305,152.451
SD|21,SD,21,2376.049,2376.049,2204.951,1670.04,1203.838,1053.594,1053.594,1053.594,1053.594,1053.594,1053.594,1053.594,1053.594,979.665,880.061,863.446,862.435,858.257,853.11,839.972,796.797,749.144,705.893,671.589,644.948,624.814,607.613,592.42,575.876,556.402,535.836,514.343,493.738,475.78,460.527,448.829,439.057,431.213,423.666,415.594,405.36,392.937,379.09,362.965,346.125,330.139,314.97,301.395,289.392,279.75,273.266,264.268,255.983,248.406,239.924,231.347,221.883,211.549,200.368,188.366,176.363,164.378,153.213,142.87
SD|22,SD,22,2376.069,2376.069,2205.293,1670.173,1203.263,1051.026,1051.026,1051.026,1051.026,1051.026,1051.026,1051.026,1051.026,972.837,874.973,860.919,860.919,860.529,858.817,849.113,808.675,763.021,721.132,687.735,661.641,641.777,624.564,609.121,592.05,571.781,550.25,527.67,505.933,486.865,470.536,457.817,447.043,438.219,429.688,420.624,409.388,395.971,381.165,364.13,346.452,329.705,313.85,299.657,287.094,276.934,269.949,260.528,251.861,243.939,235.174,226.366,216.736,206.306,195.098,183.14,171.229,159.38,148.366,138.186
SD|23,SD,23,2376.08,2376.08,2205.396,1669.299,1202.234,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,986.301,900.697,900.697,900.697,900.697,900.697,893.742,850.133,800.898,755.741,719.704,691.543,670.108,651.634,635.172,617.158,595.929,573.483,550.013,527.475,507.753,490.908,477.839,466.806,457.806,449.106,439.838,428.281,414.421,399.085,381.388,362.991,345.545,329.011,314.198,301.076,290.458,283.157,273.289,264.202,255.887,246.681,237.422,227.298,216.33,204.545,191.974,179.452,166.998,155.421,144.721
SD|24,SD,24,2376.087,2376.087,2205.281,1667.375,1202.184,1074.946,1074.946,1074.946,1074.946,1074.946,1074.946,1074.946,1074.946,1055.373,955.156,940.126,940.126,936.607,931.723,918.012,871.331,819.561,772.409,734.867,705.557,683.237,664.026,646.935,628.319,606.483,583.455,559.433,536.402,516.276,499.114,485.828,474.646,465.567,456.825,447.537,435.946,422.033,406.63,388.83,370.315,352.766,336.138,321.257,308.092,297.478,290.251,280.38,271.295,262.987,253.747,244.434,234.209,223.093,211.112,198.294,185.502,172.756,160.895,149.92
SD|25,SD,25,2376.089,2376.089,2204.923,1664.377,1205.525,1117.578,1117.578,1117.578,1117.578,1117.578,1117.578,1117.578,1117.578,1092.768,978.457,956.838,953.046,946.264,938.778,922.686,873.694,819.849,770.841,731.608,700.723,676.915,656.32,637.961,618.254,595.559,571.888,547.441,524.156,503.887,486.669,473.371,462.247,453.278,444.734,435.743,424.581,411.215,396.44,379.355,361.586,344.761,328.833,314.602,302.038,291.961,285.196,275.82,267.198,259.323,250.507,241.597,231.76,221.015,209.382,196.888,184.387,171.902,160.267,149.487
SD|26,SD,26,2376.088,2376.088,2204.245,1660.618,1214.137,1158.271,1158.271,1158.271,1158.271,1158.271,1158.271,1158.271,1158.271,1091.765,970.617,943.625,934.989,923.836,912.334,892.833,842.039,787.256,737.787,698.262,667.211,643.33,622.875,604.866,585.862,564.261,541.927,519.002,497.28,478.49,462.64,450.544,440.532,432.58,425.029,417.037,406.945,394.704,381.066,365.155,348.528,332.755,317.792,304.419,292.615,283.182,276.929,268.112,259.999,252.586,244.23,235.757,226.355,216.04,204.832,192.757,180.651,168.537,157.235,146.754
SD|27,SD,27,2376.083,2376.083,2203.089,1657.355,1226.668,1171.03,1171.03,1171.03,1171.03,1171.03,1171.03,1171.03,1171.03,1041.299,922.088,894.153,884.633,873.469,862.536,844.466,797.088,746.087,700.183,663.725,635.302,613.675,595.27,579.148,562.0,542.274,521.74,500.529,480.371,462.944,448.274,437.165,428.014,420.807,413.94,406.597,397.158,385.574,372.578,357.314,341.304,326.09,311.632,298.703,287.285,278.173,272.167,263.625,255.759,248.567,240.436,232.177,222.992,212.896,201.91,190.058,178.168,166.26,155.145,144.834
SD|28,SD,28,2376.17,2376.17,2201.198,1657.346,1239.48,1144.73,1144.73,1144.73,1144.73,1144.73,1144.73,1144.73,1125.881,987.715,878.779,855.882,850.069,842.203,834.129,818.763,774.576,726.463,682.98,648.452,621.581,601.21,583.879,568.69,552.41,533.514,513.75,493.249,473.725,456.842,442.634,431.906,423.081,416.153,409.538,402.432,393.232,381.889,369.13,354.105,338.326,323.319,309.051,296.287,285.013,276.017,270.098,261.656,253.881,246.77,238.722,230.543,221.441,211.432,200.535,188.776,176.975,165.155,154.121,143.884
SD|29,SD,29,2379.317,2379.317,2242.198,1681.306,1254.62,1105.326,1105.326,1105.326,1105.326,1105.326,1105.326,1105.326,1094.124,964.275,860.98,840.862,836.952,830.621,823.78,809.504,766.521,719.469,676.856,643.014,616.685,596.75,579.79,564.92,548.936,530.326,510.826,490.571,471.267,454.571,440.523,429.925,421.212,414.378,407.85,400.824,391.706,380.448,367.773,352.834,337.138,322.207,308.007,295.303,284.082,275.128,269.239,260.834,253.091,246.009,237.992,229.843,220.772,210.796,199.934,188.212,176.448,164.664,153.663,143.456
SD|30,SD,30,2374.571,2374.571,2199.751,1727.269,1232.726,1076.7,1076.7,1076.7,1076.7,1076.7,1076.7,1076.7,1076.7,955.933,854.676,835.55,832.307,826.507,820.088,806.183,763.616,716.93,674.618,641.013,614.872,595.087,578.255,563.496,547.615,529.106,509.701,489.535,470.31,453.682,439.693,429.142,420.469,413.669,407.171,400.175,391.088,379.861,367.217,352.311,336.647,321.745,307.572,294.892,283.69,274.753,268.875,260.484,252.753,245.682,237.677,229.539,220.482,210.519,199.672,187.965,176.215,164.446,153.46,143.265
SF|19,SF,19,2403.068,2403.068,2262.871,1856.857,1497.992,1335.274,1335.274,1335.274,1310.47,1303.889,1303.889,1303.889,1204.04,1032.0,898.081,857.414,837.172,817.943,801.356,780.298,734.056,685.975,643.605,610.571,585.333,566.603,550.996,537.581,523.248,506.503,488.963,470.728,453.415,438.618,426.383,417.505,410.481,405.319,400.485,395.185,387.825,378.322,367.358,354.057,339.895,326.392,313.516,302.053,292.003,284.197,279.489,272.103,265.326,259.167,251.943,244.493,235.969,226.373,215.712,204.002,192.12,180.091,168.799,158.268
SF|20,SF,20,2406.389,2406.389,2265.393,1854.657,1493.165,1327.403,1327.403,1327.403,1297.311,1284.125,1283.516,1281.756,1178.463,1007.769,875.185,834.005,812.968,793.134,776.055,754.818,709.403,662.399,621.069,588.884,564.328,546.141,531.046,518.139,504.41,488.411,471.688,454.328,437.879,423.875,412.359,404.097,397.638,392.989,388.664,383.887,377.107,368.233,357.922,345.314,331.84,318.984,306.715,295.802,286.251,278.879,274.533,267.542,261.133,255.317,248.435,241.312,233.111,223.831,213.477,202.061,190.451,178.673,167.603,157.269
SF|21,SF,21,2409.547,2409.547,2267.135,1853.261,1489.533,1316.886,1316.886,1316.886,1273.959,1253.79,1246.751,1238.936,1133.405,964.298,833.268,790.403,767.304,745.887,727.51,705.607,661.483,616.271,576.692,545.909,522.46,505.139,490.886,478.842,466.206,451.614,436.464,420.807,406.052,393.601,383.483,376.406,371.019,367.325,363.936,360.117,354.404,346.696,337.6,326.292,314.114,302.468,291.327,281.426,272.778,266.169,262.42,256.112,250.333,245.093,238.802,232.251,224.633,215.944,206.188,195.373,184.339,173.111,162.541,152.658
SF|22,SF,22,2412.0,2412.0,2268.276,1852.182,1485.898,1300.415,1300.415,1300.415,1244.888,1222.943,1214.124,1204.292,1100.005,935.271,808.444,767.497,745.606,724.898,706.57,684.28,640.073,594.678,554.751,523.423,499.327,481.325,466.503,454.047,441.289,426.921,412.237,397.243,383.228,371.474,361.981,355.393,350.417,347.046,343.958,340.455,335.145,327.931,319.383,308.724,297.224,286.211,275.662,266.277,258.068,251.78,248.19,242.177,236.659,231.648,225.642,219.391,212.133,203.866,194.595,184.33,173.863,163.22,153.204,143.842
SF|23,SF,23,2413.735,2413.735,2268.994,1850.919,1480.438,1283.222,1283.222,1283.222,1229.03,1207.276,1198.303,1190.375,1091.35,932.513,809.888,771.664,751.365,731.262,712.802,689.792,644.339,597.532,556.2,523.555,498.263,479.204,463.486,450.299,436.987,422.239,407.311,392.178,378.084,366.267,356.705,350.016,344.916,341.388,338.129,334.449,328.986,321.647,313.001,302.288,290.762,279.725,269.156,259.737,251.477,245.103,241.363,235.275,229.68,224.589,218.546,212.278,205.052,196.868,187.733,177.661,167.415,157.022,147.253,138.131
SF|24,SF,24,2414.906,2414.906,2269.406,1848.662,1470.627,1272.187,1272.187,1272.187,1216.529,1193.37,1187.212,1185.303,1092.52,937.33,816.124,778.569,758.322,737.759,718.488,694.372,647.538,599.369,556.822,523.177,497.134,477.585,461.642,448.468,435.371,420.984,406.493,391.822,378.173,366.765,357.565,351.195,346.366,343.068,339.992,336.449,331.068,323.76,315.098,304.324,292.704,281.554,270.857,261.303,252.905,246.393,242.522,236.285,230.54,225.298,219.101,212.681,205.304,196.975,187.704,177.507,167.15,156.659,146.805,137.61
SF|25,SF,25,2415.678,2415.678,2269.549,1843.793,1458.665,1262.766,1262.766,1262.766,1201.951,1187.553,1187.553,1187.553,1100.743,945.342,822.987,784.374,762.754,740.448,719.173,692.963,644.346,595.051,552.25,519.301,494.879,477.719,464.677,454.617,444.539,432.817,420.534,407.567,395.188,384.733,376.249,370.461,366.076,363.127,360.264,356.783,351.249,343.583,334.413,322.946,310.541,298.605,287.13,276.853,267.794,260.726,256.448,249.667,243.407,237.682,230.956,224.002,216.051,207.112,197.197,186.326,175.307,164.167,153.713,143.968
SF|26,SF,26,2416.182,2416.182,2269.334,1833.947,1454.314,1250.629,1250.629,1250.629,1198.912,1195.751,1195.751,1195.751,1108.757,950.144,824.545,782.642,757.478,732.046,709.209,684.416,640.986,599.491,565.43,540.741,523.204,511.23,501.602,493.433,483.88,471.564,458.002,443.324,429.098,416.892,406.817,399.686,394.111,390.132,386.299,381.858,375.281,366.493,356.165,343.459,329.822,316.746,304.214,293.001,283.118,275.376,270.607,263.222,256.411,250.186,242.926,235.448,226.941,217.414,206.882,195.366,183.713,171.95,160.922,150.648
SF|27,SF,27,2416.509,2416.509,2268.402,1821.811,1448.614,1242.943,1242.943,1242.943,1207.649,1201.548,1201.548,1201.548,1104.186,939.857,810.703,768.461,749.282,736.048,728.081,716.489,680.607,641.319,605.891,578.167,557.082,541.688,528.934,518.028,506.027,491.493,475.986,459.604,443.926,430.529,419.48,411.582,405.376,400.884,396.598,391.738,384.729,375.492,364.713,351.533,337.428,323.922,310.994,299.433,289.246,281.258,276.317,268.712,261.702,255.296,247.841,240.168,231.452,221.7,210.929,199.16,187.255,175.243,163.983,153.496
SF|28,SF,28,2416.718,2416.718,2265.677,1815.259,1432.911,1245.024,1245.024,1245.024,1212.563,1196.999,1189.904,1179.902,1081.922,932.008,821.182,794.616,784.667,773.295,762.518,746.111,704.58,660.507,621.422,591.039,568.021,551.218,537.392,525.659,512.974,497.848,481.833,465.009,448.957,435.254,423.96,415.876,409.521,404.91,400.52,395.559,388.436,379.071,368.155,354.821,340.558,326.904,313.837,302.152,291.856,283.781,278.782,271.096,264.012,257.537,250.006,242.256,233.454,223.609,212.737,200.859,188.846,176.725,165.363,154.782
SF|29,SF,29,2425.904,2425.904,2270.567,1800.02,1422.531,1247.635,1247.635,1247.635,1195.103,1180.564,1180.564,1180.564,1117.205,969.157,851.159,818.252,803.101,787.752,774.122,755.611,712.292,666.879,626.822,595.753,572.244,555.087,540.991,529.048,516.179,500.878,484.704,467.731,451.545,437.732,426.347,418.194,411.784,407.13,402.7,397.698,390.523,381.095,370.11,356.694,342.346,328.611,315.467,303.712,293.355,285.231,280.199,272.466,265.339,258.825,251.25,243.454,234.603,224.703,213.772,201.831,189.755,177.571,166.151,155.515
SF|30,SF,30,2434.706,2434.706,2272.865,1882.272,1435.017,1234.41,1234.41,1234.41,1210.628,1210.628,1210.628,1210.628,1141.792,984.826,861.648,826.3,809.685,793.333,779.005,759.952,716.086,670.219,629.805,598.471,574.764,557.459,543.245,531.204,518.243,502.849,486.584,469.521,453.253,439.37,427.926,419.729,413.282,408.599,404.141,399.109,391.898,382.427,371.393,357.921,343.515,329.725,316.528,304.727,294.328,286.17,281.114,273.35,266.193,259.653,252.047,244.222,235.336,225.401,214.431,202.449,190.332,178.107,166.649,155.978
RUCK|19,RUCK,19,3636.388,3636.388,3557.263,2909.915,2197.175,1788.915,1769.31,1738.517,1617.581,1562.306,1530.707,1510.238,1386.217,1196.159,1057.835,1056.956,1056.956,1056.956,1056.956,1056.956,1056.956,1036.199,1012.124,997.026,989.147,987.101,985.659,983.592,975.561,958.982,937.188,910.803,883.426,858.662,837.061,820.546,806.451,795.003,783.366,770.142,752.393,730.143,704.888,675.113,643.79,613.896,585.406,559.802,537.067,518.684,506.132,488.915,473.023,458.453,442.234,425.872,407.914,388.402,367.388,344.929,322.529,300.227,279.479,260.29
RUCK|20,RUCK,20,3636.388,3636.388,3557.263,2909.916,2197.172,1788.847,1768.981,1737.685,1616.123,1560.287,1528.779,1509.626,1387.944,1199.976,1063.368,1063.368,1063.368,1063.368,1063.368,1063.368,1063.368,1042.721,1018.764,1003.811,996.04,994.04,992.55,990.359,982.12,965.26,943.16,916.467,888.813,863.828,842.067,825.463,811.331,799.897,788.304,775.144,757.452,735.244,710.021,680.245,648.907,618.998,590.495,564.888,542.163,523.819,511.353,494.162,478.297,463.755,447.53,431.145,413.127,393.517,372.367,349.731,327.136,304.62,283.664,264.272
RUCK|21,RUCK,21,3636.388,3636.388,3557.263,2909.917,2197.167,1788.74,1768.472,1736.438,1614.109,1558.04,1527.939,1512.263,1394.559,1208.918,1073.332,1073.332,1073.332,1073.332,1073.332,1073.332,1073.332,1052.11,1028.036,1012.842,1004.619,1001.951,999.597,996.418,987.123,969.21,946.137,918.59,890.225,864.676,842.484,825.566,811.22,799.657,788.011,774.859,757.228,735.121,710.024,680.391,649.199,619.435,591.068,565.59,542.983,524.748,512.389,495.28,479.484,464.998,448.809,432.442,414.423,394.792,373.601,350.909,328.245,305.653,284.618,265.148
RUCK|22,RUCK,22,3636.388,3636.388,3557.264,2909.92,2197.159,1788.573,1767.69,1734.627,1611.626,1556.555,1530.397,1520.47,1406.829,1222.041,1086.116,1086.116,1086.116,1086.116,1086.116,1086.116,1086.116,1065.849,1040.801,1023.844,1013.276,1007.989,1002.996,997.365,985.926,966.257,941.827,913.295,884.251,858.247,835.765,818.658,804.209,792.6,780.963,767.875,750.374,728.454,703.579,674.209,643.293,613.787,585.661,560.392,537.962,519.86,507.574,490.581,474.886,460.487,444.402,428.144,410.251,390.767,369.744,347.24,324.771,302.379,281.535,262.245
RUCK|23,RUCK,23,3636.388,3636.388,3557.264,2909.924,2197.147,1788.311,1766.501,1732.16,1609.314,1557.837,1538.055,1533.566,1421.5,1235.403,1101.632,1101.632,1101.632,1101.632,1101.632,1101.632,1101.632,1083.167,1053.691,1031.996,1017.21,1008.552,1001.037,993.615,980.983,960.598,935.797,907.138,878.118,852.214,829.866,812.892,798.578,787.094,775.587,762.638,745.304,723.574,698.904,669.764,639.08,609.794,581.873,556.787,534.52,516.551,504.36,487.49,471.91,457.617,441.648,425.506,407.739,388.39,367.51,345.157,322.837,300.592,279.884,260.719
RUCK|24,RUCK,24,3636.388,3636.388,3557.264,2909.929,2197.128,1787.901,1764.738,1729.233,1608.776,1563.691,1549.583,1547.289,1434.265,1246.289,1120.9,1120.9,1120.9,1120.9,1120.9,1120.9,1120.9,1095.963,1060.932,1035.362,1018.026,1007.703,999.085,990.92,977.797,957.11,932.141,903.415,874.393,848.517,826.216,809.289,795.026,783.594,772.148,759.273,742.037,720.426,695.89,666.902,636.377,607.242,579.465,554.509,532.359,514.488,502.371,485.592,470.097,455.883,439.997,423.938,406.257,386.999,366.213,343.957,321.731,299.579,278.955,259.867
RUCK|25,RUCK,25,3636.388,3636.388,3557.264,2909.938,2197.097,1787.256,1762.249,1726.777,1611.952,1573.039,1560.954,1558.202,1444.139,1256.651,1142.812,1142.812,1142.812,1142.812,1142.812,1142.812,1142.812,1102.266,1063.923,1036.125,1017.241,1005.815,996.412,987.7,974.23,953.365,928.342,899.656,870.729,844.971,822.797,805.987,791.841,780.518,769.183,756.423,739.316,717.847,693.458,664.626,634.256,605.265,577.622,552.786,530.742,512.96,500.912,484.213,468.791,454.644,438.827,422.834,405.223,386.034,365.319,343.135,320.979,298.892,278.329,259.296
RUCK|26,RUCK,26,3636.388,3636.388,3557.265,2909.953,2197.047,1786.243,1759.094,1726.614,1618.721,1582.356,1569.602,1566.908,1456.665,1278.236,1165.535,1165.535,1165.535,1165.535,1165.535,1165.535,1147.326,1102.203,1061.874,1032.816,1013.164,1001.3,991.699,982.954,969.581,948.917,924.147,895.742,867.097,841.6,819.658,803.048,789.079,777.912,766.722,754.101,737.135,715.81,691.562,662.873,632.641,603.774,576.245,551.51,529.554,511.846,499.855,483.221,467.857,453.762,437.999,422.057,404.497,385.361,364.698,342.566,320.46,298.42,277.9,258.906
RUCK|27,RUCK,27,3636.388,3636.388,3557.259,2909.974,2196.964,1784.667,1755.96,1729.992,1626.248,1589.336,1580.48,1580.48,1491.326,1320.316,1186.9,1176.462,1176.462,1176.462,1176.462,1176.462,1142.906,1096.701,1055.961,1026.867,1007.384,995.792,986.524,978.136,965.143,944.87,920.478,892.43,864.105,838.884,817.179,800.765,786.965,775.942,764.882,752.382,735.535,714.327,690.192,661.615,631.488,602.717,575.273,550.613,528.723,511.07,499.122,482.534,467.213,453.157,437.432,421.526,404.003,384.903,364.276,342.181,320.109,298.103,277.612,258.644
RUCK|28,RUCK,28,3636.383,3636.383,3557.148,2909.895,2196.803,1782.312,1754.477,1735.462,1631.982,1609.003,1609.003,1609.003,1539.472,1349.901,1201.197,1173.858,1173.858,1173.858,1173.858,1173.858,1135.442,1089.628,1049.473,1020.988,1002.083,991.013,982.222,974.264,961.67,941.773,917.72,889.976,861.916,836.918,815.4,799.14,785.471,774.558,763.596,751.187,734.427,713.305,689.25,660.753,630.701,601.997,574.613,550.006,528.161,510.546,498.629,482.073,466.781,452.751,437.052,421.172,403.674,384.598,363.996,341.925,319.876,297.892,277.421,258.471
RUCK|29,RUCK,29,3634.129,3634.129,3546.553,2897.243,2164.279,1798.333,1767.844,1748.707,1648.798,1648.798,1648.798,1648.798,1561.392,1356.441,1200.042,1167.791,1166.503,1166.503,1166.503,1166.503,1128.525,1083.558,1044.197,1016.394,998.065,987.473,979.093,971.488,959.21,939.598,915.799,888.278,860.41,835.572,814.187,798.036,784.458,773.623,762.73,750.383,733.684,712.62,688.621,660.179,630.177,601.518,574.175,549.603,527.789,510.2,498.303,481.769,466.496,452.484,436.803,420.939,403.457,384.399,363.813,341.758,319.724,297.754,277.296,258.358
RUCK|30,RUCK,30,3603.94,3603.94,3442.658,2844.364,2178.427,1794.039,1792.422,1775.044,1674.178,1674.178,1674.178,1674.178,1560.988,1350.766,1192.877,1160.139,1159.598,1159.598,1159.598,1159.598,1123.283,1079.095,1040.418,1013.157,995.268,985.034,976.954,969.602,957.547,938.136,914.511,887.144,859.406,834.677,813.382,797.305,783.789,773.006,762.159,749.854,733.195,712.17,688.208,659.801,629.834,601.204,573.889,549.339,527.546,509.974,498.09,481.571,466.311,452.31,436.64,420.788,403.317,384.268,363.693,341.649,319.625,297.665,277.215,258.285
