stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-5691b6e2d0faf55f8715,Ryley Sanders,MID,3953,2499,-1454,-36.78,28,73,45,7.1542,0.3959,0.4147
afl-player-v1-d4326256dc1cb8e54f15,Nick Watson,GEN_FWD,3537,2160,-1377,-38.93,40,91,51,6.8086,0.8942,0.4165
afl-player-v1-bc6b9ef5332c2f4e8715,Darcy Wilmot,GEN_DEF,4182,2908,-1274,-30.46,23,55,32,12.9111,1.0204,0.4375
afl-player-v1-12cdb476c70ab6740733,Will Ashcroft,MID,4957,3941,-1016,-20.5,15,26,11,16.3519,0.9049,0.4357
afl-player-v1-62d2d5acac0d15a15a79,Mac Andrew,KEY_DEF,3872,2869,-1003,-25.9,31,56,25,11.7383,1.6257,0.4365
afl-player-v1-a0647984be62bcc3cab3,Luke Jackson,RUC,8799,7872,-927,-10.54,1,1,0,37.8922,3.445,0.4478
afl-player-v1-678c7cda11ddaff2aa8a,Finn Callaghan,MID,5663,4815,-848,-14.97,11,16,5,21.6602,1.1986,0.4366
afl-player-v1-212726adeb014d2063cf,Sam Berry,MID,3610,2762,-848,-23.49,38,64,26,11.2654,0.6234,0.4445
afl-player-v1-ce22c3da857dc9f69e14,Lachlan Ash,GEN_DEF,5552,4725,-827,-14.9,12,17,5,26.1556,2.0672,0.4489
afl-player-v1-6b6ba869803850018d0a,Connor MacDonald,GEN_FWD,2462,1674,-788,-32.01,74,148,74,7.3333,0.9631,0.4446
afl-player-v1-53cf9ea07c8d23470b27,Bodhi Uwland,GEN_DEF,3375,2616,-759,-22.49,47,68,21,12.4161,0.9813,0.4166
afl-player-v1-e0445624468b8061dc74,Jake Bowey,GEN_DEF,3521,2763,-758,-21.53,42,63,21,14.4916,1.1453,0.4378
afl-player-v1-d12a2f85b92e8396e034,Harry Sheezel,MID,8006,7260,-746,-9.32,3,4,1,32.9067,1.821,0.4365
afl-player-v1-25c90ee89147d316c6b8,Nick Daicos,MID,8140,7442,-698,-8.57,2,3,1,33.5791,1.8582,0.4438
afl-player-v1-3a6df4b9ca059308ea0d,Nasiah Wanganeen-Milera,MID,6662,5964,-698,-10.48,7,9,2,27.9117,1.5446,0.4408
afl-player-v1-1c150e0d509e17a4deac,Jason Horne-Francis,MID,3929,3256,-673,-17.13,29,45,16,15.076,0.8343,0.4444
afl-player-v1-deef4fc4d61618986f7c,Kieren Briggs,RUC,2070,1429,-641,-30.97,102,175,73,5.322,0.4838,0.3791
afl-player-v1-d7dc302f0061f9c3a6a3,Josh Rachele,GEN_FWD,2123,1488,-635,-29.91,94,168,74,5.6782,0.7458,0.4197
afl-player-v1-c23c541c8c5162167ffa,Jordan Clark,GEN_DEF,3875,3257,-618,-15.95,30,44,14,19.2006,1.5175,0.4486
afl-player-v1-a7b458195fd4ad591d40,Murphy Reid,GEN_FWD,3991,3374,-617,-15.46,25,40,15,12.2684,1.6113,0.3671
afl-player-v1-401083e67cc655ae73fb,Josh Treacy,KEY_FWD,6838,6225,-613,-8.96,6,8,2,27.5651,4.1594,0.4444
afl-player-v1-b256e4d9e5432a4e53a4,Nick Blakey,GEN_DEF,4341,3735,-606,-13.96,21,32,11,22.2959,1.7622,0.4497
afl-player-v1-f264b9550d46c3b1d3f6,Tom De Koning,RUC,1983,1384,-599,-30.21,111,182,71,4.3865,0.3988,0.3273
afl-player-v1-0f0c9d6196abee42b21e,Archie Roberts,GEN_DEF,5062,4464,-598,-11.81,14,20,6,20.665,1.6333,0.3729
afl-player-v1-65668cce074d71131911,Logan Morris,KEY_FWD,3254,2661,-593,-18.22,51,67,16,3.3955,0.5124,0.2357
afl-player-v1-ab3fe74846e344f27891,Harvey Thomas,GEN_FWD,2312,1722,-590,-25.52,84,141,57,5.4139,0.7111,0.3758
afl-player-v1-413b1edfe188fa8c778c,Reuben Ginbey,KEY_DEF,2812,2231,-581,-20.66,60,86,26,3.8875,0.5384,0.2828
afl-player-v1-a2337d2b6345bdb9ed5e,Riley Thilthorpe,KEY_FWD,4226,3664,-562,-13.3,22,35,13,15.1145,2.2807,0.4378
afl-player-v1-a0c3571f3dfb3a833c8f,Harley Reid,MID,3468,2936,-532,-15.34,44,54,10,3.625,0.2006,0.2531
afl-player-v1-4f35404527e341d9abbc,Jack Ginnivan,GEN_FWD,2189,1670,-519,-23.71,87,149,62,8.4328,1.1076,0.4443
afl-player-v1-172361cf97bb47a65030,Hayden Young,MID,2634,2165,-469,-17.81,66,90,24,9.564,0.5292,0.4258
afl-player-v1-248c051e7df555f47a45,Josh Worrell,GEN_DEF,3470,3036,-434,-12.51,43,49,6,17.8841,1.4135,0.4316
