Player,2026 R17
,Score
Harry Sheezel,180
Max Gawn,165
Nasiah Wanganeen-Milera,160
Bradley Hill,159
Bailey Dale,151
Jacob Van Rooyen,149
Charlie Curnow,144
Seth Campbell,143
Max Hall,143
Luke Parker,142
George Hewett,140
Jordan Dawson,135
Jake Stringer,134
Rowan Marshall,133
Nick Daicos,133
Toby Greene,132
Jason Horne-Francis,131
Changkuoth Jiath,131
Toby Nankervis,128
Ned Moyle,127
Hugo Garcia,125
Bailey Smith,125
Connor Idun,124
Noah Balta,122
Bodhi Uwland,122
Darcy Fogarty,121
Luke Davies-Uniacke,121
Zachary Merrett,120
Tom Sparrow,120
Callum Mills,119
Will Ashcroft,118
Christian Petracca,117
Lachlan McAndrew,115
Karl Worner,115
Darcy Wilson,115
Charlie Comben,115
Max Holmes,114
Harrison Himmelberg,114
Cooper Harvey,114
Jagga Smith,113
Tanner Bruhn,113
Colby McKercher,112
Jordon Sweet,112
Clayton Oliver,112
Mason Wood,111
Patrick Dangerfield,111
Josh Dunkley,110
Francis Evans,109
Sam Durham,109
Tim Membrey,109
Lachie Neale,109
Darcy Byrne-Jones,108
Isaac Heeney,108
Blake Hardwick,105
Lachlan Ash,105
Ed Richards,105
Josh Ward,105
Brodie Grundy,105
Zeke Uwland,104
Finn Callaghan,104
Darcy Wilmot,104
Patrick Lipinski,104
Kysaiah Pickett,103
Zak Butters,103
Caleb Serong,103
John Noble,103
Hayden McLean,103
Ollie Dempsey,103
James Peatling,102
Tim Taranto,102
Cameron Rayner,102
Noah Mraz,101
Callum Wilkie,100
Zac Bailey,100
Matthew Roberts,100
Bayley Fritsch ,100
Mabior Chol,100
Tom McCartin,99
Bailey Humphrey,99
Kai Lohmann,98
Ned Long,98
Adam Cerra,96
Marcus Windhager,96
Edward Allan,96
Ryley Sanders,96
Jordan Clark,96
Jake Lloyd,96
Jase Burgoyne,96
Taj Hotton,95
Patrick Cripps,95
Rory Laird,95
Daniel McStay,95
Nick Haynes,95
Oliver Wines,94
Luke Jackson,94
Ed Langdon,94
Jake Soligo,93
Touk Miller,93
Kieren Briggs,93
Shai Bolton,93
Jake Bowey,93
Anthony Caminiti,92
Logan Evans,92
Jack Steele,92
Mitchito Owens,92
Andrew Brayshaw,91
Oliver Florent,91
Xavier Duursma,91
Murphy Reid,90
Mac Andrew,90
Steele Sidebottom,90
Caleb Daniel,89
Jobe Shanahan,88
Marc Pittonet,88
Nic Newman,88
Thomas Liberatore,88
Josh Daicos,87
Joe Richards,87
Jaspa Fletcher,87
Mattaes Phillipou,87
Angus Sheldrick,87
Liam Baker,86
Harris Andrews,86
Chad Warner,85
Ryan Angwin,85
Oliver Francou,85
Jai Newcombe,84
Ryan Byrnes,84
Mitch McGovern,84
Nick Blakey,84
Noah Anderson,84
Josh Rachele,84
Izak Rankine,84
James Sicily,84
Daniel Turner,84
Brandon Starcevich,83
Errol Gulden,83
Harley Reid,83
Tom McCarthy,83
Bailey Williams,82
Aaron Cadman,82
Jake Waterman,82
Lloyd Meek,81
Toby Bedford,81
Jacob Farrow,81
Miles Bergman,81
Josh Worrell,81
Ty Gallop,80
Ben Keays,80
Marcus Bontempelli,80
Will Edwards,80
Jai Serong,79
Kane McAuliffe,79
Trent Rivers,79
Ben Long ,79
Jack Whitlock,78
Shannon Neale,78
Harry Morrison,77
Logan Morris,77
Bo Allan,77
Mykelti Lefau,77
Billy Wilson,76
Mitch Georgiades,76
Brayden Maynard,76
Samuel Swadling,76
Joseph Fonti,76
Thomas Stewart,76
Daniel Curtin,76
Tylar Young,75
Rory Lobb,75
Harry Perryman,75
Josh Goater,75
Sam Berry,75
Lachlan Jones,75
Stephen Coniglio,74
Luke Ryan,74
Jayden Short,74
Brennan Cox,74
Levi Ashcroft,74
George Wardlaw ,74
Bailey Macdonald,74
Rhett Bazzo,73
Lawson Humphries,73
Matt Johnson,73
Hugo Hall-Kahan,73
Hugo Ralphsmith,72
Matt Rowell,72
Jack Williams,72
Noah Answerth,72
Tom Blamires,72
Josh Lai,72
Jye Caldwell,71
Luke Nankervis,71
Timothy English,71
Mason Redman,71
Willem Drew,71
Aidan Corr,71
Mark Blicavs,71
Tristan Xerri,70
Mark Keane,69
Harrison Petty,69
Josh Treacy,69
Willem Duursma,69
Andrew McGrath,69
Liam O'Connell,69
Will Day,69
Ben King,68
Charlie Cameron,68
Harvey Thomas,68
Caiden Cleary,68
Connor MacDonald,67
Wade Derksen,67
Liam Duggan,67
Kade Chandler,67
Alex Neal-Bullen,66
Max Michalanney,66
Zach Guthrie,66
Nathan Broad,66
Mitchell Edwards,66
Oliver Hollands,66
Jeremy Howe,66
Matthew Kennedy,66
Dylan Stephens,65
Dyson Sharp,65
Jack Higgins,65
Jack Silvagni,65
Sam Walsh,65
Aliir Aliir,65
Lachlan Schultz,65
Sam Draper,64
Arthur Jones,64
Jack Lukosius,64
Buku Khamis,64
Dan Houston,64
Talor Byrne,63
Beau McCreery,63
Toby Murray,62
Matthew Jefferson,62
Jack Hutchinson,62
James Borlase,61
Oliver Wiltshire,61
Nathan O'Driscoll,61
Samuel Collins,61
Tom Brown,61
Sam Banks,61
Jack Crisp,61
Beau Addinsall,60
Zac Taylor,60
Cody Weightman,60
Alex Pearce,60
Liam Henry,60
Lachlan Cowan,59
Nate Caddy,59
Harry Cunningham,59
Shaun Mannagh,59
Joel Freijah,59
Michael Frederick,58
Luke McDonald,58
Joel Jeffrey,58
Neil Erasmus,58
Flynn Perez,58
Tim Kelly,58
Darcy Gardiner ,58
Conor McKenna,58
Mark O'Connor,58
Sullivan Robey,57
Jack Graham,57
Cooper Hynes,57
James Rowbottom,56
Oisin Mullin,56
Marcus Herbert,56
Harry McKay,56
James Jordon,56
Blake Howes,56
Corey Warner,55
Archie Perkins,55
Sam De Koning,55
Patrick Retschko,55
Tom Atkins,55
James Trezise,55
Will Hayward,55
Joel Fitzgerald,54
Ben Jepson,54
Kye Annand,54
Michael Sellwood,54
Darcy Fort,54
Darcy Cameron,53
Jack Ginnivan,53
Latrelle Pickett,53
Jy Simpkin,53
Ryan Lester,53
Sam Cumming,53
Dane Rampe,53
Harry Sharp,52
Bruce Reville,52
Jack Martin,52
Dylan Moore,52
Peter Wright,52
Finn O'Sullivan,52
Angus Hastie,51
Matt Cottrell,51
Jake Lever,51
Billy Dowling,51
Cooper Sharman,51
Tom Hanily,51
Conor Stone,51
Lachlan Bramble,51
Zach Reid,50
Jaxon Prior,50
Tom Barrass,50
Koltyn Tholstrup,50
Aaron Naughton,49
Mitchell Lewis,49
Jack Ison,49
Brodie Kemp,49
Nicholas Coffield ,49
