Player,2026 R15
,Score
Luke Jackson,176
Nick Daicos,159
Harry Sheezel,153
Caleb Daniel,149
Nasiah Wanganeen-Milera,144
Marcus Bontempelli,142
Max Gawn,140
George Hewett,138
Noah Anderson,136
Mark Keane,133
Jeremy Howe,133
Jordan De Goey,133
Luke Parker,131
Callum Wilkie,130
Max Holmes,128
Jason Horne-Francis,128
Cooper Trembath,127
Zak Butters,124
Joel Jeffrey,123
Jai Newcombe,123
Hugo Garcia,122
Darcy Byrne-Jones,121
Jordon Sweet,121
Bodhi Uwland,118
Mac Andrew,117
Patrick Cripps,117
Lachlan Ash,113
Bradley Hill,113
Sam Walsh,112
Andrew Brayshaw,111
Kieren Briggs,110
Murphy Reid,110
Tanner Bruhn,110
Max Michalanney,109
Bailey Dale,109
Timothy English,108
Luke Nankervis,108
Will Day,108
Ben Long ,108
Matthew Kennedy,108
Josh Ward,107
Tristan Xerri,106
Finn Callaghan,103
Jack Silvagni,102
Jacob Konstanty,102
Charlie Comben,102
Willem Drew,102
Christian Petracca,101
Tom Brown,101
Sam Berry,101
Isaac Quaynor ,100
Marcus Windhager,99
Jayden Short,98
Matt Cottrell,98
Tim Taranto,98
Rory Laird,98
Shannon Neale,97
Ben Keays,97
Ben Miller,96
Hugo Hall-Kahan,96
Wayne Milera,95
Lachlan McNeil,95
Karl Amon,95
Thomas Liberatore,95
Mason Wood,94
Darcy Wilson,94
Tom Sparrow,93
James O'Donnell,93
Lawson Humphries,92
Jase Burgoyne,92
Josh Daicos,92
Nic Newman,92
Steele Sidebottom,92
Jacob Van Rooyen,92
Sam Cumming,91
George Wardlaw ,91
Rowan Marshall,90
Cameron Mackenzie,90
Sam Banks,90
Matt Rowell,90
Harvey Thomas,89
Karl Worner,89
Lachie Whitfield ,88
Luke Ryan,88
John Noble,87
Connor Idun,87
Jai Murray,87
Jack Steele,86
Patrick Lipinski,86
Jagga Smith,86
Jordan Dawson,86
Nick Murray,86
Brayden Cook,86
Blake Acres,86
Finn O'Sullivan,85
Toby Nankervis,85
Dan Houston,84
Kade Chandler,84
Jy Simpkin,84
Connor MacDonald,83
Alex Pearce,83
Tim Membrey,82
Samuel Swadling,82
Will Hayward,82
Jake Lever,81
Harrison Himmelberg,81
Joel Freijah,81
Sam Switkowski,81
Lachlan Cowan,81
Logan Evans,80
Tom Atkins,80
Neil Erasmus,80
Joe Richards,79
Cooper Hynes,79
Alex Neal-Bullen,79
Aliir Aliir,78
Jed Walter,78
Dylan Stephens,78
Jye Amiss,78
Patrick Voss,78
Jake Bowey,78
George Stevens,78
