Player,2026 R18
,Score
Callum Wilkie,191
Will Ashcroft,174
Nasiah Wanganeen-Milera,154
Lachie Neale,153
Marcus Bontempelli,152
Lloyd Meek,150
Izak Rankine,149
Kieren Briggs,148
Shaun Mannagh,145
Bradley Hill,138
Jacob Van Rooyen,138
Josh Daicos,135
Jake Bowey,133
Tristan Xerri,133
Ed Richards,133
Harley Reid,131
Harrison Himmelberg,129
Clayton Oliver,127
Darcy Cameron,126
Jake Lever,126
Rory Lobb,126
Sam Walsh,125
Callum Brown,124
Connor MacDonald,123
Jack Steele,123
Rowan Marshall,122
Nick Daicos,121
Andrew Brayshaw,121
Ned Moyle,118
Jack Ginnivan,118
Josh Ward,117
Wayne Milera,117
Jy Simpkin,117
Toby Nankervis,116
Jordan Dawson,116
James Peatling,116
Max Gawn,116
Adam Cerra,114
Hugo Garcia,113
Lachlan Ash,112
Max Holmes,112
Brayden Cook,111
Bailey Dale,110
Ollie Dempsey,110
Mattaes Phillipou,109
Errol Gulden,109
Nick Blakey,109
Willem Duursma,108
Tom Sparrow,108
Thomas Stewart,107
Murphy Reid,107
Sam Berry,107
Harry Sheezel,107
Sam Durham,106
Zac Bailey,106
Luke Parker,106
Joel Fitzgerald,106
Toby Greene,106
Jordan De Goey,106
Tom McCartin,105
Jai Newcombe,105
Ed Langdon,104
Charlie Curnow,104
Callum Mills,104
Caleb Serong,104
Josh Rachele,103
Daniel Turner,103
Harris Andrews,102
Josh Treacy,101
Ben Keays,101
Jeremy Howe,101
Bailey Williams,100
Brodie Grundy,100
Rhylee West,100
Tim Taranto,99
Bailey Smith,98
Shai Bolton,97
Daniel McStay,97
Blake Hardwick,97
Jordan Clark,96
Nic Newman,96
Darcy Wilson,96
Jack Silvagni,96
Lachlan McAndrew,95
Dayne Zorko,94
Jaspa Fletcher,94
Kysaiah Pickett,93
Nick Vlastuin,93
Miles Bergman,93
Matt Rowell,93
Sam Draper,92
Chad Warner,92
Mitchell Lewis,92
Tom McCarthy,92
Jack Gunston,92
Luke Jackson,92
Jase Burgoyne,92
Jason Horne-Francis,91
Bruce Reville,91
Darcy Byrne-Jones,90
Jagga Smith,90
Patrick Lipinski,90
Archie Roberts,90
Toby Bedford,90
Mason Wood,90
Matthew Kennedy,89
Nick Larkey,89
Levi Ashcroft,89
Dylan Moore,88
Cameron Zurhaar,88
Zak Butters,87
James Trezise,87
Ty Gallop,86
Judd McVee,86
Liam Duggan,86
Jack Graham,86
Aaron Naughton,86
Finn Callaghan,86
Marcus Windhager,86
Samuel Collins,86
Marcus Herbert,86
Sullivan Robey,86
Thomas Liberatore,85
Billy Wilson,85
Edward Allan,85
Patrick Cripps,84
Karl Worner,84
Bodhi Uwland,84
Cooper Sharman,83
Sam Banks,83
Dan Houston,83
Lawson Humphries,83
Luke Davies-Uniacke,83
Kai Lohmann,83
Leo Lombard,83
Taylor Walker,82
Mac Andrew,82
Tom Atkins,82
James Rowbottom,82
Brady Hough,82
Francis Evans,81
Jye Caldwell,81
Cooper Trembath,81
Jake Melksham,81
Andrew McGrath,81
Isaac Heeney,80
Max Hall,80
Jack Crisp,80
Daniel Curtin,80
Xavier Bamert,80
Mason Cox,80
Flynn Riley,80
Darcy Wilmot,79
James Sicily,79
Dante Visentini,79
Neil Erasmus,79
Matt Johnson,79
Cameron Rayner,79
Sam Taylor,79
Aliir Aliir,79
John Noble,78
Nate Caddy,78
Harry Perryman,78
Aidan Corr,78
Hugh McCluggage,78
Josh Worrell,77
Charlie Cameron,77
Rory Laird,77
Will Day,76
Luke Nankervis,76
Matt Cottrell,76
Josh Dunkley,76
Scott Pendlebury,76
Finn O'Sullivan,75
Tylar Young,75
Connor Idun,75
Peter Wright,75
Willem Drew,75
James Jordon,74
Bailey Humphrey,74
James O'Donnell,74
Jarman Impey,74
Tim Membrey,73
Patrick Retschko,73
Steele Sidebottom,73
Jordon Sweet,73
Connor O'Sullivan,73
Matthew Roberts,72
Tom Cole,72
Jake Soligo,72
Touk Miller,72
Oliver Francou,72
Massimo D'Ambrosio,72
Liam Stocker,71
Joel Jeffrey,71
Noah Mraz,71
Blake Howes,71
Riley Thilthorpe,71
Ben Miller,71
Rhett Bazzo,70
Trent Rivers,70
Kye Annand,70
Nathan O'Driscoll,70
Harvey Langford,70
Wil Powell,70
Jake Lloyd,69
Will Hayward,69
Noah Anderson,69
Jedd Busslinger,69
Cody Weightman,69
Josh Lai,69
Mason Redman,69
Dylan Stephens,69
Luke McDonald,69
Logan Evans,69
Mitchito Owens,68
Liam Baker,68
Campbell Lake,68
Ryan Byrnes,68
Michael Sellwood,67
Conor McKenna,67
Charlie Spargo,67
Bailey Macdonald,66
Talor Byrne,66
Jeremy Cameron,66
Koltyn Tholstrup,65
Luke Ryan,65
Billy Frampton,65
Alex Pearce,65
Angus Anderson,65
Tim Kelly,65
Harry Rowston,64
Michael Frederick,64
Oisin Mullin,64
Nick Haynes,64
Dyson Sharp,64
Kane McAuliffe,63
Darcy Fort,63
Jack Darling,63
Colby McKercher,62
Mark Blicavs,62
Mitchell Knevitt,62
Jake Waterman,62
Jayden Laverde,61
Jack Ison,61
Hugo Ralphsmith,61
Xavier O'Halloran,61
Ned Long,61
Brandon Starcevich,61
Oliver Henry,61
Mabior Chol,61
Kane Farrell,61
Jye Amiss,61
Jacob Farrow,60
Zeke Uwland,60
Toby Murray,60
Milan Murdock,60
Jarrod Berry,60
Kade Chandler,60
Bo Allan,59
Jobe Shanahan,59
Sam Cumming,59
Riley Hamilton,58
Harry McKay,58
Alex Neal-Bullen,58
Riley Hardeman,57
Ryan Angwin,57
Jack Ough,57
Mitch McGovern,57
Oliver Wines,57
Changkuoth Jiath,57
Archie Perkins,56
Jed Walter,56
Harry Morrison,56
Darcy Fogarty,56
Sam Davidson,56
Corey Durdin,56
Jasper Alger,56
Nick Bryan,56
Christian Petracca,55
Bailey Williams,55
Brayden Maynard,55
Jai Serong,55
Lachlan Bramble,55
Harry Kyle,55
Harrison Jones,55
Samuel Grlj,55
Oliver Wiltshire,55
Dane Rampe,54
Oliver Florent,54
Sam De Koning,54
Ollie Greeves,54
Tom Hanily,54
Dion Prestia,54
Liam O'Connell,54
Logan Morris,53
Zach Guthrie,53
Tom Barrass,53
Harry Dean,53
Zach Reid,52
Patrick Voss,52
Paul Curtis,52
Caleb Windsor,52
Harvey Thomas,51
Taj Hotton,51
Stephen Coniglio,51
Harry Cunningham,51
Ryan Lester,51
Cameron Mackenzie,51
Joseph Fonti,51
James Borlase,50
Jack Higgins,50
Nathan Broad,50
Angus Sheldrick,49
Ben Ainsworth,49
Harrison Oliver,49
Josh Dolan,49
Latrelle Pickett,49
Joe Richards,49
Zachary Merrett,49
Zane Peucker,49
Max Michalanney,49
Will Edwards,48
Noah Balta,48
Aaron Cadman,48
Jake Stringer,48
Joel Freijah,48
Rhyan Mansell,48
Tom Papley,48
Eric Hipwood,48
Isaac Kako,47
Tom Brown,47
Zac Banch,47
Buku Khamis,47
Jaxon Prior,47
Jai Murray,47
Liam Puncher,47
Angus Clarke,47
Seth Campbell,46
Xavier Duursma,46
Jack Williams,45
Caleb Daniel,45
Isaiah Dudley,45
Harry Sharp,45
Beau Addinsall,45
Brennan Cox,45
Patrick Dangerfield,44
Mark Keane,44
Jack Bowes,44
Noah Answerth,43
Hayden McLean,43
Matthew Jefferson,43
Hamish Davis,42
Max Kondogiannis,42
Jaeger O'Meara,42
Jack Hutchinson,42
Jordan Croft,41
Heath Chapman,41
Anthony Caminiti,39
Oliver Hollands,39
Samuel Swadling,39
Liam Henry,39
Liam Ryan,38
Arthur Jones,38
Bailey Laurie,37
Karl Amon,37
Darcy Parish,37
Luke Cleary,36
Cooper Harvey,36
Elliot Yeo,36
Ben King,36
Shannon Neale,36
Jackson Mead,36
Cooper Hynes,35
Joe Berry,35
Matt Whitlock,35
Lachlan Cowan,35
Jacob Wehr,34
Aidan Johnson,34
Sam Switkowski,33
Jack Lukosius,32
Brodie Kemp,31
Zac Taylor,31
Tobie Travaglia,30
Oscar Adams,29
Wade Derksen,29
Jake Kolodjashnij,28
Archer Day-Wicks,28
Angus Hastie,28
Ethan Read,26
Jack Martin,25
Beau McCreery,24
Caiden Cleary,24
Jack Whitlock,23
Lachlan Jones,23
Luke Kennedy,22
William McCabe,22
Mykelti Lefau,22
Dylan Patterson,21
Matt Hill,18
Jack Buller,15
Nicholas Holman,14
Tom Lynch,12
Joel Hamling,11
Lachlan Blakiston,8
Charlie Comben,6
