Player,2026 R16
,Score
Harry Sheezel,175
Zak Butters,155
Nick Daicos,154
Chad Warner,150
Luke Davies-Uniacke,146
Caleb Daniel,145
Will Ashcroft,138
Andrew Brayshaw,131
Sam Durham,128
Mason Redman,128
Isaac Heeney,125
Jordan Dawson,124
Jack Crisp,122
Sam Walsh,122
Luke Parker,122
Jordan De Goey,121
Patrick Cripps,119
Jordan Clark,119
Lachie Whitfield ,119
Luke Jackson,119
Clayton Oliver,118
Matt Rowell,116
Darcy Fogarty,115
Zac Bailey,115
Josh Worrell,115
Jordon Sweet,115
Bodhi Uwland,114
Dan Houston,114
Jack Ginnivan,114
Patrick Retschko,113
Karl Worner,112
Jason Horne-Francis,112
Josh Daicos,111
Ben Ainsworth,111
Joe Richards,110
George Hewett,110
Luke Ryan,110
Will Day,110
Josh Dunkley,110
James Sicily,109
Mitch Georgiades,109
Callum Mills,109
Noah Anderson,107
Jai Newcombe,107
Levi Ashcroft,106
Cameron Mackenzie,105
Harry McKay,105
Shai Bolton,105
Lachlan McAndrew,104
Lachlan Schultz,104
Sam Taylor,104
Andrew McGrath,103
Jaspa Fletcher,103
Finn Callaghan,103
Zachary Merrett,102
Will Hayward,101
Zeke Uwland,101
Joe Berry,99
Talor Byrne,99
Marc Pittonet,98
Tim Taranto,98
Jack Ross,98
James Rowbottom,96
Riley Thilthorpe,96
Judd McVee,96
Jagga Smith,96
Jack Dalton,95
Harley Reid,95
Murphy Reid,94
Sam Berry,94
Joseph Fonti,94
Jack Whitlock,94
Lachlan Cowan,94
Lachie Neale,94
Lachlan Ash,93
Darcy Fort,93
Sam Draper,92
Colby McKercher,92
Edward Allan,91
Aliir Aliir,90
Brodie Grundy,90
Nick Haynes,90
Francis Evans,89
Ned Reeves ,89
Blake Hardwick,89
Rory Laird,89
Nick Vlastuin,89
Zach Reid,88
Billy Wilson,86
Patrick Lipinski,86
Darcy Cameron,86
Charlie Cameron,85
Harrison Himmelberg,85
Caleb Serong,85
Jacob Farrow,85
Billy Frampton,84
Harry Dean,84
Darcy Parish,84
Nic Newman,83
Willem Drew,83
Phoenix Gothard,83
George Wardlaw ,82
Josh Lai,82
Michael Frederick,82
Nathan Broad,82
Sam Cumming,82
Cooper Trembath,82
Connor Idun,81
Massimo D'Ambrosio,81
Mac Andrew,81
Jase Burgoyne,81
Kai Lohmann,81
Will Edwards,81
Ben Miller,80
Jack Graham,80
Marcus Herbert,80
Heath Chapman,80
Nathan O'Driscoll,80
Will Setterfield,80
Jordan Ridley,80
Bo Allan,80
Adam Cerra,79
Ty Gallop,79
Cameron Rayner,79
James Jordon,79
James Borlase,79
Logan Morris,79
Oliver Florent,79
Liam Baker,79
Angus Sheldrick,78
Jarrod Witts,78
Brodie Kemp,77
Jy Simpkin,76
Touk Miller,76
Callum Brown,76
Dylan Stephens,76
Harry Morrison,76
Alex Neal-Bullen,76
Scott Pendlebury,76
Isaiah Dudley,75
Charlie Curnow,75
Harris Andrews,74
Jack Darling,73
Cooper Harvey,73
Toby Nankervis,73
Taj Hotton,73
Connor MacDonald,73
Rhyan Mansell,72
Errol Gulden,72
Neil Erasmus,72
Nicholas Holman,72
Noah Balta,72
Josh Ward,71
Steele Sidebottom,71
Sam Switkowski,71
Corey Durdin,71
Oliver Wines,70
Lloyd Meek,70
Josh Battle ,70
Wil Powell,70
Nick Bryan,70
Conor McKenna,70
Toby Greene,69
Ryan Angwin,69
Tom McCarthy,68
James Trezise,68
Finn O'Sullivan,68
Charlie Spargo,67
Tom McCartin,67
Brennan Cox,67
Bailey Williams,67
Charlie Comben,67
Darcy Wilmot,66
Leo Lombard,66
Jayden Short,66
Aaron Cadman,66
Seth Campbell,66
Lachlan Jones,65
Harvey Thomas,65
Tom Brown,65
Liam Duggan,65
Mitch McGovern,65
Jarrod Berry,64
Beau McCreery,64
Tim Membrey,64
Nick Blakey,64
