Player,2026 R19
,Score
Rowan Marshall,169
Marcus Bontempelli,155
Zachary Merrett,145
Matt Rowell,142
Timothy English,140
Tom Sparrow,140
Jarman Impey,139
Bailey Williams,137
Lachie Neale,135
Callum Mills,133
Harry Sheezel,133
Tom McCartin,132
Josh Dunkley,131
Caleb Serong,130
Touk Miller,127
Kysaiah Pickett,126
Jake Bowey,126
Joe Richards,125
Gryan Miers,125
Josh Battle,124
Wil Powell,123
Sam Walsh,122
Matthew Kennedy,122
Harris Andrews,122
Wayne Milera,121
Bailey Smith,120
Izak Rankine,120
Ned Moyle,119
Mitchell Lewis,118
Nick Daicos,116
Mason Redman,116
Jye Amiss,115
Patrick Cripps,114
Trent Rivers,114
Zac Bailey,114
Darcy Fogarty,113
Sam Durham,113
Samuel Collins,112
Koltyn Tholstrup,112
Connor Idun,111
John Noble,111
Lloyd Meek,110
Oliver Wines,109
Tom Atkins,108
Blake Hardwick,108
Nick Bryan,108
Connor MacDonald,108
Luke Davies-Uniacke,108
Callum Brown,107
Dan Houston,107
Nick Watson,106
Josh Treacy,106
Caleb Daniel,104
Matthew Jefferson,103
Toby Nankervis,103
Chad Warner,103
Kai Lohmann,103
Luke Ryan,102
Lachie Whitfield,102
Aliir Aliir,101
Jase Burgoyne,101
Patrick Retschko,101
Campbell Lake,100
James Sicily,100
Ned Long,100
Andrew Brayshaw,100
Jack Henry,99
Errol Gulden,99
Will Ashcroft,99
Dyson Sharp,99
Isaiah Dudley,98
Jobe Shanahan,97
Ed Richards,97
Darcy Cameron,97
Logan Evans,97
Darcy Wilmot,97
James Peatling,97
Tim Taranto,97
Luke Nankervis,96
Tim Membrey,96
Jhye Clark,96
Ollie Dempsey,96
Brodie Grundy,96
Massimo D'Ambrosio,96
Max Holmes,95
Cooper Harvey,95
Thomas Stewart,95
Billy Wilson,95
Brayden Cook,94
Tim Kelly,94
Luke Jackson,94
Jordon Sweet,94
Ryan Lester,94
Mason Wood,94
Harry Morrison,93
Harvey Langford,93
Stephen Coniglio,93
Liam Reidy,93
Neil Erasmus,93
Joshua Weddle,93
Zeke Uwland,92
Nick Blakey,92
Jordan Clark,92
Jordan De Goey,92
Jagga Smith,92
Darcy Wilson,91
Josh Rachele,91
Darcy Byrne-Jones,91
Hayden Young,90
James Worpel,90
Isaac Cumming,90
Josh Ward,90
Noah Anderson,90
Conor Stone,89
Colby McKercher,89
Mark O'Connor,89
Ryan Angwin,89
Hugo Hall-Kahan,89
Tom McCarthy,88
Jack Crisp,88
Michael Sellwood,87
Max Hall,87
Mitch McGovern,87
Isaac Heeney,87
Jake Waterman,87
Marcus Windhager,86
Peter Wright,86
Matt Johnson,86
Liam Duggan,86
Sam De Koning,85
Lawson Humphries,85
Hugo Garcia,85
Liam Stocker,85
Patrick Lipinski,84
Leo Lombard,84
Bailey Williams,84
Miles Bergman,84
Mac Andrew,84
Noah Mraz,83
Dayne Zorko,83
Clayton Oliver,83
James Tunstill,83
Oliver Francou,83
Jacob Farrow,83
Bailey Scott,82
Edward Allan,82
Noah Answerth,82
Mitch Zadow,82
Mattaes Phillipou,82
Brayden Maynard,81
James Rowbottom,81
Jack Steele,81
Blake Howes,80
Archer Day-Wicks,80
Karl Worner,80
Jaxon Prior,80
Beau McCreery,79
Tom Barrass,79
Josh Worrell,79
Oliver Florent,79
Finn Callaghan,79
Jack Ough,78
Tom Papley,78
Tristan Xerri,78
Jake Stringer,78
Andrew McGrath,77
Cooper Lord,77
Jye Caldwell,77
Rory Lobb,77
Sam Taylor,77
Xavier O'Halloran,77
Harley Reid,76
Paul Curtis,76
Cameron Rayner,76
Talor Byrne,76
Max Michalanney,76
Bodhi Uwland,76
Willem Duursma,76
Josh Daicos,75
Jy Simpkin,75
Lachlan Cowan,75
Charlie Cameron,75
Jordan Dawson,74
Daniel Rioli,74
Dylan Moore,74
Sam Berry,74
Callum Wilkie,74
Heath Chapman,74
Logan Morris,74
Harry Perryman,74
Max Gawn,74
Ed Langdon,74
Jake Soligo,73
Harry Rowston,73
Charlie Comben,73
Bayley Fritsch,73
Marcus Herbert,72
Jarrod Berry,72
Michael Frederick,72
Mykelti Lefau,71
Tylar Young,71
Sullivan Robey,71
Jake Lever,71
Lachlan McAndrew,71
Harry Dean,70
Buku Khamis,70
Nick Haynes,70
Christian Petracca,70
Sam Cumming,70
Sam Lalor,70
Milan Murdock,70
Jack Graham,70
Francis Evans,70
Dion Prestia,69
Tom Brown,69
Ben King,69
Angus Sheldrick,69
Nic Newman,68
Jai Newcombe,68
Jordan Ridley,68
Mark Keane,68
Archie Roberts,68
Matthew Roberts,67
Jayden Short,67
Joseph Fonti,67
Finn O'Sullivan,67
Angus Clarke,67
Lachlan Ash,67
Ben Ainsworth,67
Charlie Spargo,66
Ryley Sanders,66
Nathan Broad,66
Matt Cottrell,66
Luke Parker,66
Cameron Zurhaar,66
Kade Chandler,66
Jacob Van Rooyen,66
Jack Silvagni,66
Bradley Hill,65
Braeden Campbell,65
Harvey Harrison,65
Angus Anderson,64
Riley Bice,64
Lachlan Jones,64
