Player,2026 R20
Logan McDonald,54
Angus Clarke,53
Riley Bice,53
Adam Cerra,53
Jay Polkinghorne,53
Billy Cootee,53
Gryan Miers,52
Judd McVee,52
Tom Barrass,52
Nick Larkey,52
Elliot Yeo,52
Mitchell Edwards,52
Mykelti Lefau,52
Anthony Caminiti,51
Todd Marshall,51
Billy Frampton,51
Jai Murray,50
Lachlan Jones,50
Harvey Langford,50
Finn O'Sullivan,50
Bailey Macdonald,49
Jed Walter,49
Patrick Retschko,49
Bo Allan,48
Ollie Greeves,48
Lachlan Blakiston,48
Sam Switkowski,47
Tom McDonald,47
John Noble,47
Will Edwards,47
Aaron Cadman,47
Ned Moyle,47
Ned Long,47
Jordan Croft,46
Rhyan Mansell,46
Hussien El Achkar,46
Sandy Brock,46
Oliver Francou,46
James Jordon,45
Sam Taylor,45
Harvey Harrison,45
Harry Sharp,45
Tobie Travaglia,45
Brandon Starcevich,45
Heath Chapman,44
Paddy Cross,44
Harvey Thomas,44
James Peatling,44
Jaxon Artemis,43
Taj Hotton,43
Zach Reid,43
Matt Cottrell,42
Arthur Jones,42
Dylan Patterson,42
Patrick Dangerfield,42
Hayden McLean,42
Josh Treacy,41
Ben Long,40
Dane Rampe,40
Samuel Grlj,40
Josh Goater,40
Charlie Spargo,40
Wil Powell,40
Charlie West,37
Charlie Ballard,37
Sam Lalor,37
Archer Day-Wicks,37
Harvey Johnston,37
Ben McKay,36
Jacob Van Rooyen,36
Liam Puncher,36
Mitch Zadow,35
Zac Taylor,35
Toby Murray,34
Seth Campbell,34
Zac Banch ,34
Cooper Hynes,33
Zane Peucker,32
Isaac Kako,32
Brandon Zerk-Thatcher,30
Eric Hipwood,30
Callum Brown,30
Conor McKenna,29
Jack Ough,29
Zeke Uwland,28
Noah Answerth,28
Jack Whitlock,28
Daniel Butler,28
Riley Hamilton,28
Liam O'Connell,27
Leo Lombard,27
Jake Waterman,27
Nikolas Cox,24
Oisin Mullin,24
Jobe Shanahan,23
Latrelle Pickett,21
Finnbar Maley,20
Joe Berry,19
Xavier Bamert,18
Hugo Ralphsmith,18
Malcolm Rosas,18
Max Kondogiannis,15
Matt Whitlock,15
Conor Stone,15
Bailey Scott,13
Matthew Jefferson,9
Caleb Lewis,1
Balyn O'Brien,1
