player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Alex Neal-Bullen,Adelaide,SF,417,399,18,313,375,62,19.808,alex-neal-bullen
Bodhi Uwland,Gold Coast,SD,34,32,2,4137,4199,62,1.499,bodhi-uwland
Jack Henry,Geelong,KPF,503,452,51,193,255,62,32.124,jack-henry
Jayden Short,Richmond,SD,230,250,-20,962,900,-62,-6.445,jayden-short
Matthew Roberts,Sydney,SD,126,129,-3,1904,1842,-62,-3.256,matthew-roberts
Tom McCartin,Sydney,KPD,138,140,-2,1771,1710,-61,-3.444,tom-mccartin
Daniel Turner,Melbourne,KPD,149,157,-8,1607,1547,-60,-3.734,daniel-turner
Heath Chapman,Fremantle,SD,387,363,24,402,461,59,14.677,heath-chapman
Nicholas Martin,Essendon,SF,47,45,2,3598,3655,57,1.584,nicholas-martin
Harrison Ramm,Port Adelaide,KPD,409,392,17,338,394,56,16.568,harrison-ramm
Tom Green,GWS,MID,21,21,0,4883,4827,-56,-1.147,tom-green
Jack Ginnivan,Collingwood,SF,92,98,-6,2330,2277,-53,-2.275,jack-ginnivan
Oliver Henry,Geelong,KPF,563,500,63,147,200,53,36.054,oliver-henry
Jake Lloyd,Sydney,SF,593,522,71,124,176,52,41.935,jake-lloyd
Jye Amiss,Fremantle,KPF,164,163,1,1456,1508,52,3.571,jye-amiss
Ned Long,Collingwood,SF,178,172,6,1349,1401,52,3.855,ned-long
Rory Laird,Adelaide,SD,271,284,-13,764,712,-52,-6.806,rory-laird
Tim Membrey,St Kilda,KPF,658,582,76,78,130,52,66.667,tim-membrey
Rhett Bazzo,West Coast,KPD,382,360,22,415,466,51,12.289,rhett-bazzo
Elijah Tsatas,Essendon,MID,190,195,-5,1272,1222,-50,-3.931,elijah-tsatas
Wil Dawson,North Melbourne,KPD,324,343,-19,559,509,-50,-8.945,wil-dawson
Joshua Weddle,Hawthorn,SD,153,159,-6,1578,1529,-49,-3.105,joshua-weddle
