player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Isaac Keeler,St Kilda,KPF,505,513,-8,192,180,-12,-6.25,isaac-keeler
Lance Collard,St Kilda,SF,529,542,-13,171,159,-12,-7.018,lance-collard
Lewis Young,Carlton,KPF,580,599,-19,130,118,-12,-9.231,lewis-young
Phoenix Gothard,GWS,SF,133,130,3,1821,1833,12,0.659,phoenix-gothard
Adam Sweid,Fremantle,MID,385,390,-5,408,397,-11,-2.696,adam-sweid
Ashton Moir,Carlton,SF,452,458,-6,258,247,-11,-4.264,ashton-moir
Charlie Cameron,Brisbane,SF,537,553,-16,164,153,-11,-6.707,charlie-cameron
Charlie Comben,North Melbourne,KPD,263,260,3,804,815,11,1.368,charlie-comben
Hamish Davis,West Coast,MID,249,249,0,898,909,11,1.225,hamish-davis
Jasper Alger,Richmond,SF,366,365,1,444,455,11,2.477,jasper-alger
Liam McMahon,Essendon,KPF,561,576,-15,149,138,-11,-7.383,liam-mcmahon
Matthew Flynn,West Coast,RUCK,336,337,-1,538,527,-11,-2.045,matthew-flynn
Nick Haynes,Carlton,SD,712,693,19,50,61,11,22.0,nick-haynes
Peter Ladhams,Sydney,KPF,337,338,-1,538,527,-11,-2.045,peter-ladhams
Reuben Ginbey,West Coast,SD,90,91,-1,2359,2348,-11,-0.466,reuben-ginbey
Riley Hardeman,North Melbourne,SD,444,447,-3,274,263,-11,-4.015,riley-hardeman
Taylor Walker,Adelaide,KPF,587,574,13,128,139,11,8.594,taylor-walker
Tom Barrass,Hawthorn,KPD,752,770,-18,32,21,-11,-34.375,tom-barrass
Zane Duursma,North Melbourne,SF,269,270,-1,765,776,11,1.438,zane-duursma
Adam Treloar,Western Bulldogs,SF,240,246,-6,935,925,-10,-1.07,adam-treloar
Ben Ainsworth,Carlton,SF,500,497,3,197,207,10,5.076,ben-ainsworth
Flynn Riley,Carlton,RUCK,442,443,-1,276,266,-10,-3.623,flynn-riley
James Worpel,Geelong,MID,374,380,-6,429,419,-10,-2.331,james-worpel
Joel Freijah,Western Bulldogs,SF,65,66,-1,2917,2927,10,0.343,joel-freijah
Kye Fincher,St Kilda,SD,451,456,-5,259,249,-10,-3.861,kye-fincher
Kyle Langford,Essendon,KPF,327,330,-3,554,544,-10,-1.805,kyle-langford
Lachlan Sholl,Adelaide,MID,554,569,-15,153,143,-10,-6.536,lachlan-sholl
Matt Carroll,Carlton,SD,239,239,0,941,951,10,1.063,matt-carroll
Michael Sellwood,Western Bulldogs,SD,562,545,17,148,158,10,6.757,michael-sellwood
Mitchell Lewis,Hawthorn,KPF,334,336,-2,540,530,-10,-1.852,mitchell-lewis
Noah Long,West Coast,SF,539,555,-16,163,153,-10,-6.135,noah-long
Riley Garcia,Western Bulldogs,SF,682,697,-15,67,57,-10,-14.925,riley-garcia
Sam Draper,Brisbane,KPF,211,210,1,1139,1129,-10,-0.878,sam-draper
Thomas Matthews,Melbourne,SF,404,412,-8,347,337,-10,-2.882,thomas-matthews
Caiden Cleary,Sydney,SF,361,369,-8,450,441,-9,-2.0,caiden-cleary
Calsher Dear,Hawthorn,KPF,234,234,0,956,965,9,0.941,calsher-dear
Hugo Garcia,St Kilda,MID,60,61,-1,3113,3104,-9,-0.289,hugo-garcia
Jack Viney,Melbourne,MID,464,471,-7,242,233,-9,-3.719,jack-viney
Joel Jeffrey,Gold Coast,SD,151,154,-3,1587,1596,9,0.567,joel-jeffrey
Koby Evans,Brisbane,MID,449,453,-4,263,254,-9,-3.422,koby-evans
Lloyd Meek,Hawthorn,RUCK,181,183,-2,1329,1320,-9,-0.677,lloyd-meek
Matthew LeRay,Hawthorn,MID,483,484,-1,228,219,-9,-3.947,matthew-leray
Ryan Lester,Brisbane,SD,724,742,-18,48,39,-9,-18.75,ryan-lester
Sam Marshall,Brisbane,MID,260,257,3,821,830,9,1.096,sam-marshall
Tom Atkins,Geelong,MID,419,423,-4,311,302,-9,-2.894,tom-atkins
Tylah Williams,West Coast,SF,453,457,-4,258,249,-9,-3.488,tylah-williams
Xavier O'Halloran,GWS,SF,742,724,18,39,48,9,23.077,xavier-o-halloran
Angus Clarke,Essendon,SD,276,275,1,746,754,8,1.072,angus-clarke
Brady Hough,West Coast,SD,430,426,4,290,298,8,2.759,brady-hough
Brayden Fiorini,Essendon,MID,522,530,-8,177,169,-8,-4.52,brayden-fiorini
Caleb Lewis,Gold Coast,KPF,564,575,-11,146,138,-8,-5.479,caleb-lewis
Callum Mills,Sydney,SD,122,121,1,2032,2024,-8,-0.394,callum-mills
Darcy Fogarty,Adelaide,KPF,254,253,1,868,876,8,0.922,darcy-fogarty
Deven Robertson,West Coast,SF,530,538,-8,170,162,-8,-4.706,deven-robertson
Elijah Hewett,West Coast,MID,275,279,-4,753,745,-8,-1.062,elijah-hewett
Elijah Hollands,Carlton,SF,283,285,-2,716,708,-8,-1.117,elijah-hollands
Finnbar Maley,Adelaide,KPF,456,459,-3,254,246,-8,-3.15,finnbar-maley
Harrison Himmelberg,GWS,SD,560,572,-12,149,141,-8,-5.369,harrison-himmelberg
Harry O'Farrell,Carlton,KPD,233,240,-7,957,949,-8,-0.836,harry-o-farrell
Jamarra Ugle-Hagan,Gold Coast,KPF,433,437,-4,285,277,-8,-2.807,jamarra-ugle-hagan
Jevan Phillipou,Sydney,MID,436,441,-5,282,274,-8,-2.837,jevan-phillipou
Kye Annand,Richmond,KPD,543,554,-11,161,153,-8,-4.969,kye-annand
Lewis Melican,Sydney,KPD,755,769,-14,29,21,-8,-27.586,lewis-melican
Liam O'Connell,St Kilda,SD,745,730,15,37,45,8,21.622,liam-o-connell
Lukas Cooke,Melbourne,KPD,555,566,-11,152,144,-8,-5.263,lukas-cooke
Max Beattie,Hawthorn,SF,518,525,-7,180,172,-8,-4.444,max-beattie
Oliver Griffin,North Melbourne,SF,519,526,-7,180,172,-8,-4.444,oliver-griffin
Robert Hansen,North Melbourne,SF,636,647,-11,91,83,-8,-8.791,robert-hansen
Tim Kelly,West Coast,SF,197,192,5,1228,1236,8,0.651,tim-kelly
Tobyn Murray,Fremantle,SF,466,470,-4,242,234,-8,-3.306,tobyn-murray
Tyrell Dewar,West Coast,SD,608,615,-7,113,105,-8,-7.08,tyrell-dewar
Will Lorenz,Port Adelaide,MID,369,375,-6,438,430,-8,-1.826,will-lorenz
Xavier Taylor,Melbourne,SD,236,244,-8,950,942,-8,-0.842,xavier-taylor
Zac Fisher,North Melbourne,SF,616,602,14,107,115,8,7.477,zac-fisher
Alex Davies,Gold Coast,MID,383,386,-3,412,405,-7,-1.699,alex-davies
Archer Day-Wicks,Essendon,SF,299,305,-6,636,629,-7,-1.101,archer-day-wicks
Brodie Grundy,Sydney,RUCK,24,25,-1,4559,4552,-7,-0.154,brodie-grundy
Finnegan Davis,GWS,SD,527,535,-8,172,165,-7,-4.07,finnegan-davis
Fred Rodriguez,West Coast,SF,510,517,-7,184,177,-7,-3.804,fred-rodriguez
Harry Armstrong,Richmond,KPF,264,262,2,804,811,7,0.871,harry-armstrong
Henry Hustwaite,Hawthorn,MID,462,465,-3,246,239,-7,-2.846,henry-hustwaite
Hugo Mikunda,North Melbourne,SF,511,518,-7,184,177,-7,-3.804,hugo-mikunda
Jai Murray,Gold Coast,MID,204,202,2,1189,1196,7,0.589,jai-murray
Jake Waterman,West Coast,KPF,203,201,2,1191,1198,7,0.588,jake-waterman
Lachy Dovaston,North Melbourne,SF,312,315,-3,601,608,7,1.165,lachy-dovaston
Leek Aleer,GWS,KPD,494,499,-5,208,201,-7,-3.365,leek-aleer
Malakai Champion,West Coast,SF,389,395,-6,393,386,-7,-1.781,malakai-champion
Max King,St Kilda,KPF,465,468,-3,242,235,-7,-2.893,max-king-stk
Max Ramsden,Hawthorn,KPF,520,527,-7,178,171,-7,-3.933,max-ramsden
Nick Driscoll,Geelong,SF,512,520,-8,184,177,-7,-3.804,nick-driscoll
Oliver Hollands,Carlton,SD,140,138,2,1728,1735,7,0.405,oliver-hollands
Riley Onley,Melbourne,MID,513,521,-8,184,177,-7,-3.804,riley-onley
Tai Hayes,Brisbane,SF,499,504,-5,201,194,-7,-3.483,tai-hayes
Thomas Burton,Richmond,MID,408,411,-3,344,337,-7,-2.035,thomas-burton
Tom Doedee,Brisbane,SD,472,478,-6,236,229,-7,-2.966,tom-doedee
Angus Hastie,St Kilda,SD,507,509,-2,191,185,-6,-3.141,angus-hastie
Beau McCreery,Collingwood,SF,579,578,1,130,136,6,4.615,beau-mccreery
Ben Camporeale,Carlton,MID,454,455,-1,255,249,-6,-2.353,ben-camporeale
Ben King,Gold Coast,KPF,470,472,-2,238,232,-6,-2.521,ben-king
Blake Acres,Carlton,MID,653,640,13,81,87,6,7.407,blake-acres
Callum M. Brown,GWS,SF,748,752,-4,35,29,-6,-17.143,callum-brown-ire
Christian Moraes,Port Adelaide,SF,246,248,-2,921,915,-6,-0.651,christian-moraes
Harrison Oliver,GWS,SD,314,320,-6,588,582,-6,-1.02,harrison-oliver
Hugh Bond,Adelaide,SD,552,561,-9,154,148,-6,-3.896,hugh-bond
Hugo Ralphsmith,Richmond,MID,708,696,12,51,57,6,11.765,hugo-ralphsmith
Jacob Weitering,Carlton,KPD,220,224,-4,1031,1025,-6,-0.582,jacob-weitering
James Barrat,St Kilda,KPF,480,480,0,231,225,-6,-2.597,james-barrat
Jedd Busslinger,Western Bulldogs,KPD,251,252,-1,888,882,-6,-0.676,jedd-busslinger
Joel Fitzgerald,Melbourne,MID,678,692,-14,67,61,-6,-8.955,joel-fitzgerald
Jordan De Goey,Collingwood,SF,165,166,-1,1447,1453,6,0.415,jordan-de-goey
Leon Kickett,Fremantle,SF,567,573,-6,145,139,-6,-4.138,leon-kickett
Max Holmes,Geelong,MID,5,5,0,8517,8523,6,0.07,max-holmes
Nasiah Wanganeen-Milera,St Kilda,SD,4,4,0,9816,9822,6,0.061,nasiah-wanganeen-milera
Nate Caddy,Essendon,KPF,136,133,3,1800,1806,6,0.333,nate-caddy
Ned Bowman,Sydney,SF,450,450,0,263,257,-6,-2.281,ned-bowman
Sam Darcy,Western Bulldogs,KPF,16,15,1,5356,5350,-6,-0.112,sam-darcy
Will Darcy,Western Bulldogs,KPF,504,507,-3,193,187,-6,-3.109,will-darcy
Zane Peucker,Richmond,SF,349,351,-2,493,487,-6,-1.217,zane-peucker
Archer Reid,West Coast,KPF,286,288,-2,697,702,5,0.717,archer-reid
Charlie Banfield,St Kilda,SF,297,302,-5,639,634,-5,-0.782,charlie-banfield
Cooper Bell,Gold Coast,KPF,548,557,-9,157,152,-5,-3.185,cooper-bell
Darcy Fort,Geelong,RUCK,770,777,-7,21,16,-5,-23.81,darcy-fort
Finn Callaghan,GWS,MID,13,12,1,6140,6145,5,0.081,finn-callaghan
George Stevens,Geelong,MID,414,418,-4,326,321,-5,-1.534,george-stevens
Harrison Jones,Essendon,KPF,525,531,-6,174,169,-5,-2.874,harrison-jones
Harry Edwards,West Coast,KPD,621,628,-7,103,98,-5,-4.854,harry-edwards
Hudson O'Keeffe,Carlton,KPF,481,481,0,229,224,-5,-2.183,hudson-o-keeffe
Jack Payne,Brisbane,KPD,627,631,-4,100,95,-5,-5.0,jack-payne
Jacob Molier,Geelong,RUCK,431,431,0,288,283,-5,-1.736,jacob-molier
Jake Bowey,Melbourne,SD,27,27,0,4386,4381,-5,-0.114,jake-bowey
James Leake,GWS,SF,353,355,-2,482,477,-5,-1.037,james-leake
Jayden Nguyen,GWS,SD,368,371,-3,438,433,-5,-1.142,jayden-nguyen
Jesse Motlop,Carlton,SF,651,660,-9,82,77,-5,-6.098,jesse-motlop
Joel Cochran,Collingwood,SD,535,540,-5,166,161,-5,-3.012,joel-cochran
Jordan Ridley,Essendon,SD,284,286,-2,709,704,-5,-0.705,jordan-ridley
Kane McAuliffe,Richmond,MID,182,180,2,1328,1333,5,0.377,kane-mcauliffe
Matt Hill,Hawthorn,SD,701,710,-9,55,50,-5,-9.091,matt-hill
Mattaes Phillipou,St Kilda,SF,96,96,0,2298,2293,-5,-0.218,mattaes-phillipou
Ollie Lord,Port Adelaide,KPF,599,610,-11,117,112,-5,-4.274,ollie-lord
Oscar Steene,Collingwood,KPF,350,350,0,492,487,-5,-1.016,oscar-steene
Sam Powell-Pepper,Port Adelaide,SF,526,532,-6,174,169,-5,-2.874,sam-powell-pepper
Sandy Brock,West Coast,KPD,524,528,-4,176,171,-5,-2.841,sandy-brock
Tyson Stengle,Richmond,SF,547,556,-9,158,153,-5,-3.165,tyson-stengle
Will Brodie,Port Adelaide,MID,257,256,1,836,831,-5,-0.598,will-brodie
Zac McCarthy,Collingwood,KPF,556,562,-6,152,147,-5,-3.289,zac-mccarthy
Zak Butters,Port Adelaide,MID,8,9,-1,7185,7190,5,0.07,zak-butters
Zane Zakostelsky,Brisbane,KPD,391,396,-5,391,386,-5,-1.279,zane-zakostelsky
Alex Dodson,St Kilda,KPF,437,440,-3,278,274,-4,-1.439,alex-dodson
Anthony Caminiti,St Kilda,KPF,228,233,-5,974,970,-4,-0.411,anthony-caminiti
Ben Murphy,Brisbane,SD,643,651,-8,84,80,-4,-4.762,ben-murphy
Caleb May,Western Bulldogs,RUCK,474,475,-1,235,231,-4,-1.702,caleb-may
Cameron Nairn,Hawthorn,SF,302,304,-2,634,630,-4,-0.631,cameron-nairn
Charlie Ballard,Gold Coast,KPD,731,727,4,42,46,4,9.524,charlie-ballard
Charlie Edwards,Adelaide,SD,281,283,-2,725,721,-4,-0.552,charlie-edwards
Charlie Nicholls,Fremantle,KPF,498,502,-4,203,199,-4,-1.97,charlie-nicholls
Cillian Bourke,Essendon,SD,644,652,-8,84,80,-4,-4.762,cillian-bourke
Cody Weightman,Western Bulldogs,SF,557,550,7,151,155,4,2.649,cody-weightman
Cooper Harvey,North Melbourne,SF,330,332,-2,544,540,-4,-0.735,cooper-harvey
Harrison Coe,Collingwood,RUCK,475,476,-1,235,231,-4,-1.702,harrison-coe
Jack Buckley,GWS,KPD,321,325,-4,563,559,-4,-0.71,jack-buckley
Jai Culley,Melbourne,MID,508,511,-3,189,185,-4,-2.116,jai-culley
Jarrod Berry,Brisbane,MID,501,505,-4,196,192,-4,-2.041,jarrod-berry
Kayle Gerreyn,Essendon,RUCK,515,519,-4,181,177,-4,-2.21,kayle-gerreyn
Kobe McDonald,St Kilda,SD,646,654,-8,84,80,-4,-4.762,kobe-mcdonald
Lachlan Smith,Western Bulldogs,RUCK,308,311,-3,627,623,-4,-0.638,lachlan-smith
Lawson Humphries,Geelong,SD,129,128,1,1849,1845,-4,-0.216,lawson-humphries
Matt Whitlock,North Melbourne,KPF,362,368,-6,448,444,-4,-0.893,matt-whitlock
Max Mapley,Melbourne,RUCK,476,477,-1,235,231,-4,-1.702,max-mapley
Riak Andrew,Sydney,KPD,574,577,-3,142,138,-4,-2.817,riak-andrew
Taylor Goad,North Melbourne,RUCK,217,221,-4,1044,1040,-4,-0.383,taylor-goad
Tom Hanily,Sydney,SF,541,548,-7,162,158,-4,-2.469,tom-hanily
Aiden Riddle,Fremantle,RUCK,521,523,-2,177,174,-3,-1.695,aiden-riddle
Brent Daniels,GWS,SF,201,197,4,1212,1215,3,0.248,brent-daniels
Campbell Gray,Richmond,KPD,516,516,0,180,177,-3,-1.667,campbell-gray
Darcy Moore,Collingwood,KPD,565,568,-3,146,143,-3,-2.055,darcy-moore
Harley Reid,West Coast,MID,43,42,1,3811,3814,3,0.079,harley-reid
Harry Charleson,Carlton,SD,620,624,-4,103,100,-3,-2.913,harry-charleson
Indy Cotton,Adelaide,SF,686,691,-5,65,62,-3,-4.615,indy-cotton
Jack Lukosius,Port Adelaide,KPF,354,358,-4,472,469,-3,-0.636,jack-lukosius
Jack Scrimshaw,Hawthorn,SD,633,636,-3,93,90,-3,-3.226,jack-scrimshaw
Jack Sinclair,St Kilda,SD,54,53,1,3368,3371,3,0.089,jack-sinclair
Jai Saxena,Collingwood,SF,659,666,-7,77,74,-3,-3.896,jai-saxena
Jake Stringer,GWS,SF,615,617,-2,107,104,-3,-2.804,jake-stringer
Jaspa Fletcher,Brisbane,SD,77,77,0,2652,2649,-3,-0.113,jaspa-fletcher
Jeremy Sharp,Fremantle,MID,696,705,-9,56,53,-3,-5.357,jeremy-sharp
Jesse Hogan,GWS,KPF,489,487,2,218,215,-3,-1.376,jesse-hogan
Jesse Mellor,Geelong,SF,660,667,-7,77,74,-3,-3.896,jesse-mellor
Joe Pike,Geelong,RUCK,523,524,-1,177,174,-3,-1.695,joe-pike
Joe Richards,Port Adelaide,SF,245,247,-2,922,925,3,0.325,joe-richards
Lachie Jaques,Western Bulldogs,SD,262,261,1,809,812,3,0.371,lachie-jaques
Lucas Camporeale,Carlton,MID,540,543,-3,162,159,-3,-1.852,lucas-camporeale
Luke Cleary,Western Bulldogs,SD,741,745,-4,39,36,-3,-7.692,luke-cleary
Luke Urquhart,North Melbourne,MID,568,571,-3,145,142,-3,-2.069,luke-urquhart
Mac Andrew,Gold Coast,KPD,31,31,0,4223,4220,-3,-0.071,mac-andrew
Matt Cottrell,Carlton,SF,673,671,2,70,73,3,4.286,matt-cottrell
Oliver Hayes-Brown,Richmond,RUCK,490,488,2,218,215,-3,-1.376,oliver-hayes-brown
Patrick Lipinski,Collingwood,SF,277,278,-1,743,746,3,0.404,patrick-lipinski
Ryan Maric,West Coast,SD,168,173,-5,1397,1400,3,0.215,ryan-maric
Ryda Luke,Fremantle,SF,664,669,-5,77,74,-3,-3.896,ryda-luke
Sam Cumming,Richmond,MID,94,94,0,2315,2312,-3,-0.13,sam-cumming
Sam Flanders,St Kilda,SF,113,111,2,2091,2094,3,0.143,sam-flanders
Sam Switkowski,Fremantle,SF,780,788,-8,15,12,-3,-20.0,sam-switkowski
Samuel Collins,Gold Coast,KPD,307,308,-1,629,626,-3,-0.477,samuel-collins
Sullivan Robey,Essendon,SF,62,63,-1,3070,3067,-3,-0.098,sullivan-robey
Toby Whan,Fremantle,MID,665,670,-5,77,74,-3,-3.896,toby-whan
Tyler Welsh,Adelaide,KPF,648,657,-9,83,80,-3,-3.614,tyler-welsh
Willem Drew,Port Adelaide,MID,311,314,-3,620,617,-3,-0.484,willem-drew
Aidan Johnson,Melbourne,KPF,670,672,-2,72,70,-2,-2.778,aidan-johnson
Andy Moniz-Wakefield,Melbourne,SD,757,760,-3,28,26,-2,-7.143,andy-moniz-wakefield
Asher Eastham,Gold Coast,SF,630,632,-2,96,94,-2,-2.083,asher-eastham
Bailey Dale,Western Bulldogs,SD,97,97,0,2287,2289,2,0.087,bailey-dale
Brandon Walker,Fremantle,SD,693,694,-1,62,60,-2,-3.226,brandon-walker
Brennan Cox,Fremantle,KPD,447,448,-1,264,262,-2,-0.758,brennan-cox
Changkuoth Jiath,Melbourne,SD,792,785,7,10,12,2,20.0,changkuoth-jiath
Elliott Himmelberg,Adelaide,KPF,729,731,-2,44,42,-2,-4.545,elliot-himmelberg
Griffin Logue,North Melbourne,KPD,667,659,8,76,78,2,2.632,griffin-logue
Harry Barnett,West Coast,RUCK,326,326,0,555,553,-2,-0.36,harry-barnett
Harvey Harrison,Collingwood,SF,720,709,11,48,50,2,4.167,harvey-harrison
Hugh McCluggage,Brisbane,MID,156,156,0,1563,1565,2,0.128,hugh-mccluggage
Jack Graham,West Coast,SF,292,297,-5,662,660,-2,-0.302,jack-graham
Jack Henderson,Melbourne,SF,618,618,0,105,103,-2,-1.905,jack-henderson
Jack Higgins,St Kilda,SF,699,704,-5,55,53,-2,-3.636,jack-higgins
Jacob Konstanty,North Melbourne,SF,544,539,5,159,161,2,1.258,jacob-konstanty
Jacob Moss,Port Adelaide,KPD,727,729,-2,47,45,-2,-4.255,jacob-moss
Jacob Newton,West Coast,SF,493,493,0,208,210,2,0.962,jacob-newton
Jake Riccardi,GWS,KPF,438,438,0,278,276,-2,-0.719,jake-riccardi
Jaren Carr,Fremantle,SF,677,684,-7,67,65,-2,-2.985,jaren-carr
Jordan Dawson,Adelaide,MID,51,51,0,3492,3490,-2,-0.057,jordan-dawson
Josh Daicos,Collingwood,SD,109,108,1,2134,2136,2,0.094,josh-daicos
Justin McInerney,Sydney,SF,104,106,-2,2170,2172,2,0.092,justin-mcinerney
Jy Farrar,Gold Coast,KPF,790,798,-8,11,9,-2,-18.182,jy-farrar
Keighton Matofai-Forbes,Geelong,SF,661,663,-2,77,75,-2,-2.597,keighton-matofai-forbes
Lachlan Fogarty,Carlton,SF,746,748,-2,36,34,-2,-5.556,lachlan-fogarty
Lachlan McAndrew,Adelaide,RUCK,194,190,4,1254,1252,-2,-0.159,lachlan-mcandrew
Lennox Hoffman,Geelong,SD,662,664,-2,77,75,-2,-2.597,lennox-hoffman
Liam Fawcett,Richmond,KPF,358,364,-6,461,459,-2,-0.434,liam-fawcett
Logan Smith,GWS,RUCK,601,603,-2,116,114,-2,-1.724,logan-smith
Lucca Grego,West Coast,SD,591,594,-3,126,124,-2,-1.587,lucca-grego
Mark O'Connor,Geelong,SD,797,799,-2,10,8,-2,-20.0,mark-o-connor
Mason Wood,St Kilda,SF,393,393,0,387,389,2,0.517,mason-wood
Mitch Podhajski,Collingwood,KPF,622,621,1,103,101,-2,-1.942,mitch-podhajski
Nikolas Cox,Essendon,MID,576,580,-4,137,135,-2,-1.46,nikolas-cox
Oscar Berry,Melbourne,KPD,671,675,-4,72,70,-2,-2.778,oscar-berry
Patrick Carr,Richmond,RUCK,642,646,-4,85,83,-2,-2.353,patrick-carr
Patrick Said,St Kilda,SF,652,655,-3,82,80,-2,-2.439,patrick-said
Rhyan Mansell,Richmond,SF,709,718,-9,51,49,-2,-3.922,rhyan-mansell
River Stevens,North Melbourne,SF,663,665,-2,77,75,-2,-2.597,river-stevens
Ryan Byrnes,St Kilda,SD,689,682,7,64,66,2,3.125,ryan-byrnes
Ryley Sanders,Western Bulldogs,SF,39,39,0,3934,3932,-2,-0.051,ryley-sanders
Sam Wicks,Sydney,SD,788,797,-9,12,10,-2,-16.667,sam-wicks
Stephen Coniglio,GWS,SF,486,486,0,220,218,-2,-0.909,stephen-coniglio
Toby McMullin,GWS,MID,595,597,-2,124,122,-2,-1.613,toby-mcmullin
Tom Cochrane,Port Adelaide,SF,484,482,2,221,223,2,0.905,tom-cochrane
Tom Sparrow,Melbourne,SF,145,148,-3,1652,1654,2,0.121,tom-sparrow
Will Graham,Gold Coast,SF,142,143,-1,1694,1692,-2,-0.118,will-graham
Xavier Bamert,Port Adelaide,MID,396,398,-2,375,377,2,0.533,xavier-bamert
Angus Sheldrick,Sydney,MID,273,273,0,756,757,1,0.132,angus-sheldrick
Archie May,Essendon,KPF,373,377,-4,429,428,-1,-0.233,archie-may
Archie Perkins,Essendon,SF,477,467,10,234,235,1,0.427,archie-perkins
Bailey Macdonald,Hawthorn,SD,571,567,4,142,143,1,0.704,bailey-macdonald
Benny Barrett,Port Adelaide,SF,707,707,0,51,50,-1,-1.961,benny-barrett
Billy Frampton,Collingwood,KPD,749,747,2,34,35,1,2.941,billy-frampton
Blake Howes,Melbourne,SD,441,436,5,276,277,1,0.362,blake-howes
Bradley Close,Geelong,SF,778,778,0,16,15,-1,-6.25,bradley-close
Brandon Zerk-Thatcher,Essendon,KPD,717,725,-8,48,47,-1,-2.083,brandon-zerk-thatcher
Brayden Maynard,Collingwood,SD,347,348,-1,498,497,-1,-0.201,brayden-maynard
Buku Khamis,Western Bulldogs,KPF,559,560,-1,149,148,-1,-0.671,buku-khamis
Chris Scerri,Fremantle,SF,423,424,-1,302,301,-1,-0.331,chris-scerri
Cillian Burke,Geelong,SD,697,700,-3,55,54,-1,-1.818,cillian-burke
Cody Anderson,Hawthorn,SF,690,690,0,63,62,-1,-1.587,cody-anderson
Cooper Simpson,Fremantle,SD,517,514,3,180,179,-1,-0.556,cooper-simpson
Corey Durdin,Carlton,SF,719,714,5,48,49,1,2.083,corey-durdin
Dougal Howard,St Kilda,KPD,726,728,-2,47,46,-1,-2.128,dougal-howard
Eamonn Armstrong,St Kilda,SD,698,701,-3,55,54,-1,-1.818,eamonn-armstrong
Esava Ratugolea,Port Adelaide,KPD,684,683,1,66,65,-1,-1.515,esava-ratugolea
Harris Andrews,Brisbane,KPD,147,150,-3,1643,1644,1,0.061,harris-andrews
Harry Morrison,Hawthorn,MID,771,772,-1,21,20,-1,-4.762,harry-morrison
Harvey Johnston,West Coast,SD,426,427,-1,296,297,1,0.338,harvey-johnston
Hugh Davies,Fremantle,KPD,509,510,-1,186,185,-1,-0.538,hugh-davies
Jack Carroll,St Kilda,SD,645,643,2,84,85,1,1.19,jack-carroll
Jaime Uhr-Henry,Hawthorn,RUCK,687,686,1,65,64,-1,-1.538,jaime-uhr-henry
Jake Soligo,Adelaide,SF,116,114,2,2075,2074,-1,-0.048,jake-soligo
James Rowbottom,Sydney,SF,198,196,2,1223,1222,-1,-0.082,james-rowbottom
James Trezise,Richmond,SD,598,598,0,119,120,1,0.84,james-trezise
Jed Adams,Melbourne,KPD,550,552,-2,155,154,-1,-0.645,jed-adams
Jeremy Cameron,Geelong,KPF,259,258,1,827,826,-1,-0.121,jeremy-cameron
Jeremy Howe,Collingwood,SD,482,479,3,229,228,-1,-0.437,jeremy-howe
Jye Caldwell,Essendon,MID,221,231,-10,993,992,-1,-0.101,jye-caldwell
Kalani White,Melbourne,KPF,640,644,-4,86,85,-1,-1.163,kalani-white
Kane Farrell,Port Adelaide,SD,183,182,1,1324,1325,1,0.076,kane-farrell
Keidean Coleman,Brisbane,SD,270,272,-2,764,763,-1,-0.131,keidean-coleman
Lachlan Jones,Port Adelaide,SD,597,592,5,123,124,1,0.813,lachlan-jones
Logan Evans,Port Adelaide,SD,170,175,-5,1390,1389,-1,-0.072,logan-evans
Luke Beecken,Brisbane,MID,624,626,-2,101,100,-1,-0.99,luke-beecken
Matt Duffy,Carlton,KPD,700,702,-2,55,54,-1,-1.818,matt-duffy
Max Heath,Melbourne,KPF,306,303,3,632,633,1,0.158,max-heath
Max Knobel,Gold Coast,RUCK,384,382,2,412,411,-1,-0.243,max-knobel
Mitch Georgiades,Port Adelaide,KPF,163,165,-2,1464,1465,1,0.068,mitch-georgiades
Mitch McGovern,Carlton,SF,733,736,-3,42,41,-1,-2.381,mitch-mcgovern
Mitchell Edwards,Geelong,RUCK,105,107,-2,2164,2163,-1,-0.046,mitchell-edwards
Nic Newman,Carlton,SD,298,301,-3,638,639,1,0.157,nic-newman
Nick Bryan,Essendon,RUCK,274,274,0,756,755,-1,-0.132,nick-bryan
Noah Roberts-Thomson,Richmond,MID,407,410,-3,345,344,-1,-0.29,noah-roberts-thomson
Oliver Hannaford,GWS,MID,395,397,-2,378,379,1,0.265,oliver-hannaford
Ollie Murphy,Fremantle,KPD,532,533,-1,169,168,-1,-0.592,ollie-murphy
Oscar Adams,Gold Coast,KPD,681,678,3,67,68,1,1.493,oscar-adams
Patrick Snell,Sydney,KPF,602,601,1,116,115,-1,-0.862,patrick-snell
Reece Torrent,Brisbane,MID,656,658,-2,80,79,-1,-1.25,reece-torrent
Ricky Mentha,Melbourne,SF,710,712,-2,51,50,-1,-1.961,ricky-mentha
Steely Green,Richmond,SF,558,558,0,150,151,1,0.667,steely-green
Tew Jiath,Collingwood,SD,533,534,-1,168,167,-1,-0.595,tew-jiath
Toby Murray,Adelaide,KPF,488,483,5,219,220,1,0.457,toby-murray
Todd Marshall,Port Adelaide,KPF,685,685,0,66,65,-1,-1.515,todd-marshall
Ty Gallop,Brisbane,KPF,169,174,-5,1396,1395,-1,-0.072,ty-gallop
Tyler Brockman,West Coast,SF,706,706,0,52,51,-1,-1.923,tyler-brockman
Wayne Milera,Adelaide,SD,132,132,0,1825,1826,1,0.055,wayne-milera
