stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-25521d7a372d9e865f2f,Jacob Weitering,KEY_DEF,1246,358,-888,-71.27,194,405,211,9.2353,1.2791,1.2499
afl-player-v1-e511a100c5f69febc62c,Hugh McCluggage,MID,1851,973,-878,-47.43,123,143,20,14.2542,0.7888,1.2497
afl-player-v1-569acef3f5da1997d202,Andrew McGrath,GEN_DEF,1074,227,-847,-78.86,212,544,332,4.3741,0.3457,0.9111
afl-player-v1-61b3ccb5ea59c4851445,Jordan Ridley,GEN_DEF,1117,301,-816,-73.05,206,456,250,3.0366,0.24,0.6213
afl-player-v1-87957120b42751e30451,Adam Cerra,MID,1184,371,-813,-68.67,200,395,195,5.0043,0.2769,1.0419
afl-player-v1-a9f80c63a274e4e1bbb3,Charlie Curnow,KEY_FWD,1250,439,-811,-64.88,192,342,150,4.2534,0.6418,0.885
afl-player-v1-925ceac71aac412ace23,Tristan Xerri,RUC,7605,6809,-796,-10.47,4,3,-1,44.5208,4.0476,1.182
afl-player-v1-614cf30f246427aac1aa,Clayton Oliver,MID,2428,1649,-779,-32.08,75,64,-11,22.8414,1.264,1.2499
afl-player-v1-f6b273b240ecc1e56ea8,Tom McCarthy,GEN_DEF,1545,780,-765,-49.51,155,187,32,15.0,1.1855,0.8096
afl-player-v1-f3b426662b256de4c7a8,Caleb Daniel,GEN_DEF,1200,457,-743,-61.92,199,327,128,12.3941,0.9796,1.2499
afl-player-v1-54454854204fc68ab355,Tim Taranto,MID,2485,1759,-726,-29.22,71,54,-17,24.2191,1.3402,1.2496
afl-player-v1-a632c601617e8e666e07,Lachlan Schultz,GEN_FWD,791,94,-697,-88.12,267,671,404,5.9441,0.7807,1.236
afl-player-v1-3e63685925a5759a6950,Isaac Heeney,MID,3970,3284,-686,-17.28,27,13,-14,38.0839,2.1075,1.2499
afl-player-v1-760c6daa6af814bcb24b,Joe Richards,GEN_FWD,822,147,-675,-82.12,258,616,358,5.2144,0.6849,0.91
